run_id,target,k,fault_ddr4_addr,fault_byte_offset,fault_bit,fault_region,timeout,crash,output_anomaly,top1_match,top5_match,baseline_top1,faulty_top1,baseline_prob,faulty_prob,prob_drop,recovered
0,FEATURE_MAPS,10,0xaaaae3718419,109513,6,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.982645,0.000017,0
1,FEATURE_MAPS,10,0xaaaae36ff446,7158,4,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.977975,0.004687,0
2,FEATURE_MAPS,10,0xaaaae36ff508,7352,0,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.982710,-0.000048,0
3,FEATURE_MAPS,10,0xaaaae37014a9,15449,4,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.986500,-0.003838,0
4,FEATURE_MAPS,10,0xaaaae37195f7,114087,4,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.980906,0.001756,0
5,FEATURE_MAPS,10,0xaaaae371dfe6,133014,6,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.986405,-0.003743,0
6,FEATURE_MAPS,10,0xaaaae371c9c8,127352,6,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.984321,-0.001659,0
7,FEATURE_MAPS,10,0xaaaae371c00f,124863,1,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.984566,-0.001904,0
8,FEATURE_MAPS,10,0xaaaae37193fc,113580,7,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.982626,0.000036,0
9,FEATURE_MAPS,10,0xaaaae371b5fc,122284,2,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.984319,-0.001657,0
10,FEATURE_MAPS,10,0xaaaae3714d91,95553,7,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.984069,-0.001407,0
11,FEATURE_MAPS,10,0xaaaae371b8a6,122966,2,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.982776,-0.000114,0
12,FEATURE_MAPS,10,0xaaaae370329c,23116,0,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.987675,-0.005013,0
13,FEATURE_MAPS,10,0xaaaae3711e36,83430,6,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.984716,-0.002054,0
14,FEATURE_MAPS,10,0xaaaae3714f60,96016,0,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.984150,-0.001488,0
15,FEATURE_MAPS,10,0xaaaae37205e6,142742,0,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.982345,0.000317,0
16,FEATURE_MAPS,10,0xaaaae36ffd01,9393,2,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.983076,-0.000414,0
17,FEATURE_MAPS,10,0xaaaae3705607,32183,1,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.984982,-0.002320,0
18,FEATURE_MAPS,10,0xaaaae370da27,66007,2,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.984300,-0.001638,0
19,FEATURE_MAPS,10,0xaaaae371ec00,136112,0,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.985067,-0.002405,0
20,FEATURE_MAPS,10,0xaaaae3705161,30993,0,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.984124,-0.001462,0
