run_id,target,k,fault_ddr4_addr,fault_byte_offset,fault_bit,fault_region,timeout,crash,output_anomaly,top1_match,top5_match,baseline_top1,faulty_top1,baseline_prob,faulty_prob,prob_drop,recovered
0,WEIGHTS,10,0xaaaacc467e6f,15472079,0,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
1,WEIGHTS,10,0xaaaacc2df587,13864167,7,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
2,WEIGHTS,10,0xaaaacba50ab9,4891161,0,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
3,WEIGHTS,10,0xaaaacb90e34f,3570351,2,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
4,WEIGHTS,10,0xaaaaccc40de1,23700801,3,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
5,WEIGHTS,10,0xaaaacca033c6,21351206,1,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
6,WEIGHTS,10,0xaaaacc9fb79a,21319418,7,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
7,WEIGHTS,10,0xaaaacbdce406,8551270,7,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
8,WEIGHTS,10,0xaaaacbbae579,6323417,1,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
9,WEIGHTS,10,0xaaaacc5db758,16993976,7,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
10,WEIGHTS,10,0xaaaaccd5485f,24829887,3,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
11,WEIGHTS,10,0xaaaacba4c1b9,4872473,0,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
12,WEIGHTS,10,0xaaaacc132bef,12108623,4,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
13,WEIGHTS,10,0xaaaacc63febc,17405468,7,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
14,WEIGHTS,10,0xaaaaccaff787,22384359,3,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
15,WEIGHTS,10,0xaaaacb9fb9d4,4542772,1,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
16,WEIGHTS,10,0xaaaacc6769cf,17629487,0,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
17,WEIGHTS,10,0xaaaacc2075e0,12979520,7,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
18,WEIGHTS,10,0xaaaaccb4d273,22702547,5,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
19,WEIGHTS,10,0xaaaacc2ac5fc,13655388,3,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
20,WEIGHTS,10,0xaaaacba06b85,4588261,3,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
21,WEIGHTS,10,0xaaaacc5960ba,16709658,3,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
22,WEIGHTS,10,0xaaaacbaa74d3,5246003,2,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
23,WEIGHTS,10,0xaaaacb7411ca,1681706,2,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
24,WEIGHTS,10,0xaaaacca8fc97,21926903,6,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
25,WEIGHTS,10,0xaaaacc7831e9,18729289,4,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
26,WEIGHTS,10,0xaaaacc42fe9c,15242748,6,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
