run_id,target,k,fault_ddr4_addr,fault_byte_offset,fault_bit,fault_region,timeout,crash,output_anomaly,top1_match,top5_match,baseline_top1,faulty_top1,baseline_prob,faulty_prob,prob_drop,recovered
0,BUFFERS,10,0xaaab238586cc,876,6,BUFFERS,0,0,0,0,0,109,121,0.982662,0.828475,0.154187,0
1,BUFFERS,10,0xaaab238586fe,926,4,BUFFERS,0,0,0,1,1,109,109,0.982662,0.766096,0.216566,0
2,BUFFERS,10,0xaaab23858660,768,4,BUFFERS,0,0,0,0,0,109,545,0.982662,0.999987,-0.017326,0
3,BUFFERS,10,0xaaab238585c8,616,4,BUFFERS,0,0,0,0,0,109,744,0.982662,0.999994,-0.017332,0
4,BUFFERS,10,0xaaab238586d2,882,7,BUFFERS,0,0,0,0,0,109,882,0.982662,0.999978,-0.017316,0
5,BUFFERS,10,0xaaab238586f3,915,4,BUFFERS,0,0,0,0,0,109,92,0.982662,0.999992,-0.017330,0
6,BUFFERS,10,0xaaab2385837f,31,4,BUFFERS,0,0,0,1,1,109,109,0.982662,0.592359,0.390303,0
7,BUFFERS,10,0xaaab23858525,453,5,BUFFERS,0,0,0,1,1,109,109,0.982662,0.980262,0.002400,0
8,BUFFERS,10,0xaaab238584e9,393,0,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982497,0.000165,0
9,BUFFERS,10,0xaaab238586a8,840,0,BUFFERS,0,0,0,0,0,109,656,0.982662,0.999997,-0.017335,0
10,BUFFERS,10,0xaaab238584bc,348,4,BUFFERS,0,0,0,0,0,109,336,0.982662,0.999998,-0.017336,0
11,BUFFERS,10,0xaaab238585d3,627,6,BUFFERS,0,0,0,0,0,109,454,0.982662,0.679175,0.303487,0
12,BUFFERS,10,0xaaab23858481,289,3,BUFFERS,0,0,0,0,0,109,919,0.982662,1.000000,-0.017338,0
13,BUFFERS,10,0xaaab2385854d,493,5,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982662,-0.000000,0
14,BUFFERS,10,0xaaab23858692,818,4,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982085,0.000577,0
15,BUFFERS,10,0xaaab23858526,454,0,BUFFERS,0,0,0,1,1,109,109,0.982662,0.589647,0.393015,0
16,BUFFERS,10,0xaaab238583a7,71,5,BUFFERS,0,0,0,0,0,109,696,0.982662,0.999997,-0.017335,0
17,BUFFERS,10,0xaaab238583c6,102,0,BUFFERS,0,0,0,0,0,109,935,0.982662,0.622457,0.360205,0
18,BUFFERS,10,0xaaab238586c2,866,5,BUFFERS,0,0,0,0,0,109,677,0.982662,0.762081,0.220581,0
19,BUFFERS,10,0xaaab2385851a,442,4,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
20,BUFFERS,10,0xaaab23858412,178,4,BUFFERS,0,0,0,0,0,109,33,0.982662,0.630703,0.351959,0
21,BUFFERS,10,0xaaab2385846f,271,1,BUFFERS,0,0,0,0,0,109,384,0.982662,0.777299,0.205363,0
22,BUFFERS,10,0xaaab2385866a,778,0,BUFFERS,0,0,0,0,0,109,186,0.982662,0.999983,-0.017321,0
23,BUFFERS,10,0xaaab23858675,789,1,BUFFERS,0,0,0,0,0,109,877,0.982662,0.999997,-0.017335,0
24,BUFFERS,10,0xaaab23858614,692,6,BUFFERS,0,0,0,1,1,109,109,0.982662,0.766096,0.216566,0
25,BUFFERS,10,0xaaab238584de,382,2,BUFFERS,0,0,0,0,0,109,742,0.982662,0.999996,-0.017334,0
26,BUFFERS,10,0xaaab238585f1,657,4,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982662,-0.000000,0
27,BUFFERS,10,0xaaab23858516,438,0,BUFFERS,0,0,0,1,1,109,109,0.982662,0.839452,0.143210,0
28,BUFFERS,10,0xaaab23858373,19,1,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
29,BUFFERS,10,0xaaab23858426,198,5,BUFFERS,0,0,0,1,1,109,109,0.982662,0.615650,0.367012,0
30,BUFFERS,10,0xaaab23858563,515,4,BUFFERS,0,0,0,0,0,109,915,0.982662,0.999997,-0.017335,0
31,BUFFERS,10,0xaaab2385839a,58,5,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982504,0.000158,0
32,BUFFERS,10,0xaaab238585f9,665,3,BUFFERS,0,0,0,0,0,109,595,0.982662,0.999999,-0.017337,0
33,BUFFERS,10,0xaaab2385864c,748,3,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982662,-0.000000,0
34,BUFFERS,10,0xaaab2385853d,477,1,BUFFERS,0,0,0,0,0,109,923,0.982662,0.999997,-0.017335,0
35,BUFFERS,10,0xaaab23858505,421,4,BUFFERS,0,0,0,0,0,109,817,0.982662,0.999964,-0.017302,0
36,BUFFERS,10,0xaaab23858534,468,1,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982718,-0.000056,0
37,BUFFERS,10,0xaaab238583b0,80,3,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982664,-0.000002,0
38,BUFFERS,10,0xaaab23858585,549,1,BUFFERS,0,0,0,1,1,109,109,0.982662,0.987971,-0.005309,0
39,BUFFERS,10,0xaaab238586b7,855,2,BUFFERS,0,0,0,0,0,109,827,0.982662,0.999997,-0.017336,0
40,BUFFERS,10,0xaaab23858657,759,6,BUFFERS,0,0,0,1,1,109,109,0.982662,0.981923,0.000739,0
41,BUFFERS,10,0xaaab23858572,530,5,BUFFERS,0,0,0,0,0,109,755,0.982662,0.999996,-0.017334,0
42,BUFFERS,10,0xaaab2385853d,477,1,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982655,0.000007,0
43,BUFFERS,10,0xaaab238585c9,617,1,BUFFERS,0,0,0,1,1,109,109,0.982662,0.979654,0.003008,0
44,BUFFERS,10,0xaaab23858590,560,7,BUFFERS,0,0,0,0,0,109,139,0.982662,0.999998,-0.017336,0
45,BUFFERS,10,0xaaab2385841a,186,2,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982578,0.000084,0
