DPU Throughput
timestamp,FPS

DDR Bandwidth
timestamp,DDRC_PORT_S1_Read,DDRC_PORT_S1_Write,DDRC_PORT_S2_Read,DDRC_PORT_S2_Write,DDRC_PORT_S3_Read,DDRC_PORT_S3_Write,DDRC_PORT_S4_Read,DDRC_PORT_S4_Write,DDRC_PORT_S5_Read,DDRC_PORT_S5_Write,
1009116.37,4.2,0.18,3.55,1.61,0,0,0,0,0,0,
1009106.20,30.83,0.94,27.5,7.71,0,0,0,0,0,0,
1009096.02,0,0,0,0,0,0,0,0,0,0,
1009085.84,0,0,0,0,0,0,0,0,0,0,
1009075.67,0.03,0,0.08,0.02,0,0,0,0,0,0,
1009065.49,0.03,0,0.02,0.01,0,0,0,0,0,0,
1009055.31,0.01,0,0.03,0.02,0,0,0,0,0,0,
1009045.14,0,0,0,0,0,0,0,0,0,0,
1009034.96,0.02,0,0.02,0.01,0,0,0,0,0,0,
1009024.78,1.03,0,0.84,0.06,0,0,0,0,0,0,
1009014.61,0.01,0,0.06,0,0,0,0,0,0,0,
1009004.43,0,0,0,0,0,0,0,0,0,0,
1008994.25,0,0,0,0,0,0,0,0,0,0,
1008984.08,0,0,0.04,0.02,0,0,0,0,0,0,
1008973.90,0.01,0,0.02,0.02,0,0,0,0,0,0,
1008963.72,0.02,0,0.07,0.03,0,0,0,0,0,0,
1008953.55,0.04,0,0.01,0,0,0,0,0,0,0,
1008943.37,0.06,0,0.04,0.01,0,0,0,0,0,0,
1008933.19,0,0,0,0,0,0,0,0,0,0,
1008923.02,0.03,0,0.08,0,0,0,0,0,0,0,
1008912.84,0.25,0,0.06,0.01,0,0,0,0,0,0,
1008902.67,0.16,0,0.12,0.03,0,0,0,0,0,0,
1008892.49,0,0,0,0,0,0,0,0,0,0,
1008882.31,0,0,0.01,0.01,0,0,0,0,0,0,
1008872.14,0.26,0,0.1,0.03,0,0,0,0,0,0,
1008861.96,1.4,0.01,0.91,0.13,0,0,0,0,0,0,
1008851.78,2.44,0.02,1.43,0.25,0,0,0,0,0,0,
1008841.60,71.5,0.91,68.15,12.22,0,0,0,0,0,0,
1008831.42,0,0,0,0,0,0,0,0,0,0,
1008821.24,3.28,0.05,3.85,0.83,0,0,0,0,0,0,
1008811.07,0,0,0,0.03,0,0,0,0,0,0,
1008800.89,0.95,0.03,0.77,0.32,0,0,0,0,0,0,
1008790.71,3.4,0.07,3.8,1.06,0,0,0,0,0,0,
1008780.54,0,0,0,0,0,0,0,0,0,0,
1008770.36,0.01,0.01,0,0.04,0,0,0,0,0,0,
1008760.18,0,0,0,0,0,0,0,0,0,0,
1008750.00,0.01,0.01,0,0.08,0,0,0,0,0,0,
1008739.83,0,0,0,0.06,0,0,0,0,0,0,
1008729.65,0,0,0.01,0.02,0,0,0,0,0,0,
1008719.47,4.49,0.1,6.58,2.22,0,0,0,0,0,0,
1008709.29,0,0,0,0.01,0,0,0,0,0,0,
1008699.12,0,0,0.04,0.01,0,0,0,0,0,0,
1008688.94,0,0,0,0,0,0,0,0,0,0,
1008678.76,0,0,0,0,0,0,0,0,0,0,
1008668.59,0,0,0.01,0,0,0,0,0,0,0,
1008658.41,0.01,0,0.02,0.04,0,0,0,0,0,0,
1008648.23,0.01,0,0.03,0.02,0,0,0,0,0,0,
1008638.06,0.02,0,0.03,0.02,0,0,0,0,0,0,
1008627.88,0,0,0,0,0,0,0,0,0,0,
1008617.70,0,0,0.03,0.07,0,0,0,0,0,0,
1008607.53,0.3,0,0.29,0.08,0,0,0,0,0,0,
1008597.35,0,0,0.03,0.01,0,0,0,0,0,0,
1008587.17,0,0,0,0,0,0,0,0,0,0,
1008577.00,0,0,0,0,0,0,0,0,0,0,
1008566.82,0.04,0,0.06,0.03,0,0,0,0,0,0,
1008556.64,0.03,0,0.03,0.07,0,0,0,0,0,0,
1008546.46,1.27,0.03,1.18,0.47,0,0,0,0,0,0,
1008536.29,1.13,0.02,0.74,0.17,0,0,0,0,0,0,
1008526.11,0.03,0,0.02,0.08,0,0,0,0,0,0,
1008515.93,0.01,0,0.01,0.02,0,0,0,0,0,0,
1008505.76,0,0,0,0,0,0,0,0,0,0,
1008495.58,0.06,0,0.1,0.05,0,0,0,0,0,0,
1008485.40,0,0,0,0,0,0,0,0,0,0,
1008475.23,0,0,0,0,0,0,0,0,0,0,
1008465.05,0,0,0,0.01,0,0,0,0,0,0,
1008454.87,0.28,0,0.28,0.16,0,0,0,0,0,0,
1008444.69,0.01,0,0.04,0.07,0,0,0,0,0,0,
1008434.52,0.06,0,0,0.04,0,0,0,0,0,0,
1008424.33,0.01,0,0.04,0.08,0,0,0,0,0,0,
1008414.15,0,0,0,0,0,0,0,0,0,0,
1008403.98,0,0,0.03,0.08,0,0,0,0,0,0,
1008393.80,0.21,0,0.03,0.03,0,0,0,0,0,0,
1008383.63,0.16,0.01,0.07,0.09,0,0,0,0,0,0,
1008373.45,0,0,0,0,0,0,0,0,0,0,
1008363.27,0.07,0.01,0.04,0.03,0,0,0,0,0,0,
1008353.10,0.26,0,0.1,0.13,0,0,0,0,0,0,
1008342.92,0.38,0.01,0.44,0.19,0,0,0,0,0,0,
1008332.74,0.84,0.03,0.54,0.27,0,0,0,0,0,0,
1008322.56,0.99,0.04,0.6,0.38,0,0,0,0,0,0,
1008312.39,3.01,0.08,2.07,0.91,0,0,0,0,0,0,
1008302.21,0.87,0.05,0.86,0.64,0,0,0,0,0,0,
1008292.02,105,4.3,106.88,70.28,0,0,0,0,0,0,
1008281.83,79.76,2.72,87.16,48.45,0,0,0,0,0,0,
1008271.65,35.55,2.48,35,16.61,0,0,0,0,0,0,
1008261.46,45.54,2.55,43.27,23.1,0,0,0,0,0,0,
1008251.28,101.23,3.52,98.3,55.57,0,0,0,0,0,0,
1008241.09,145.16,6.99,143.05,105.35,0,0,0,0,0,0,
1008230.91,67.48,1.79,61.01,24.9,0,0,0,0,0,0,
1008220.73,0,0,0,0.01,0,0,0,0,0,0,
1008210.55,0,0,0.01,0,0,0,0,0,0,0,
1008200.38,0.07,0,0.07,0,0,0,0,0,0,0,
1008190.20,0,0,0,0,0,0,0,0,0,0,
1008180.02,0,0,0,0,0,0,0,0,0,0,
1008169.85,0,0,0,0,0,0,0,0,0,0,
1008159.67,0,0,0,0,0,0,0,0,0,0,
1008149.49,0,0,0,0,0,0,0,0,0,0,
1008139.32,0,0,0,0,0,0,0,0,0,0,
1008129.14,0,0,0,0,0,0,0,0,0,0,
1008118.97,0.01,0,0.04,0.01,0,0,0,0,0,0,
1008108.79,0,0,0,0,0,0,0,0,0,0,
1008098.61,0.02,0,0.03,0.01,0,0,0,0,0,0,
1008088.44,0,0,0,0,0,0,0,0,0,0,
1008078.26,0,0,0,0,0,0,0,0,0,0,
1008068.08,0,0,0,0,0,0,0,0,0,0,
1008057.91,0,0,0,0.01,0,0,0,0,0,0,
1008047.73,0,0,0,0,0,0,0,0,0,0,
1008037.55,0,0,0,0.01,0,0,0,0,0,0,
1008027.38,0.05,0,0.01,0.01,0,0,0,0,0,0,
1008017.20,0,0,0,0,0,0,0,0,0,0,
1008007.02,0,0,0,0,0,0,0,0,0,0,
1007996.85,0,0,0,0,0,0,0,0,0,0,
1007986.67,0,0,0,0,0,0,0,0,0,0,
1007976.49,0,0,0,0,0,0,0,0,0,0,
1007966.32,0,0,0.01,0,0,0,0,0,0,0,
1007956.14,0,0,0,0,0,0,0,0,0,0,
1007945.97,0,0,0,0,0,0,0,0,0,0,
1007935.79,0,0,0,0.01,0,0,0,0,0,0,
1007925.61,0,0,0,0,0,0,0,0,0,0,
1007915.44,0.01,0,0,0,0,0,0,0,0,0,
1007905.26,0,0,0,0,0,0,0,0,0,0,
1007895.08,0,0,0,0,0,0,0,0,0,0,
1007884.91,0,0,0,0,0,0,0,0,0,0,
1007874.73,0,0,0,0,0,0,0,0,0,0,
1007864.55,0,0,0,0,0,0,0,0,0,0,
1007854.38,0,0,0,0,0,0,0,0,0,0,
1007844.20,0,0,0,0,0,0,0,0,0,0,
1007834.02,0,0,0,0,0,0,0,0,0,0,
1007823.84,0,0,0.01,0.01,0,0,0,0,0,0,
1007813.67,0.01,0,0,0,0,0,0,0,0,0,
