image_name,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,timeout,crash
"n01748264/n01748264_12351.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,461,"breastplate, aegis, egis",0.425452,392,"rock beauty, Holocanthus tricolor",0.425452,207,"golden retriever",0.121894,0,0.420500,0,0
"n01748264/n01748264_12842.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,63,"Indian cobra, Naja naja",0.936715,57,"garter snake, grass snake",0.017157,64,"green mamba",0.013362,1,0.000000,0,0
"n01748264/n01748264_15432.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,63,"Indian cobra, Naja naja",0.999974,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.000017,64,"green mamba",0.000002,1,0.000000,0,0
"n01748264/n01748264_19883.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,287,"lynx, catamount",0.998751,63,"Indian cobra, Naja naja",0.001169,58,"water snake",0.000058,0,-0.021323,0,0
"n01748264/n01748264_2196.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,63,"Indian cobra, Naja naja",0.677979,26,"common newt, Triturus vulgaris",0.320255,65,"sea snake",0.000481,1,0.319422,0,0
"n02093991/n02093991_2155.JPEG",184,"Irish terrier",184,"Irish terrier",0.614769,184,"Irish terrier",0.447722,335,"fox squirrel, eastern fox squirrel, Sciurus niger",0.271557,211,"vizsla, Hungarian pointer",0.164708,1,0.167047,0,0
"n02093991/n02093991_75.JPEG",184,"Irish terrier",182,"Border terrier",0.983502,182,"Border terrier",0.983487,184,"Irish terrier",0.008509,185,"Norfolk terrier",0.004019,0,0.000014,0,0
"n02093991/n02093991_7823.JPEG",184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,572,"goblet",0.562167,976,"promontory, headland, head, foreland",0.437816,254,"pug, pug-dog",0.000015,0,-0.009948,0,0
"n02093991/n02093991_7935.JPEG",184,"Irish terrier",184,"Irish terrier",0.964093,196,"miniature schnauzer",0.999652,184,"Irish terrier",0.000335,182,"Border terrier",0.000006,0,-0.035559,0,0
"n02093991/n02093991_8145.JPEG",184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,140,"red-backed sandpiper, dunlin, Erolia alpina",1.000000,202,"soft-coated wheaten terrier",0.000000,247,"Saint Bernard, St Bernard",0.000000,0,-0.682498,0,0
"n02096051/n02096051_2751.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,191,"Airedale, Airedale terrier",0.841985,189,"Lakeland terrier",0.041920,187,"Yorkshire terrier",0.032647,1,0.000000,0,0
"n02096051/n02096051_2946.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,764,"rifle",0.999996,978,"seashore, coast, seacoast, sea-coast",0.000003,361,"skunk, polecat, wood pussy",0.000001,0,-0.085916,0,0
"n02096051/n02096051_495.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.968609,191,"Airedale, Airedale terrier",0.968507,189,"Lakeland terrier",0.029246,184,"Irish terrier",0.001134,1,0.000102,0,0
"n02096051/n02096051_5436.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.988703,668,"mosque",0.999941,191,"Airedale, Airedale terrier",0.000058,189,"Lakeland terrier",0.000001,0,-0.011238,0,0
"n02096051/n02096051_668.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.991122,590,"hand-held computer, hand-held microcomputer",0.998820,191,"Airedale, Airedale terrier",0.001169,175,"otterhound, otter hound",0.000008,0,-0.007698,0,0
"n02113186/n02113186_12291.JPEG",264,"Cardigan, Cardigan Welsh corgi",264,"Cardigan, Cardigan Welsh corgi",0.848451,611,"jigsaw puzzle",0.999996,632,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",0.000002,264,"Cardigan, Cardigan Welsh corgi",0.000002,0,-0.151545,0,0
"n02113186/n02113186_13231.JPEG",264,"Cardigan, Cardigan Welsh corgi",201,"silky terrier, Sydney silky",0.489978,201,"silky terrier, Sydney silky",0.489978,275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",0.297187,212,"English setter",0.085145,0,-0.000000,0,0
"n02113186/n02113186_50.JPEG",264,"Cardigan, Cardigan Welsh corgi",263,"Pembroke, Pembroke Welsh corgi",0.516311,176,"Saluki, gazelle hound",0.973090,263,"Pembroke, Pembroke Welsh corgi",0.013880,264,"Cardigan, Cardigan Welsh corgi",0.010810,0,-0.456778,0,0
"n02113186/n02113186_5538.JPEG",264,"Cardigan, Cardigan Welsh corgi",162,"beagle",0.571110,162,"beagle",0.571176,166,"Walker hound, Walker foxhound",0.099256,263,"Pembroke, Pembroke Welsh corgi",0.077300,0,-0.000066,0,0
"n02113186/n02113186_9772.JPEG",264,"Cardigan, Cardigan Welsh corgi",195,"Boston bull, Boston terrier",0.305252,343,"warthog",1.000000,145,"king penguin, Aptenodytes patagonica",0.000001,264,"Cardigan, Cardigan Welsh corgi",0.000000,0,-0.694747,0,0
"n02114855/n02114855_1044.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.933076,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.998688,331,"hare",0.000335,104,"wallaby, brush kangaroo",0.000203,1,-0.065613,0,0
"n02114855/n02114855_1047.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.856385,139,"ruddy turnstone, Arenaria interpres",0.836706,49,"African crocodile, Nile crocodile, Crocodylus niloticus",0.145398,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.015325,0,0.019679,0,0
"n02114855/n02114855_18848.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.831597,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.831566,293,"cheetah, chetah, Acinonyx jubatus",0.087646,274,"dhole, Cuon alpinus",0.053160,1,0.000031,0,0
"n02114855/n02114855_7204.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.926733,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.926734,280,"grey fox, gray fox, Urocyon cinereoargenteus",0.016974,277,"red fox, Vulpes vulpes",0.008018,1,-0.000001,0,0
"n02114855/n02114855_7265.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.818428,690,"oxcart",0.954324,235,"German shepherd, German shepherd dog, German police dog, alsatian",0.037003,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.003900,0,-0.135896,0,0
"n02134418/n02134418_11090.JPEG",297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.945521,297,"sloth bear, Melursus ursinus, Ursus ursinus",0.943824,369,"siamang, Hylobates syndactylus, Symphalangus syndactylus",0.022197,377,"marmoset",0.006359,1,0.001697,0,0
