image_name,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,timeout,crash
"n01748264/n01748264_12351.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,63,"Indian cobra, Naja naja",0.824738,309,"bee",0.052724,317,"leafhopper",0.031979,1,0.021213,0,0
"n01748264/n01748264_12842.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,116,"chiton, coat-of-mail shell, sea cradle, polyplacophore",0.516552,63,"Indian cobra, Naja naja",0.147995,35,"mud turtle",0.115258,0,0.420163,0,0
"n01748264/n01748264_15432.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,63,"Indian cobra, Naja naja",0.845051,390,"eel",0.089068,9,"ostrich, Struthio camelus",0.015478,1,0.154923,0,0
"n01748264/n01748264_19883.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,828,"strainer",0.169360,490,"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour",0.080000,815,"spider web, spider's web",0.062304,0,0.808069,0,0
"n01748264/n01748264_2196.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,63,"Indian cobra, Naja naja",0.364476,611,"jigsaw puzzle",0.283854,65,"sea snake",0.104424,1,0.632926,0,0
"n02093991/n02093991_2155.JPEG",184,"Irish terrier",184,"Irish terrier",0.614769,211,"vizsla, Hungarian pointer",0.340799,182,"Border terrier",0.160982,191,"Airedale, Airedale terrier",0.160982,0,0.273970,0,0
"n02093991/n02093991_75.JPEG",184,"Irish terrier",182,"Border terrier",0.983502,182,"Border terrier",0.865389,189,"Lakeland terrier",0.071035,185,"Norfolk terrier",0.033555,0,0.118112,0,0
"n02093991/n02093991_7823.JPEG",184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,184,"Irish terrier",0.839046,209,"Chesapeake Bay retriever",0.053638,202,"soft-coated wheaten terrier",0.025337,1,-0.286827,0,0
"n02093991/n02093991_7935.JPEG",184,"Irish terrier",184,"Irish terrier",0.964093,819,"stage",0.465603,716,"picket fence, paling",0.133397,818,"spotlight, spot",0.063012,0,0.498490,0,0
"n02093991/n02093991_8145.JPEG",184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,163,"bloodhound, sleuthhound",0.399517,219,"cocker spaniel, English cocker spaniel, cocker",0.311144,246,"Great Dane",0.089144,0,-0.082015,0,0
"n02096051/n02096051_2751.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,191,"Airedale, Airedale terrier",0.795623,201,"silky terrier, Sydney silky",0.107676,193,"Australian terrier",0.050862,1,0.046362,0,0
"n02096051/n02096051_2946.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,191,"Airedale, Airedale terrier",0.924985,189,"Lakeland terrier",0.035866,992,"agaric",0.006232,1,-0.010905,0,0
