image_name,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,timeout,crash
"n01748264/n01748264_12351.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,63,"Indian cobra, Naja naja",0.872016,54,"hognose snake, puff adder, sand viper",0.091910,67,"diamondback, diamondback rattlesnake, Crotalus adamanteus",0.012439,1,-0.026065,0,0
"n01748264/n01748264_12842.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,63,"Indian cobra, Naja naja",0.650876,60,"night snake, Hypsiglena torquata",0.113105,57,"garter snake, grass snake",0.068602,1,0.285839,0,0
"n01748264/n01748264_15432.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,63,"Indian cobra, Naja naja",0.999733,64,"green mamba",0.000158,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.000058,1,0.000241,0,0
"n01748264/n01748264_19883.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,63,"Indian cobra, Naja naja",0.770500,65,"sea snake",0.063246,56,"king snake, kingsnake",0.049256,1,0.206929,0,0
"n01748264/n01748264_2196.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,63,"Indian cobra, Naja naja",0.941644,54,"hognose snake, puff adder, sand viper",0.017247,62,"rock python, rock snake, Python sebae",0.013432,1,0.055757,0,0
"n02093991/n02093991_2155.JPEG",184,"Irish terrier",184,"Irish terrier",0.614769,184,"Irish terrier",0.494310,211,"vizsla, Hungarian pointer",0.181846,182,"Border terrier",0.110295,1,0.120459,0,0
"n02093991/n02093991_75.JPEG",184,"Irish terrier",182,"Border terrier",0.983502,185,"Norfolk terrier",0.652286,186,"Norwich terrier",0.239963,188,"wire-haired fox terrier",0.032475,0,0.331216,0,0
"n02093991/n02093991_7823.JPEG",184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,202,"soft-coated wheaten terrier",0.649897,184,"Irish terrier",0.186199,200,"Tibetan terrier, chrysanthemum dog",0.053347,0,-0.097678,0,0
"n02093991/n02093991_7935.JPEG",184,"Irish terrier",184,"Irish terrier",0.964093,182,"Border terrier",0.263827,184,"Irish terrier",0.097057,192,"cairn, cairn terrier",0.075588,0,0.700266,0,0
"n02093991/n02093991_8145.JPEG",184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,243,"bull mastiff",0.446804,246,"Great Dane",0.211055,163,"bloodhound, sleuthhound",0.164370,0,-0.129301,0,0
"n02096051/n02096051_2751.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,187,"Yorkshire terrier",0.460248,201,"silky terrier, Sydney silky",0.217406,193,"Australian terrier",0.131863,0,0.381737,0,0
"n02096051/n02096051_2946.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,191,"Airedale, Airedale terrier",0.597004,189,"Lakeland terrier",0.282004,202,"soft-coated wheaten terrier",0.029723,1,0.317076,0,0
"n02096051/n02096051_495.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.968609,191,"Airedale, Airedale terrier",0.906002,189,"Lakeland terrier",0.074369,267,"standard poodle",0.002884,1,0.062607,0,0
"n02096051/n02096051_5436.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.988703,76,"tarantula",0.216013,175,"otterhound, otter hound",0.102037,170,"Irish wolfhound",0.061889,0,0.772690,0,0
"n02096051/n02096051_668.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.991122,191,"Airedale, Airedale terrier",0.457884,186,"Norwich terrier",0.102168,193,"Australian terrier",0.102168,1,0.533238,0,0
"n02113186/n02113186_12291.JPEG",264,"Cardigan, Cardigan Welsh corgi",264,"Cardigan, Cardigan Welsh corgi",0.848451,253,"basenji",0.130605,264,"Cardigan, Cardigan Welsh corgi",0.101716,263,"Pembroke, Pembroke Welsh corgi",0.079216,0,0.717846,0,0
"n02113186/n02113186_13231.JPEG",264,"Cardigan, Cardigan Welsh corgi",201,"silky terrier, Sydney silky",0.489978,203,"West Highland white terrier",0.083631,264,"Cardigan, Cardigan Welsh corgi",0.050725,819,"stage",0.050725,0,0.406347,0,0
"n02113186/n02113186_50.JPEG",264,"Cardigan, Cardigan Welsh corgi",263,"Pembroke, Pembroke Welsh corgi",0.516311,249,"malamute, malemute, Alaskan malamute",0.538781,250,"Siberian husky",0.154363,248,"Eskimo dog, husky",0.154363,0,-0.022469,0,0
"n02113186/n02113186_5538.JPEG",264,"Cardigan, Cardigan Welsh corgi",162,"beagle",0.571110,162,"beagle",0.599806,238,"Greater Swiss Mountain dog",0.063219,543,"dumbbell",0.049235,0,-0.028696,0,0
"n02113186/n02113186_9772.JPEG",264,"Cardigan, Cardigan Welsh corgi",195,"Boston bull, Boston terrier",0.305252,162,"beagle",0.123856,264,"Cardigan, Cardigan Welsh corgi",0.096459,51,"triceratops",0.096459,0,0.181396,0,0
"n02114855/n02114855_1044.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.933076,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.379894,104,"wallaby, brush kangaroo",0.108841,912,"worm fence, snake fence, snake-rail fence, Virginia fence",0.084766,1,0.553182,0,0
"n02114855/n02114855_1047.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.856385,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.588690,274,"dhole, Cuon alpinus",0.278077,280,"grey fox, gray fox, Urocyon cinereoargenteus",0.048323,1,0.267695,0,0
"n02114855/n02114855_18848.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.831597,700,"paper towel",0.890681,78,"tick",0.034535,307,"weevil",0.034535,0,-0.059084,0,0
"n02114855/n02114855_7204.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.926733,394,"sturgeon",0.150155,33,"loggerhead, loggerhead turtle, Caretta caretta",0.070928,330,"wood rabbit, cottontail, cottontail rabbit",0.070928,0,0.776578,0,0
