image_name,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,fault_vaddr,fault_byte_offset,fault_bit,timeout,crash,output_anomaly
"n01748264/n01748264_12351.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,356,"weasel",0.641681,63,"Indian cobra, Naja naja",0.303108,54,"hognose snake, puff adder, sand viper",0.052672,0,0.204271,0xaaaaf33e9091,385,0,0,0,0
"n01748264/n01748264_12842.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,63,"Indian cobra, Naja naja",0.903886,286,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",0.035047,57,"garter snake, grass snake",0.016555,1,0.032829,0xaaaaf33e8f59,73,0,0,0,0
"n01748264/n01748264_15432.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,63,"Indian cobra, Naja naja",0.999974,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.000017,64,"green mamba",0.000002,1,0.000000,0xaaaaf33e9098,392,3,0,0,0
"n01748264/n01748264_19883.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,63,"Indian cobra, Naja naja",0.977414,60,"night snake, Hypsiglena torquata",0.013942,58,"water snake",0.006586,1,0.000014,0xaaaaf33e90e5,469,7,0,0,0
"n01748264/n01748264_2196.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,63,"Indian cobra, Naja naja",0.968236,253,"basenji",0.029238,65,"sea snake",0.000688,1,0.029165,0xaaaaf33e909f,399,6,0,0,0
"n02093991/n02093991_2155.JPEG",184,"Irish terrier",184,"Irish terrier",0.614769,521,"Crock Pot",0.817574,563,"fountain pen",0.182425,184,"Irish terrier",0.000001,0,-0.202805,0xaaaaf33e9143,563,7,0,0,0
"n02093991/n02093991_75.JPEG",184,"Irish terrier",182,"Border terrier",0.983502,182,"Border terrier",0.983502,184,"Irish terrier",0.008509,185,"Norfolk terrier",0.004019,0,0.000000,0xaaaaf33e9251,833,2,0,0,0
"n02093991/n02093991_7823.JPEG",184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,520,"crib, cot",0.999982,202,"soft-coated wheaten terrier",0.000010,184,"Irish terrier",0.000003,0,-0.447763,0xaaaaf33e90df,463,7,0,0,0
"n02093991/n02093991_7935.JPEG",184,"Irish terrier",184,"Irish terrier",0.964093,725,"pitcher, ewer",0.359426,184,"Irish terrier",0.279921,903,"wig",0.218003,0,0.604667,0xaaaaf33e9233,803,6,0,0,0
"n02093991/n02093991_8145.JPEG",184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,202,"soft-coated wheaten terrier",0.312535,184,"Irish terrier",0.189562,163,"bloodhound, sleuthhound",0.189562,0,0.004967,0xaaaaf33e917e,622,5,0,0,0
"n02096051/n02096051_2751.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,191,"Airedale, Airedale terrier",0.841999,189,"Lakeland terrier",0.041921,187,"Yorkshire terrier",0.032648,1,-0.000015,0xaaaaf33e9293,899,2,0,0,0
"n02096051/n02096051_2946.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,930,"French loaf",1.000000,191,"Airedale, Airedale terrier",0.000000,211,"vizsla, Hungarian pointer",0.000000,0,-0.085920,0xaaaaf33e92b2,930,7,0,0,0
"n02096051/n02096051_495.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.968609,138,"bustard",0.999384,191,"Airedale, Airedale terrier",0.000553,799,"sliding door",0.000045,0,-0.030775,0xaaaaf33e8fe5,213,7,0,0,0
"n02096051/n02096051_5436.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.988703,638,"maillot",0.999941,191,"Airedale, Airedale terrier",0.000058,189,"Lakeland terrier",0.000001,0,-0.011238,0xaaaaf33e90d1,449,4,0,0,0
"n02096051/n02096051_668.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.991122,191,"Airedale, Airedale terrier",0.685233,489,"chainlink fence",0.252083,736,"pool table, billiard table, snooker table",0.056247,1,0.305889,0xaaaaf33e905f,335,1,0,0,0
"n02113186/n02113186_12291.JPEG",264,"Cardigan, Cardigan Welsh corgi",264,"Cardigan, Cardigan Welsh corgi",0.848451,841,"sweatshirt",0.791781,264,"Cardigan, Cardigan Welsh corgi",0.176670,263,"Pembroke, Pembroke Welsh corgi",0.011294,0,0.056670,0xaaaaf33e9259,841,6,0,0,0
"n02113186/n02113186_13231.JPEG",264,"Cardigan, Cardigan Welsh corgi",201,"silky terrier, Sydney silky",0.489978,201,"silky terrier, Sydney silky",0.481768,275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",0.292207,212,"English setter",0.083719,0,0.008210,0xaaaaf33e90b0,416,5,0,0,0
"n02113186/n02113186_50.JPEG",264,"Cardigan, Cardigan Welsh corgi",263,"Pembroke, Pembroke Welsh corgi",0.516311,263,"Pembroke, Pembroke Welsh corgi",0.516325,264,"Cardigan, Cardigan Welsh corgi",0.402115,158,"toy terrier",0.033008,0,-0.000014,0xaaaaf33e904a,314,0,0,0,0
"n02113186/n02113186_5538.JPEG",264,"Cardigan, Cardigan Welsh corgi",162,"beagle",0.571110,327,"starfish, sea star",1.000000,162,"beagle",0.000000,166,"Walker hound, Walker foxhound",0.000000,0,-0.428890,0xaaaaf33e918f,639,1,0,0,0
"n02113186/n02113186_9772.JPEG",264,"Cardigan, Cardigan Welsh corgi",195,"Boston bull, Boston terrier",0.305252,190,"Sealyham terrier, Sealyham",0.991941,264,"Cardigan, Cardigan Welsh corgi",0.002459,195,"Boston bull, Boston terrier",0.002459,0,-0.686688,0xaaaaf33e9253,835,1,0,0,0
"n02114855/n02114855_1044.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.933076,790,"shopping basket",0.999954,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.000035,297,"sloth bear, Melursus ursinus, Ursus ursinus",0.000008,0,-0.066878,0xaaaaf33e90bb,427,0,0,0,0
