image_name,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,fault_vaddr,fault_byte_offset,fault_bit,timeout,crash,output_anomaly
"n01748264/n01748264_12351.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,63,"Indian cobra, Naja naja",0.936442,54,"hognose snake, puff adder, sand viper",0.046623,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.002980,1,-0.090491,0xaaab141dc759,53545,3,0,0,0
"n01748264/n01748264_12842.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,63,"Indian cobra, Naja naja",0.941951,57,"garter snake, grass snake",0.036523,60,"night snake, Hypsiglena torquata",0.010464,1,-0.005236,0xaaab141db606,49110,3,0,0,0
"n01748264/n01748264_15432.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,63,"Indian cobra, Naja naja",0.999667,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.000075,390,"eel",0.000058,1,0.000307,0xaaab141debbd,62861,5,0,0,0
"n01748264/n01748264_19883.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,63,"Indian cobra, Naja naja",0.959050,60,"night snake, Hypsiglena torquata",0.028961,58,"water snake",0.008297,1,0.018378,0xaaab141f354b,147227,5,0,0,0
"n01748264/n01748264_2196.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,63,"Indian cobra, Naja naja",0.902683,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.035001,114,"slug",0.012876,1,0.094718,0xaaab141d6c75,30277,1,0,0,0
"n02093991/n02093991_2155.JPEG",184,"Irish terrier",184,"Irish terrier",0.614769,211,"vizsla, Hungarian pointer",0.353079,182,"Border terrier",0.274978,184,"Irish terrier",0.214153,0,0.261689,0xaaab141d5554,24356,6,0,0,0
"n02093991/n02093991_75.JPEG",184,"Irish terrier",182,"Border terrier",0.983502,182,"Border terrier",0.938769,185,"Norfolk terrier",0.028348,184,"Irish terrier",0.010429,0,0.044732,0xaaab141d59b3,25475,2,0,0,0
"n02093991/n02093991_7823.JPEG",184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,202,"soft-coated wheaten terrier",0.667946,184,"Irish terrier",0.116072,226,"briard",0.090397,0,-0.115727,0xaaab141e653e,93966,1,0,0,0
"n02093991/n02093991_7935.JPEG",184,"Irish terrier",184,"Irish terrier",0.964093,184,"Irish terrier",0.399130,189,"Lakeland terrier",0.310843,192,"cairn, cairn terrier",0.114353,1,0.564963,0xaaab141ea0f6,109254,6,0,0,0
"n02093991/n02093991_8145.JPEG",184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,163,"bloodhound, sleuthhound",0.495748,243,"bull mastiff",0.300687,202,"soft-coated wheaten terrier",0.040694,0,-0.178246,0xaaab141dbee5,51381,2,0,0,0
"n02096051/n02096051_2751.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,191,"Airedale, Airedale terrier",0.758867,189,"Lakeland terrier",0.079984,201,"silky terrier, Sydney silky",0.062292,1,0.083118,0xaaab141e6277,93255,7,0,0,0
"n02096051/n02096051_2946.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,191,"Airedale, Airedale terrier",0.959906,211,"vizsla, Hungarian pointer",0.013692,189,"Lakeland terrier",0.008305,1,-0.045826,0xaaab141d45da,20394,0,0,0,0
"n02096051/n02096051_495.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.968609,191,"Airedale, Airedale terrier",0.991119,189,"Lakeland terrier",0.008575,188,"wire-haired fox terrier",0.000259,1,-0.022510,0xaaab141e5bc4,91540,1,0,0,0
"n02096051/n02096051_5436.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.988703,191,"Airedale, Airedale terrier",0.972144,189,"Lakeland terrier",0.008411,175,"otterhound, otter hound",0.005101,1,0.016558,0xaaab141ee341,126225,7,0,0,0
"n02096051/n02096051_668.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.991122,191,"Airedale, Airedale terrier",0.975157,189,"Lakeland terrier",0.022933,175,"otterhound, otter hound",0.000693,1,0.015965,0xaaab141e5781,90449,0,0,0,0
"n02113186/n02113186_12291.JPEG",264,"Cardigan, Cardigan Welsh corgi",264,"Cardigan, Cardigan Welsh corgi",0.848451,264,"Cardigan, Cardigan Welsh corgi",0.618006,248,"Eskimo dog, husky",0.065137,263,"Pembroke, Pembroke Welsh corgi",0.050729,1,0.230445,0xaaab141dae45,47125,3,0,0,0
"n02113186/n02113186_13231.JPEG",264,"Cardigan, Cardigan Welsh corgi",201,"silky terrier, Sydney silky",0.489978,212,"English setter",0.405819,203,"West Highland white terrier",0.191695,275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",0.090550,0,0.084159,0xaaab141cf9fa,970,0,0,0,0
"n02113186/n02113186_50.JPEG",264,"Cardigan, Cardigan Welsh corgi",263,"Pembroke, Pembroke Welsh corgi",0.516311,264,"Cardigan, Cardigan Welsh corgi",0.661774,263,"Pembroke, Pembroke Welsh corgi",0.189601,227,"kelpie",0.069750,1,-0.145462,0xaaab141e9d11,108257,6,0,0,0
"n02113186/n02113186_5538.JPEG",264,"Cardigan, Cardigan Welsh corgi",162,"beagle",0.571110,162,"beagle",0.889259,166,"Walker hound, Walker foxhound",0.044274,161,"basset, basset hound",0.026853,0,-0.318149,0xaaab141eec2d,128509,6,0,0,0
"n02113186/n02113186_9772.JPEG",264,"Cardigan, Cardigan Welsh corgi",195,"Boston bull, Boston terrier",0.305252,338,"guinea pig, Cavia cobaya",0.414782,264,"Cardigan, Cardigan Welsh corgi",0.152590,195,"Boston bull, Boston terrier",0.118837,0,-0.109529,0xaaab141df6c6,65686,2,0,0,0
"n02114855/n02114855_1044.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.933076,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.953027,331,"hare",0.017455,104,"wallaby, brush kangaroo",0.008245,1,-0.019951,0xaaab141e8856,102950,3,0,0,0
"n02114855/n02114855_1047.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.856385,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.878072,271,"red wolf, maned wolf, Canis rufus, Canis niger",0.072077,269,"timber wolf, grey wolf, gray wolf, Canis lupus",0.026515,1,-0.021687,0xaaab141decea,63162,0,0,0,0
