injection_type,target,bits,total_images,baseline_correctly_classified,baseline_accuracy_pct,correctly_classified,misclassified,accuracy_pct
MBU,BUFFERS,1,100,75,75.00,69,31,69.00
MBU,BUFFERS,2,100,75,75.00,64,36,64.00
MBU,BUFFERS,5,100,75,75.00,52,48,52.00
MBU,BUFFERS,10,100,75,75.00,24,76,24.00
MBU,BUFFERS,15,100,75,75.00,21,79,21.00
MBU,BUFFERS,20,100,75,75.00,16,84,16.00
MBU,BUFFERS,50,100,75,75.00,5,95,5.00
MBU,BUFFERS,100,100,75,75.00,3,97,3.00
MBU,BUFFERS,200,100,75,75.00,0,100,0.00
MBU,BUFFERS,500,100,75,75.00,2,98,2.00
MBU,BUFFERS,1000,100,75,75.00,0,100,0.00
