injection_type,target,k_bits,image_name,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,fault_addr,fault_byte_offset,fault_bit,crash
"MBU","BUFFERS",2,"n01748264/n01748264_12351.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,63,"Indian cobra, Naja naja",0.604424,770,"running shoe",0.285510,54,"hognose snake, puff adder, sand viper",0.105033,1,0.241527,0x5aeb302,770,6,0
"MBU","BUFFERS",2,"n01748264/n01748264_12842.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,63,"Indian cobra, Naja naja",0.936715,57,"garter snake, grass snake",0.017157,64,"green mamba",0.013362,1,0.000000,0x5aeb30e,782,5,0
"MBU","BUFFERS",2,"n01748264/n01748264_15432.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,63,"Indian cobra, Naja naja",0.999974,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.000017,64,"green mamba",0.000002,1,0.000000,0x5aeb2a5,677,4,0
"MBU","BUFFERS",2,"n01748264/n01748264_19883.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,63,"Indian cobra, Naja naja",0.977416,60,"night snake, Hypsiglena torquata",0.013942,58,"water snake",0.006586,1,0.000012,0x5aeb2e7,743,5,0
"MBU","BUFFERS",2,"n01748264/n01748264_2196.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,63,"Indian cobra, Naja naja",0.997401,65,"sea snake",0.000708,54,"hognose snake, puff adder, sand viper",0.000552,1,0.000000,0x5aeb0d4,212,2,0
"MBU","BUFFERS",2,"n02093991/n02093991_2155.JPEG",184,"Irish terrier",184,"Irish terrier",0.614769,184,"Irish terrier",0.614769,211,"vizsla, Hungarian pointer",0.226161,182,"Border terrier",0.083200,1,0.000000,0x5aeb04a,74,1,0
"MBU","BUFFERS",2,"n02093991/n02093991_75.JPEG",184,"Irish terrier",182,"Border terrier",0.983502,182,"Border terrier",0.983445,184,"Irish terrier",0.008508,185,"Norfolk terrier",0.004019,0,0.000056,0x5aeb09d,157,5,0
"MBU","BUFFERS",2,"n02093991/n02093991_7823.JPEG",184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,202,"soft-coated wheaten terrier",0.552219,184,"Irish terrier",0.158213,226,"briard",0.123217,0,0.000000,0x5aeb38a,906,5,0
"MBU","BUFFERS",2,"n02093991/n02093991_7935.JPEG",184,"Irish terrier",184,"Irish terrier",0.964093,184,"Irish terrier",0.964093,182,"Border terrier",0.017658,192,"cairn, cairn terrier",0.006496,1,-0.000000,0x5aeb29f,671,2,0
"MBU","BUFFERS",2,"n02093991/n02093991_8145.JPEG",184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,202,"soft-coated wheaten terrier",0.317502,184,"Irish terrier",0.192575,163,"bloodhound, sleuthhound",0.192575,0,-0.000000,0x5aeb2d6,726,4,0
"MBU","BUFFERS",2,"n02096051/n02096051_2751.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,191,"Airedale, Airedale terrier",0.841985,189,"Lakeland terrier",0.041920,187,"Yorkshire terrier",0.032647,1,0.000000,0x5aeb22a,554,3,0
"MBU","BUFFERS",2,"n02096051/n02096051_2946.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,191,"Airedale, Airedale terrier",0.914080,211,"vizsla, Hungarian pointer",0.035443,189,"Lakeland terrier",0.013039,1,-0.000000,0x5aeb01b,27,4,0
"MBU","BUFFERS",2,"n02096051/n02096051_495.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.968609,800,"slot, one-armed bandit",0.999972,191,"Airedale, Airedale terrier",0.000028,189,"Lakeland terrier",0.000001,0,-0.031362,0x5aeb2f2,754,0,0
"MBU","BUFFERS",2,"n02096051/n02096051_5436.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.988703,191,"Airedale, Airedale terrier",0.988703,189,"Lakeland terrier",0.008554,184,"Irish terrier",0.001158,1,0.000000,0x5aeb143,323,5,0
"MBU","BUFFERS",2,"n02096051/n02096051_668.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.991122,191,"Airedale, Airedale terrier",0.991122,175,"otterhound, otter hound",0.006678,189,"Lakeland terrier",0.001490,1,0.000000,0x5aeb1c1,449,4,0
"MBU","BUFFERS",2,"n02113186/n02113186_12291.JPEG",264,"Cardigan, Cardigan Welsh corgi",264,"Cardigan, Cardigan Welsh corgi",0.848451,264,"Cardigan, Cardigan Welsh corgi",0.844125,263,"Pembroke, Pembroke Welsh corgi",0.053963,253,"basenji",0.025490,1,0.004326,0x5aeb0c3,195,3,0
"MBU","BUFFERS",2,"n02113186/n02113186_13231.JPEG",264,"Cardigan, Cardigan Welsh corgi",201,"silky terrier, Sydney silky",0.489978,201,"silky terrier, Sydney silky",0.451532,275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",0.273868,212,"English setter",0.078465,0,0.038446,0x5aeb376,886,1,0
"MBU","BUFFERS",2,"n02113186/n02113186_50.JPEG",264,"Cardigan, Cardigan Welsh corgi",263,"Pembroke, Pembroke Welsh corgi",0.516311,263,"Pembroke, Pembroke Welsh corgi",0.516312,264,"Cardigan, Cardigan Welsh corgi",0.402104,158,"toy terrier",0.033007,0,-0.000001,0x5aeb233,563,0,0
"MBU","BUFFERS",2,"n02113186/n02113186_5538.JPEG",264,"Cardigan, Cardigan Welsh corgi",162,"beagle",0.571110,162,"beagle",0.571118,166,"Walker hound, Walker foxhound",0.099245,263,"Pembroke, Pembroke Welsh corgi",0.077292,0,-0.000007,0x5aeb364,868,2,0
"MBU","BUFFERS",2,"n02113186/n02113186_9772.JPEG",264,"Cardigan, Cardigan Welsh corgi",195,"Boston bull, Boston terrier",0.305252,264,"Cardigan, Cardigan Welsh corgi",0.305254,195,"Boston bull, Boston terrier",0.305254,242,"boxer",0.144192,1,-0.000002,0x5aeb204,516,0,0
"MBU","BUFFERS",2,"n02114855/n02114855_1044.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.933076,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.802892,289,"snow leopard, ounce, Panthera uncia",0.139522,331,"hare",0.014705,1,0.130184,0x5aeb22b,555,6,0
"MBU","BUFFERS",2,"n02114855/n02114855_1047.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.856385,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.856385,280,"grey fox, gray fox, Urocyon cinereoargenteus",0.054747,271,"red wolf, maned wolf, Canis rufus, Canis niger",0.054747,1,-0.000000,0x5aeb233,563,0,0
