image_name,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,timeout,crash
"n01484850/ILSVRC2012_val_00014467.JPEG",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.876746,128,"black stork, Ciconia nigra",0.998666,2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.001169,3,"tiger shark, Galeocerdo cuvieri",0.000158,0,-0.121921,0,0
"n01484850/ILSVRC2012_val_00019409.JPEG",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.994412,2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.994412,3,"tiger shark, Galeocerdo cuvieri",0.004064,296,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",0.000550,1,0.000000,0,0
"n01484850/ILSVRC2012_val_00027514.JPEG",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.981914,2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.981036,3,"tiger shark, Galeocerdo cuvieri",0.017968,178,"Weimaraner",0.000895,1,0.000878,0,0
"n01484850/ILSVRC2012_val_00030127.JPEG",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.828307,2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.823642,395,"gar, garfish, garpike, billfish, Lepisosteus osseus",0.111468,391,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",0.024872,1,0.004665,0,0
"n01484850/ILSVRC2012_val_00039445.JPEG",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.968529,415,"bakery, bakeshop, bakehouse",0.999555,2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.000431,3,"tiger shark, Galeocerdo cuvieri",0.000013,0,-0.031027,0,0
"n01494475/ILSVRC2012_val_00012546.JPEG",4,"hammerhead, hammerhead shark",389,"barracouta, snoek",0.717536,389,"barracouta, snoek",0.717536,391,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",0.124689,118,"Dungeness crab, Cancer magister",0.124689,0,0.000000,0,0
"n01494475/ILSVRC2012_val_00016259.JPEG",4,"hammerhead, hammerhead shark",4,"hammerhead, hammerhead shark",0.850878,4,"hammerhead, hammerhead shark",0.850878,3,"tiger shark, Galeocerdo cuvieri",0.115154,2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.032992,1,0.000000,0,0
"n01494475/ILSVRC2012_val_00027160.JPEG",4,"hammerhead, hammerhead shark",4,"hammerhead, hammerhead shark",0.949749,70,"harvestman, daddy longlegs, Phalangium opilio",0.997972,4,"hammerhead, hammerhead shark",0.001927,3,"tiger shark, Galeocerdo cuvieri",0.000096,0,-0.048223,0,0
"n01494475/ILSVRC2012_val_00034178.JPEG",4,"hammerhead, hammerhead shark",913,"wreck",0.757686,365,"orangutan, orang, orangutang, Pongo pygmaeus",0.673158,913,"wreck",0.247641,5,"electric ray, crampfish, numbfish, torpedo",0.026101,0,0.084528,0,0
"n01494475/ILSVRC2012_val_00039588.JPEG",4,"hammerhead, hammerhead shark",4,"hammerhead, hammerhead shark",0.986228,4,"hammerhead, hammerhead shark",0.986226,3,"tiger shark, Galeocerdo cuvieri",0.006645,2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.006645,1,0.000002,0,0
"n01644900/ILSVRC2012_val_00010593.JPEG",32,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",32,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",0.979690,846,"table lamp",0.679169,516,"cradle",0.320817,32,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",0.000015,0,0.300521,0,0
"n01644900/ILSVRC2012_val_00016934.JPEG",32,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",26,"common newt, Triturus vulgaris",0.460747,265,"toy poodle",0.997561,26,"common newt, Triturus vulgaris",0.001168,30,"bullfrog, Rana catesbeiana",0.000335,0,-0.536814,0,0
"n01644900/ILSVRC2012_val_00021776.JPEG",32,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",119,"rock crab, Cancer irroratus",0.470971,119,"rock crab, Cancer irroratus",0.469471,124,"crayfish, crawfish, crawdad, crawdaddy",0.172709,58,"water snake",0.104753,0,0.001499,0,0
"n01644900/ILSVRC2012_val_00024102.JPEG",32,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",49,"African crocodile, Nile crocodile, Crocodylus niloticus",0.377168,49,"African crocodile, Nile crocodile, Crocodylus niloticus",0.377174,389,"barracouta, snoek",0.293744,50,"American alligator, Alligator mississipiensis",0.065543,0,-0.000007,0,0
"n01644900/ILSVRC2012_val_00036722.JPEG",32,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",30,"bullfrog, Rana catesbeiana",0.504762,768,"rugby ball",1.000000,30,"bullfrog, Rana catesbeiana",0.000000,32,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",0.000000,0,-0.495238,0,0
"n01748264/ILSVRC2012_val_00003143.JPEG",63,"Indian cobra, Naja naja",57,"garter snake, grass snake",0.266503,60,"night snake, Hypsiglena torquata",0.266503,57,"garter snake, grass snake",0.266503,63,"Indian cobra, Naja naja",0.098041,0,-0.000000,0,0
"n01748264/ILSVRC2012_val_00014457.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.996006,63,"Indian cobra, Naja naja",0.995456,397,"puffer, pufferfish, blowfish, globefish",0.002467,360,"otter",0.000908,1,0.000550,0,0
