image_name,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,timeout,crash
"n01484850/ILSVRC2012_val_00014467.JPEG",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",3,"tiger shark, Galeocerdo cuvieri",0.001000,196,"miniature schnauzer",0.549291,198,"standard schnauzer",0.427788,197,"giant schnauzer",0.010061,0,-0.548291,0,0
"n01484850/ILSVRC2012_val_00019409.JPEG",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.876746,2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.875721,3,"tiger shark, Galeocerdo cuvieri",0.118516,6,"stingray",0.003579,1,0.001025,0,0
"n01484850/ILSVRC2012_val_00027514.JPEG",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.994412,2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.995646,3,"tiger shark, Galeocerdo cuvieri",0.003169,296,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",0.000429,1,-0.001234,0,0
"n01484850/ILSVRC2012_val_00030127.JPEG",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.981914,2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.981936,3,"tiger shark, Galeocerdo cuvieri",0.017985,5,"electric ray, crampfish, numbfish, torpedo",0.000057,1,-0.000021,0,0
"n01484850/ILSVRC2012_val_00039445.JPEG",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.828307,2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.831016,395,"gar, garfish, garpike, billfish, Lepisosteus osseus",0.112466,391,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",0.025094,1,-0.002708,0,0
"n01494475/ILSVRC2012_val_00012546.JPEG",4,"hammerhead, hammerhead shark",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.968529,2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.950057,3,"tiger shark, Galeocerdo cuvieri",0.047301,150,"sea lion",0.000866,0,0.018471,0,0
"n01494475/ILSVRC2012_val_00016259.JPEG",4,"hammerhead, hammerhead shark",389,"barracouta, snoek",0.717536,389,"barracouta, snoek",0.686970,118,"Dungeness crab, Cancer magister",0.153284,391,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",0.119377,0,0.030566,0,0
"n01494475/ILSVRC2012_val_00027160.JPEG",4,"hammerhead, hammerhead shark",4,"hammerhead, hammerhead shark",0.850878,4,"hammerhead, hammerhead shark",0.850874,3,"tiger shark, Galeocerdo cuvieri",0.115153,2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.032992,1,0.000004,0,0
"n01494475/ILSVRC2012_val_00034178.JPEG",4,"hammerhead, hammerhead shark",4,"hammerhead, hammerhead shark",0.949749,4,"hammerhead, hammerhead shark",0.949640,3,"tiger shark, Galeocerdo cuvieri",0.047280,2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.001428,1,0.000109,0,0
"n01494475/ILSVRC2012_val_00039588.JPEG",4,"hammerhead, hammerhead shark",913,"wreck",0.757686,913,"wreck",0.789692,5,"electric ray, crampfish, numbfish, torpedo",0.064822,983,"scuba diver",0.050483,0,-0.032006,0,0
"n01644900/ILSVRC2012_val_00010593.JPEG",32,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",4,"hammerhead, hammerhead shark",0.986228,4,"hammerhead, hammerhead shark",0.986228,3,"tiger shark, Galeocerdo cuvieri",0.006645,2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.006645,0,0.000000,0,0
