injection_type,target,bits,total_images,baseline_correctly_classified,baseline_accuracy_pct,correctly_classified,misclassified,accuracy_pct
MBU,INPUT_TENSOR,1,100,75,75.00,75,25,75.00
MBU,INPUT_TENSOR,5,100,75,75.00,77,23,77.00
MBU,INPUT_TENSOR,20,100,75,75.00,75,25,75.00
MBU,INPUT_TENSOR,50,100,75,75.00,73,27,73.00
MBU,INPUT_TENSOR,100,100,75,75.00,72,28,72.00
MBU,INPUT_TENSOR,200,100,75,75.00,72,28,72.00
MBU,INPUT_TENSOR,500,100,75,75.00,72,28,72.00
MBU,INPUT_TENSOR,1000,100,75,75.00,71,29,71.00
MBU,INPUT_TENSOR,2000,100,75,75.00,68,32,68.00
MBU,INPUT_TENSOR,5000,100,75,75.00,59,41,59.00
MBU,INPUT_TENSOR,10000,100,75,75.00,48,52,48.00
MBU,INPUT_TENSOR,20000,100,75,75.00,33,67,33.00
MBU,INPUT_TENSOR,50000,100,75,75.00,15,85,15.00
MBU,INPUT_TENSOR,100000,100,75,75.00,0,100,0.00
