injection_type,target,k_bits,image_name,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,fault_addr,fault_byte_offset,fault_bit,crash
"MBU","INPUT_TENSOR",50,"n01748264/n01748264_12351.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,63,"Indian cobra, Naja naja",0.809971,54,"hognose snake, puff adder, sand viper",0.180729,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.003310,1,0.035981,0x0,20202,0,0
"MBU","INPUT_TENSOR",50,"n01748264/n01748264_12842.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,63,"Indian cobra, Naja naja",0.911866,57,"garter snake, grass snake",0.021445,60,"night snake, Hypsiglena torquata",0.016701,1,0.024849,0x0,59163,3,0
"MBU","INPUT_TENSOR",50,"n01748264/n01748264_15432.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,63,"Indian cobra, Naja naja",0.999968,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.000021,64,"green mamba",0.000002,1,0.000006,0x0,125188,1,0
"MBU","INPUT_TENSOR",50,"n01748264/n01748264_19883.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,63,"Indian cobra, Naja naja",0.954407,60,"night snake, Hypsiglena torquata",0.028821,58,"water snake",0.013614,1,0.023022,0x0,41692,6,0
"MBU","INPUT_TENSOR",50,"n01748264/n01748264_2196.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,63,"Indian cobra, Naja naja",0.998155,65,"sea snake",0.000552,54,"hognose snake, puff adder, sand viper",0.000335,1,-0.000753,0x0,27278,4,0
"MBU","INPUT_TENSOR",50,"n02093991/n02093991_2155.JPEG",184,"Irish terrier",184,"Irish terrier",0.614769,184,"Irish terrier",0.613462,211,"vizsla, Hungarian pointer",0.225680,182,"Border terrier",0.083023,1,0.001307,0x0,3666,1,0
"MBU","INPUT_TENSOR",50,"n02093991/n02093991_75.JPEG",184,"Irish terrier",182,"Border terrier",0.983502,182,"Border terrier",0.973856,184,"Irish terrier",0.013891,185,"Norfolk terrier",0.006562,0,0.009645,0x0,95705,1,0
"MBU","INPUT_TENSOR",50,"n02093991/n02093991_7823.JPEG",184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,202,"soft-coated wheaten terrier",0.598038,184,"Irish terrier",0.171341,226,"briard",0.103923,0,-0.045819,0x0,65323,2,0
"MBU","INPUT_TENSOR",50,"n02093991/n02093991_7935.JPEG",184,"Irish terrier",184,"Irish terrier",0.964093,184,"Irish terrier",0.943491,182,"Border terrier",0.022189,192,"cairn, cairn terrier",0.013458,1,0.020602,0x0,2335,7,0
"MBU","INPUT_TENSOR",50,"n02093991/n02093991_8145.JPEG",184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,202,"soft-coated wheaten terrier",0.350925,163,"bloodhound, sleuthhound",0.212847,184,"Irish terrier",0.165765,0,-0.033423,0x0,76378,3,0
