image_name,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,timeout,crash
"n01484850/ILSVRC2012_val_00014467.JPEG",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",3,"tiger shark, Galeocerdo cuvieri",0.001000,196,"miniature schnauzer",0.662782,198,"standard schnauzer",0.313076,183,"Kerry blue terrier",0.012139,0,-0.661782,0,0
"n01484850/ILSVRC2012_val_00019409.JPEG",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.876746,2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.877694,3,"tiger shark, Galeocerdo cuvieri",0.118783,6,"stingray",0.002176,1,-0.000949,0,0
"n01484850/ILSVRC2012_val_00027514.JPEG",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.994412,2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.992495,3,"tiger shark, Galeocerdo cuvieri",0.005208,296,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",0.000905,1,0.001918,0,0
"n01484850/ILSVRC2012_val_00030127.JPEG",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.981914,2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.976845,3,"tiger shark, Galeocerdo cuvieri",0.022973,5,"electric ray, crampfish, numbfish, torpedo",0.000121,1,0.005069,0,0
"n01484850/ILSVRC2012_val_00039445.JPEG",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.828307,2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.829417,395,"gar, garfish, garpike, billfish, Lepisosteus osseus",0.112249,391,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",0.025046,1,-0.001109,0,0
"n01494475/ILSVRC2012_val_00012546.JPEG",4,"hammerhead, hammerhead shark",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.968529,2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.959865,3,"tiger shark, Galeocerdo cuvieri",0.037218,150,"sea lion",0.000875,0,0.008664,0,0
"n01494475/ILSVRC2012_val_00016259.JPEG",4,"hammerhead, hammerhead shark",389,"barracouta, snoek",0.717536,389,"barracouta, snoek",0.605582,118,"Dungeness crab, Cancer magister",0.222781,391,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",0.135124,0,0.111954,0,0
"n01494475/ILSVRC2012_val_00027160.JPEG",4,"hammerhead, hammerhead shark",4,"hammerhead, hammerhead shark",0.850878,4,"hammerhead, hammerhead shark",0.913512,3,"tiger shark, Galeocerdo cuvieri",0.058399,2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.027586,1,-0.062634,0,0
"n01494475/ILSVRC2012_val_00034178.JPEG",4,"hammerhead, hammerhead shark",4,"hammerhead, hammerhead shark",0.949749,4,"hammerhead, hammerhead shark",0.949678,3,"tiger shark, Galeocerdo cuvieri",0.047282,2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.001428,1,0.000071,0,0
"n01494475/ILSVRC2012_val_00039588.JPEG",4,"hammerhead, hammerhead shark",913,"wreck",0.757686,913,"wreck",0.780909,5,"electric ray, crampfish, numbfish, torpedo",0.105685,983,"scuba diver",0.038879,0,-0.023223,0,0
