image_name,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,timeout,crash
"n01484850/ILSVRC2012_val_00014467.JPEG",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",3,"tiger shark, Galeocerdo cuvieri",0.001000,196,"miniature schnauzer",0.606385,198,"standard schnauzer",0.367791,183,"Kerry blue terrier",0.014261,0,-0.605385,0,0
"n01484850/ILSVRC2012_val_00019409.JPEG",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.876746,2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.874603,3,"tiger shark, Galeocerdo cuvieri",0.118365,6,"stingray",0.004589,1,0.002142,0,0
"n01484850/ILSVRC2012_val_00027514.JPEG",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.994412,2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.994948,3,"tiger shark, Galeocerdo cuvieri",0.004066,296,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",0.000334,1,-0.000535,0,0
"n01484850/ILSVRC2012_val_00030127.JPEG",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.981914,2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.985816,3,"tiger shark, Galeocerdo cuvieri",0.014062,5,"electric ray, crampfish, numbfish, torpedo",0.000095,1,-0.003902,0,0
"n01484850/ILSVRC2012_val_00039445.JPEG",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.828307,2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.890067,395,"gar, garfish, garpike, billfish, Lepisosteus osseus",0.056900,3,"tiger shark, Galeocerdo cuvieri",0.026878,1,-0.061760,0,0
"n01494475/ILSVRC2012_val_00012546.JPEG",4,"hammerhead, hammerhead shark",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.968529,2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.960514,3,"tiger shark, Galeocerdo cuvieri",0.037243,150,"sea lion",0.000682,0,0.008014,0,0
"n01494475/ILSVRC2012_val_00016259.JPEG",4,"hammerhead, hammerhead shark",389,"barracouta, snoek",0.717536,389,"barracouta, snoek",0.714776,118,"Dungeness crab, Cancer magister",0.124209,391,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",0.124209,0,0.002760,0,0
"n01494475/ILSVRC2012_val_00027160.JPEG",4,"hammerhead, hammerhead shark",4,"hammerhead, hammerhead shark",0.850878,4,"hammerhead, hammerhead shark",0.898488,3,"tiger shark, Galeocerdo cuvieri",0.073752,2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.027132,1,-0.047610,0,0
"n01494475/ILSVRC2012_val_00034178.JPEG",4,"hammerhead, hammerhead shark",4,"hammerhead, hammerhead shark",0.949749,4,"hammerhead, hammerhead shark",0.900245,3,"tiger shark, Galeocerdo cuvieri",0.094885,2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.002865,1,0.049503,0,0
"n01494475/ILSVRC2012_val_00039588.JPEG",4,"hammerhead, hammerhead shark",913,"wreck",0.757686,913,"wreck",0.791718,983,"scuba diver",0.064988,5,"electric ray, crampfish, numbfish, torpedo",0.050613,0,-0.034032,0,0
"n01644900/ILSVRC2012_val_00010593.JPEG",32,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",4,"hammerhead, hammerhead shark",0.986228,4,"hammerhead, hammerhead shark",0.984454,2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.008517,3,"tiger shark, Galeocerdo cuvieri",0.006633,0,0.001775,0,0
"n01644900/ILSVRC2012_val_00016934.JPEG",32,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",32,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",0.979690,32,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",0.977282,30,"bullfrog, Rana catesbeiana",0.010857,31,"tree frog, tree-frog",0.006585,1,0.002407,0,0
"n01644900/ILSVRC2012_val_00021776.JPEG",32,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",26,"common newt, Triturus vulgaris",0.460747,26,"common newt, Triturus vulgaris",0.459442,30,"bullfrog, Rana catesbeiana",0.102515,94,"hummingbird",0.079839,0,0.001305,0,0
"n01644900/ILSVRC2012_val_00024102.JPEG",32,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",119,"rock crab, Cancer irroratus",0.470971,119,"rock crab, Cancer irroratus",0.299740,58,"water snake",0.181802,124,"crayfish, crawfish, crawdad, crawdaddy",0.181802,0,0.171230,0,0
"n01644900/ILSVRC2012_val_00036722.JPEG",32,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",49,"African crocodile, Nile crocodile, Crocodylus niloticus",0.377168,49,"African crocodile, Nile crocodile, Crocodylus niloticus",0.617677,389,"barracouta, snoek",0.176967,50,"American alligator, Alligator mississipiensis",0.065103,0,-0.240509,0,0
"n01748264/ILSVRC2012_val_00003143.JPEG",63,"Indian cobra, Naja naja",30,"bullfrog, Rana catesbeiana",0.504762,30,"bullfrog, Rana catesbeiana",0.532481,32,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",0.251526,397,"puffer, pufferfish, blowfish, globefish",0.043709,0,-0.027719,0,0
"n01748264/ILSVRC2012_val_00014457.JPEG",63,"Indian cobra, Naja naja",57,"garter snake, grass snake",0.266503,57,"garter snake, grass snake",0.243346,60,"night snake, Hypsiglena torquata",0.243346,63,"Indian cobra, Naja naja",0.114948,0,0.023157,0,0
"n01748264/ILSVRC2012_val_00021130.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.996006,63,"Indian cobra, Naja naja",0.994336,397,"puffer, pufferfish, blowfish, globefish",0.004064,360,"otter",0.000907,1,0.001670,0,0
"n01748264/ILSVRC2012_val_00030303.JPEG",63,"Indian cobra, Naja naja",358,"polecat, fitch, foulmart, foumart, Mustela putorius",0.713751,358,"polecat, fitch, foulmart, foumart, Mustela putorius",0.693851,356,"weasel",0.120573,362,"badger",0.093903,0,0.019899,0,0
"n01748264/ILSVRC2012_val_00042111.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.940430,63,"Indian cobra, Naja naja",0.951520,54,"hognose snake, puff adder, sand viper",0.036894,58,"water snake",0.002359,1,-0.011090,0,0
"n01773157/ILSVRC2012_val_00008960.JPEG",72,"black and gold garden spider, Argiope aurantia",54,"hognose snake, puff adder, sand viper",0.337059,54,"hognose snake, puff adder, sand viper",0.309934,58,"water snake",0.114018,60,"night snake, Hypsiglena torquata",0.114018,0,0.027125,0,0
"n01773157/ILSVRC2012_val_00022156.JPEG",72,"black and gold garden spider, Argiope aurantia",72,"black and gold garden spider, Argiope aurantia",0.670349,72,"black and gold garden spider, Argiope aurantia",0.615025,74,"garden spider, Aranea diademata",0.373032,92,"bee eater",0.004144,1,0.055323,0,0
