injection_type,target,bits,total_images,baseline_correctly_classified,baseline_accuracy_pct,correctly_classified,misclassified,accuracy_pct
MBU,WEIGHTS,1,100,75,75.00,75,25,75.00
MBU,WEIGHTS,5,100,75,75.00,75,25,75.00
MBU,WEIGHTS,20,100,75,75.00,75,25,75.00
MBU,WEIGHTS,50,100,75,75.00,77,23,77.00
MBU,WEIGHTS,100,100,75,75.00,77,23,77.00
MBU,WEIGHTS,200,100,75,75.00,75,25,75.00
MBU,WEIGHTS,500,100,75,75.00,75,25,75.00
MBU,WEIGHTS,1000,100,75,75.00,77,23,77.00
MBU,WEIGHTS,2000,100,75,75.00,76,24,76.00
MBU,WEIGHTS,5000,100,75,75.00,73,27,73.00
MBU,WEIGHTS,10000,100,75,75.00,65,35,65.00
MBU,WEIGHTS,20000,100,75,75.00,62,38,62.00
MBU,WEIGHTS,50000,100,75,75.00,34,66,34.00
MBU,WEIGHTS,100000,100,75,75.00,9,91,9.00
