injection_type,target,k_bits,image_name,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,fault_addr,fault_byte_offset,fault_bit,crash
"MBU","WEIGHTS",100000,"n01748264/n01748264_12351.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,54,"hognose snake, puff adder, sand viper",0.726680,63,"Indian cobra, Naja naja",0.076592,56,"king snake, kingsnake",0.036179,0,0.119271,0x1c55d2cd,5624525,1,0
"MBU","WEIGHTS",100000,"n01748264/n01748264_12842.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,987,"corn",0.540430,998,"ear, spike, capitulum",0.420887,619,"lampshade, lamp shade",0.007709,0,0.396285,0x1c232810,2304016,1,0
"MBU","WEIGHTS",100000,"n01748264/n01748264_15432.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,906,"Windsor tie",0.990574,805,"soccer ball",0.002455,885,"velvet",0.001912,0,0.009400,0x1cddbb69,14531433,5,0
"MBU","WEIGHTS",100000,"n01748264/n01748264_19883.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,393,"anemone fish",0.245940,998,"ear, spike, capitulum",0.116174,812,"space shuttle",0.070463,0,0.731488,0x1c0fda7c,1038972,2,0
"MBU","WEIGHTS",100000,"n01748264/n01748264_2196.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,765,"rocking chair, rocker",0.332301,594,"harp",0.095206,421,"bannister, banister, balustrade, balusters, handrail",0.074146,0,0.665100,0x1c3d7fd5,4030421,0,0
"MBU","WEIGHTS",100000,"n02093991/n02093991_2155.JPEG",184,"Irish terrier",184,"Irish terrier",0.614769,721,"pillow",0.886246,593,"harmonica, mouth organ, harp, mouth harp",0.044124,591,"handkerchief, hankie, hanky, hankey",0.016232,0,-0.271477,0x1cdfe382,14672770,2,0
"MBU","WEIGHTS",100000,"n02093991/n02093991_75.JPEG",184,"Irish terrier",182,"Border terrier",0.983502,207,"golden retriever",0.378417,219,"cocker spaniel, English cocker spaniel, cocker",0.108418,185,"Norfolk terrier",0.084436,0,0.605085,0x1c425616,4347414,4,0
"MBU","WEIGHTS",100000,"n02093991/n02093991_7823.JPEG",184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,815,"spider web, spider's web",0.619588,580,"greenhouse, nursery, glasshouse",0.083852,703,"park bench",0.050859,0,-0.067369,0x1d80a1c6,25207238,5,0
"MBU","WEIGHTS",100000,"n02093991/n02093991_7935.JPEG",184,"Irish terrier",184,"Irish terrier",0.964093,905,"window shade",0.698233,904,"window screen",0.256866,421,"bannister, banister, balustrade, balusters, handrail",0.012789,0,0.265860,0x1ce13895,14760085,1,0
"MBU","WEIGHTS",100000,"n02093991/n02093991_8145.JPEG",184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,987,"corn",0.103208,556,"fire screen, fireguard",0.080379,112,"conch",0.080379,0,0.214294,0x1c3bdbd0,3922896,1,0
"MBU","WEIGHTS",100000,"n02096051/n02096051_2751.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,522,"croquet ball",0.447674,84,"peacock",0.128261,88,"macaw",0.099889,0,0.394311,0x1c8a3439,9057337,1,0
"MBU","WEIGHTS",100000,"n02096051/n02096051_2946.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,794,"shower curtain",0.069231,884,"vault",0.069231,863,"totem pole",0.053917,0,0.844849,0x1c726348,7496520,6,0
"MBU","WEIGHTS",100000,"n02096051/n02096051_495.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.968609,760,"refrigerator, icebox",0.602415,713,"photocopier",0.172595,916,"web site, website, internet site, site",0.049449,0,0.366194,0x1c8e0be0,9309152,5,0
"MBU","WEIGHTS",100000,"n02096051/n02096051_5436.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.988703,62,"rock python, rock snake, Python sebae",0.673068,61,"boa constrictor, Constrictor constrictor",0.247608,63,"Indian cobra, Naja naja",0.055249,0,0.315635,0x1c218cad,2198701,5,0
"MBU","WEIGHTS",100000,"n02096051/n02096051_668.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.991122,363,"armadillo",0.144986,97,"drake",0.144986,797,"sleeping bag",0.068486,0,0.846136,0x1d6a8e5b,23760475,5,0
"MBU","WEIGHTS",100000,"n02113186/n02113186_12291.JPEG",264,"Cardigan, Cardigan Welsh corgi",264,"Cardigan, Cardigan Welsh corgi",0.848451,171,"Italian greyhound",0.144063,447,"binoculars, field glasses, opera glasses",0.087379,818,"spotlight, spot",0.087379,0,0.704388,0x1c551db7,5578167,5,0
"MBU","WEIGHTS",100000,"n02113186/n02113186_13231.JPEG",264,"Cardigan, Cardigan Welsh corgi",201,"silky terrier, Sydney silky",0.489978,696,"paintbrush",0.280261,815,"spider web, spider's web",0.132386,944,"artichoke, globe artichoke",0.080296,0,0.209717,0x1cc0c0a5,12632229,7,0
"MBU","WEIGHTS",100000,"n02113186/n02113186_50.JPEG",264,"Cardigan, Cardigan Welsh corgi",263,"Pembroke, Pembroke Welsh corgi",0.516311,815,"spider web, spider's web",0.537049,506,"coil, spiral, volute, whorl, helix",0.418254,580,"greenhouse, nursery, glasshouse",0.020824,0,-0.020738,0x1c5b043b,5964859,3,0
"MBU","WEIGHTS",100000,"n02113186/n02113186_5538.JPEG",264,"Cardigan, Cardigan Welsh corgi",162,"beagle",0.571110,905,"window shade",0.450613,794,"shower curtain",0.165771,614,"kimono",0.165771,0,0.120498,0x1c212a6b,2173547,4,0
"MBU","WEIGHTS",100000,"n02113186/n02113186_9772.JPEG",264,"Cardigan, Cardigan Welsh corgi",195,"Boston bull, Boston terrier",0.305252,112,"conch",0.206546,113,"snail",0.206546,889,"violin, fiddle",0.059176,0,0.098706,0x1c1df3f5,1962997,1,0
"MBU","WEIGHTS",100000,"n02114855/n02114855_1044.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.933076,835,"sundial",0.225472,77,"wolf spider, hunting spider",0.106505,815,"spider web, spider's web",0.106505,0,0.707604,0x1c1a6e8e,1732238,0,0
"MBU","WEIGHTS",100000,"n02114855/n02114855_1047.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.856385,904,"window screen",0.511572,750,"quilt, comforter, comfort, puff",0.088898,591,"handkerchief, hankie, hanky, hankey",0.069234,0,0.344812,0x1ce4b8ad,14989485,5,0
"MBU","WEIGHTS",100000,"n02114855/n02114855_18848.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.831597,904,"window screen",0.993533,905,"window shade",0.003162,113,"snail",0.001163,0,-0.161936,0x1d3c3b8c,20724620,4,0
"MBU","WEIGHTS",100000,"n02114855/n02114855_7204.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.926733,489,"chainlink fence",0.509944,476,"carousel, carrousel, merry-go-round, roundabout, whirligig",0.113784,468,"cab, hack, taxi, taxicab",0.032600,0,0.416789,0x1cb89a34,12098100,5,0
"MBU","WEIGHTS",100000,"n02114855/n02114855_7265.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.818428,534,"dishwasher, dish washer, dishwashing machine",0.257298,905,"window shade",0.257298,790,"shopping basket",0.121539,0,0.561130,0x1c1e32a7,1979047,1,0
"MBU","WEIGHTS",100000,"n02134418/n02134418_11090.JPEG",297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.945521,815,"spider web, spider's web",0.780868,904,"window screen",0.038877,74,"garden spider, Aranea diademata",0.038877,0,0.164653,0x1cd6aa3c,14068284,5,0
"MBU","WEIGHTS",100000,"n02134418/n02134418_2895.JPEG",297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.999508,371,"patas, hussar monkey, Erythrocebus patas",0.179936,616,"knot",0.140134,380,"titi, titi monkey",0.066195,0,0.819573,0x1d135cee,18046190,0,0
"MBU","WEIGHTS",100000,"n02134418/n02134418_3846.JPEG",297,"sloth bear, Melursus ursinus, Ursus ursinus",295,"American black bear, black bear, Ursus americanus, Euarctos americanus",0.730507,295,"American black bear, black bear, Ursus americanus, Euarctos americanus",0.284007,106,"wombat",0.134155,759,"reflex camera",0.063371,0,0.446500,0x1c0c2d55,798037,4,0
"MBU","WEIGHTS",100000,"n02134418/n02134418_4725.JPEG",297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.907159,616,"knot",0.350539,64,"green mamba",0.165583,47,"African chameleon, Chamaeleo chamaeleon",0.078216,0,0.556621,0x1ce3005f,14876767,6,0
"MBU","WEIGHTS",100000,"n02134418/n02134418_5777.JPEG",297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.608753,703,"park bench",0.599711,905,"window shade",0.220622,489,"chainlink fence",0.049227,0,0.009042,0x1c27b434,2602036,1,0
"MBU","WEIGHTS",100000,"n02264363/n02264363_13680.JPEG",318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.562020,738,"pot, flowerpot",0.468394,311,"grasshopper, hopper",0.172313,108,"sea anemone, anemone",0.038448,0,0.093626,0x1c2dba61,2996833,0,0
"MBU","WEIGHTS",100000,"n02264363/n02264363_3092.JPEG",318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.984973,936,"head cabbage",0.402684,692,"packet",0.190214,852,"tennis ball",0.054497,0,0.582289,0x1c2bd165,2871653,3,0
"MBU","WEIGHTS",100000,"n02264363/n02264363_4632.JPEG",318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.974743,883,"vase",0.979065,738,"pot, flowerpot",0.010876,988,"acorn",0.003116,0,-0.004322,0x1cbfee0a,12578314,7,0
