image_name,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,timeout,crash
"n01748264/n01748264_12351.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,63,"Indian cobra, Naja naja",0.874537,54,"hognose snake, puff adder, sand viper",0.118356,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.002783,1,-0.028586,0,0
"n01748264/n01748264_12842.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,63,"Indian cobra, Naja naja",0.920995,57,"garter snake, grass snake",0.021660,64,"green mamba",0.016869,1,0.015720,0,0
"n01748264/n01748264_15432.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,63,"Indian cobra, Naja naja",0.999974,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.000017,68,"sidewinder, horned rattlesnake, Crotalus cerastes",0.000002,1,0.000000,0,0
"n01748264/n01748264_19883.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,63,"Indian cobra, Naja naja",0.973201,60,"night snake, Hypsiglena torquata",0.017825,58,"water snake",0.006557,1,0.004228,0,0
"n01748264/n01748264_2196.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,63,"Indian cobra, Naja naja",0.997024,65,"sea snake",0.000909,54,"hognose snake, puff adder, sand viper",0.000708,1,0.000377,0,0
"n02093991/n02093991_2155.JPEG",184,"Irish terrier",184,"Irish terrier",0.614769,184,"Irish terrier",0.644542,211,"vizsla, Hungarian pointer",0.184664,182,"Border terrier",0.087229,1,-0.029773,0,0
"n02093991/n02093991_75.JPEG",184,"Irish terrier",182,"Border terrier",0.983502,182,"Border terrier",0.976384,184,"Irish terrier",0.010847,185,"Norfolk terrier",0.006579,0,0.007117,0,0
"n02093991/n02093991_7823.JPEG",184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,202,"soft-coated wheaten terrier",0.589716,184,"Irish terrier",0.168957,226,"briard",0.102477,0,-0.037497,0,0
"n02093991/n02093991_7935.JPEG",184,"Irish terrier",184,"Irish terrier",0.964093,184,"Irish terrier",0.956200,182,"Border terrier",0.022488,192,"cairn, cairn terrier",0.008273,1,0.007894,0,0
"n02093991/n02093991_8145.JPEG",184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,202,"soft-coated wheaten terrier",0.290498,163,"bloodhound, sleuthhound",0.176196,184,"Irish terrier",0.176196,0,0.027004,0,0
"n02096051/n02096051_2751.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,191,"Airedale, Airedale terrier",0.800799,189,"Lakeland terrier",0.051193,187,"Yorkshire terrier",0.039869,1,0.041186,0,0
"n02096051/n02096051_2946.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,191,"Airedale, Airedale terrier",0.899151,211,"vizsla, Hungarian pointer",0.044766,189,"Lakeland terrier",0.016469,1,0.014929,0,0
"n02096051/n02096051_495.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.968609,191,"Airedale, Airedale terrier",0.960867,189,"Lakeland terrier",0.037257,184,"Irish terrier",0.000876,1,0.007743,0,0
"n02096051/n02096051_5436.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.988703,191,"Airedale, Airedale terrier",0.991400,189,"Lakeland terrier",0.006680,188,"wire-haired fox terrier",0.000904,1,-0.002697,0,0
