image_name,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,timeout,crash
"n01748264/n01748264_12351.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,63,"Indian cobra, Naja naja",0.969349,54,"hognose snake, puff adder, sand viper",0.006531,61,"boa constrictor, Constrictor constrictor",0.003085,1,-0.123397,0,0
"n01748264/n01748264_12842.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,63,"Indian cobra, Naja naja",0.971390,57,"garter snake, grass snake",0.013856,65,"sea snake",0.010791,1,-0.034675,0,0
"n01748264/n01748264_15432.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,63,"Indian cobra, Naja naja",0.838762,390,"eel",0.068850,58,"water snake",0.053620,1,0.161212,0,0
"n01748264/n01748264_19883.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,490,"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour",0.139313,126,"isopod",0.139313,108,"sea anemone, anemone",0.051251,0,0.838115,0,0
"n01748264/n01748264_2196.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,419,"Band Aid",0.398489,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.188233,63,"Indian cobra, Naja naja",0.188233,0,0.598912,0,0
"n02093991/n02093991_2155.JPEG",184,"Irish terrier",184,"Irish terrier",0.614769,182,"Border terrier",0.452102,191,"Airedale, Airedale terrier",0.166319,211,"vizsla, Hungarian pointer",0.129529,0,0.162667,0,0
"n02093991/n02093991_75.JPEG",184,"Irish terrier",182,"Border terrier",0.983502,182,"Border terrier",0.758662,189,"Lakeland terrier",0.131836,185,"Norfolk terrier",0.062275,0,0.224840,0,0
"n02093991/n02093991_7823.JPEG",184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,184,"Irish terrier",0.509542,202,"soft-coated wheaten terrier",0.187450,226,"briard",0.068959,1,0.042677,0,0
"n02093991/n02093991_7935.JPEG",184,"Irish terrier",184,"Irish terrier",0.964093,184,"Irish terrier",0.220293,213,"Irish setter, red setter",0.104059,189,"Lakeland terrier",0.081041,1,0.743800,0,0
"n02093991/n02093991_8145.JPEG",184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,163,"bloodhound, sleuthhound",0.676024,243,"bull mastiff",0.117475,246,"Great Dane",0.055491,0,-0.358521,0,0
"n02096051/n02096051_2751.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,191,"Airedale, Airedale terrier",0.856148,189,"Lakeland terrier",0.090237,201,"silky terrier, Sydney silky",0.020135,1,-0.014163,0,0
"n02096051/n02096051_2946.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,191,"Airedale, Airedale terrier",0.948718,211,"vizsla, Hungarian pointer",0.022312,189,"Lakeland terrier",0.004978,1,-0.034638,0,0
"n02096051/n02096051_495.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.968609,191,"Airedale, Airedale terrier",0.816283,189,"Lakeland terrier",0.182137,188,"wire-haired fox terrier",0.001227,1,0.152326,0,0
"n02096051/n02096051_5436.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.988703,741,"prayer rug, prayer mat",0.246455,991,"coral fungus",0.054992,640,"manhole cover",0.042828,0,0.742248,0,0
"n02096051/n02096051_668.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.991122,191,"Airedale, Airedale terrier",0.960275,189,"Lakeland terrier",0.022583,193,"Australian terrier",0.013698,1,0.030847,0,0
"n02113186/n02113186_12291.JPEG",264,"Cardigan, Cardigan Welsh corgi",264,"Cardigan, Cardigan Welsh corgi",0.848451,248,"Eskimo dog, husky",0.348934,264,"Cardigan, Cardigan Welsh corgi",0.164825,250,"Siberian husky",0.128366,0,0.499517,0,0
"n02113186/n02113186_13231.JPEG",264,"Cardigan, Cardigan Welsh corgi",201,"silky terrier, Sydney silky",0.489978,203,"West Highland white terrier",0.768277,188,"wire-haired fox terrier",0.171426,212,"English setter",0.014071,0,-0.278299,0,0
"n02113186/n02113186_50.JPEG",264,"Cardigan, Cardigan Welsh corgi",263,"Pembroke, Pembroke Welsh corgi",0.516311,264,"Cardigan, Cardigan Welsh corgi",0.654347,263,"Pembroke, Pembroke Welsh corgi",0.240721,227,"kelpie",0.041831,1,-0.138035,0,0
"n02113186/n02113186_5538.JPEG",264,"Cardigan, Cardigan Welsh corgi",162,"beagle",0.571110,162,"beagle",0.303119,235,"German shepherd, German shepherd dog, German police dog, alsatian",0.183851,161,"basset, basset hound",0.143183,0,0.267991,0,0
"n02113186/n02113186_9772.JPEG",264,"Cardigan, Cardigan Welsh corgi",195,"Boston bull, Boston terrier",0.305252,230,"Shetland sheepdog, Shetland sheep dog, Shetland",0.369456,338,"guinea pig, Cavia cobaya",0.287732,264,"Cardigan, Cardigan Welsh corgi",0.105851,0,-0.064203,0,0
"n02114855/n02114855_1044.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.933076,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.910585,331,"hare",0.016678,104,"wallaby, brush kangaroo",0.012989,1,0.022491,0,0
"n02114855/n02114855_1047.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.856385,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.225920,269,"timber wolf, grey wolf, gray wolf, Canis lupus",0.175947,937,"broccoli",0.083111,1,0.630464,0,0
