image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,regions_covered,bytes_in_weights,bytes_in_input,bytes_in_output,crash
"n01748264/n01748264_12351.JPEG","SEFI-row","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,63,"Indian cobra, Naja naja",0.929184,54,"hognose snake, puff adder, sand viper",0.046261,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.008039,1,-0.083233,8192,33041,0x1ba9e820,"input_tensor",0,8192,0,0
"n01748264/n01748264_12842.JPEG","SEFI-row","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,63,"Indian cobra, Naja naja",0.954931,57,"garter snake, grass snake",0.017490,60,"night snake, Hypsiglena torquata",0.010608,1,-0.018216,8192,32882,0x1ba92820,"input_tensor",0,8192,0,0
"n01748264/n01748264_15432.JPEG","SEFI-row","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,63,"Indian cobra, Naja naja",0.999854,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.000075,67,"diamondback, diamondback rattlesnake, Crotalus adamanteus",0.000021,1,0.000121,8192,32878,0x1ba98820,"input_tensor",0,8192,0,0
"n01748264/n01748264_19883.JPEG","SEFI-row","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,63,"Indian cobra, Naja naja",0.998205,60,"night snake, Hypsiglena torquata",0.000910,58,"water snake",0.000261,1,-0.020777,8192,32924,0x1ba88820,"input_tensor",0,8192,0,0
"n01748264/n01748264_2196.JPEG","SEFI-row","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,63,"Indian cobra, Naja naja",0.837026,58,"water snake",0.068707,65,"sea snake",0.032455,1,0.160375,8192,33063,0x1ba92820,"input_tensor",0,8192,0,0
"n02093991/n02093991_2155.JPEG","SEFI-row","input_tensor",0,184,"Irish terrier",184,"Irish terrier",0.614769,211,"vizsla, Hungarian pointer",0.620290,184,"Irish terrier",0.138405,193,"Australian terrier",0.083947,0,-0.005521,8192,32953,0x1ba84820,"input_tensor",0,8192,0,0
"n02093991/n02093991_75.JPEG","SEFI-row","input_tensor",0,184,"Irish terrier",182,"Border terrier",0.983502,182,"Border terrier",0.984919,185,"Norfolk terrier",0.006636,184,"Irish terrier",0.003135,0,-0.001418,8192,32785,0x1ba9a820,"input_tensor",0,8192,0,0
"n02093991/n02093991_7823.JPEG","SEFI-row","input_tensor",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,202,"soft-coated wheaten terrier",0.630181,226,"briard",0.140612,184,"Irish terrier",0.109509,0,-0.077961,8192,32964,0x1baa2820,"input_tensor",0,8192,0,0
"n02093991/n02093991_7935.JPEG","SEFI-row","input_tensor",0,184,"Irish terrier",184,"Irish terrier",0.964093,184,"Irish terrier",0.916553,189,"Lakeland terrier",0.027677,182,"Border terrier",0.021555,1,0.047541,8192,33098,0x1ba9c820,"input_tensor",0,8192,0,0
"n02093991/n02093991_8145.JPEG","SEFI-row","input_tensor",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,246,"Great Dane",0.322042,202,"soft-coated wheaten terrier",0.250806,243,"bull mastiff",0.118473,0,-0.004539,8192,32663,0x1ba9a820,"input_tensor",0,8192,0,0
