image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,regions_covered,bytes_in_weights,bytes_in_input,bytes_in_output,crash
"n01748264/n01748264_12351.JPEG","SEFI-row","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,63,"Indian cobra, Naja naja",0.845201,54,"hognose snake, puff adder, sand viper",0.146874,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.002690,1,0.000751,8192,32940,0x1d22e000,"weights",8192,0,0,0
"n01748264/n01748264_12842.JPEG","SEFI-row","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,63,"Indian cobra, Naja naja",0.888006,64,"green mamba",0.026815,60,"night snake, Hypsiglena torquata",0.026815,1,0.048709,8192,33182,0x1cca2000,"weights",8192,0,0,0
"n01748264/n01748264_15432.JPEG","SEFI-row","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,905,"window shade",0.991319,703,"park bench",0.005202,904,"window screen",0.001490,0,0.008655,8192,32685,0x1c11a000,"weights",8192,0,0,0
"n01748264/n01748264_19883.JPEG","SEFI-row","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,63,"Indian cobra, Naja naja",0.963915,60,"night snake, Hypsiglena torquata",0.022669,58,"water snake",0.010708,1,0.013513,8192,32761,0x1c4b6000,"weights",8192,0,0,0
"n01748264/n01748264_2196.JPEG","SEFI-row","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,63,"Indian cobra, Naja naja",0.996716,65,"sea snake",0.000909,54,"hognose snake, puff adder, sand viper",0.000708,1,0.000685,8192,32929,0x1d222000,"weights",8192,0,0,0
"n02093991/n02093991_2155.JPEG","SEFI-row","weights",0,184,"Irish terrier",184,"Irish terrier",0.614769,184,"Irish terrier",0.515085,211,"vizsla, Hungarian pointer",0.401148,159,"Rhodesian ridgeback",0.054290,1,0.099684,8192,32936,0x1c626000,"weights",8192,0,0,0
"n02093991/n02093991_75.JPEG","SEFI-row","weights",0,184,"Irish terrier",182,"Border terrier",0.983502,182,"Border terrier",0.983522,184,"Irish terrier",0.008509,185,"Norfolk terrier",0.005161,0,-0.000020,8192,33105,0x1cb7e000,"weights",8192,0,0,0
"n02093991/n02093991_7823.JPEG","SEFI-row","weights",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,202,"soft-coated wheaten terrier",0.625396,184,"Irish terrier",0.139545,226,"briard",0.108678,0,-0.073177,8192,32956,0x1cfe0000,"weights",8192,0,0,0
"n02093991/n02093991_7935.JPEG","SEFI-row","weights",0,184,"Irish terrier",184,"Irish terrier",0.964093,184,"Irish terrier",0.957674,182,"Border terrier",0.013660,189,"Lakeland terrier",0.013660,1,0.006419,8192,32764,0x1d6fe000,"weights",8192,0,0,0
"n02093991/n02093991_8145.JPEG","SEFI-row","weights",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,202,"soft-coated wheaten terrier",0.321699,163,"bloodhound, sleuthhound",0.195120,184,"Irish terrier",0.151960,0,-0.004197,8192,32745,0x1cf88000,"weights",8192,0,0,0
"n02096051/n02096051_2751.JPEG","SEFI-row","weights",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,191,"Airedale, Airedale terrier",0.820336,189,"Lakeland terrier",0.052442,187,"Yorkshire terrier",0.052442,1,0.021649,8192,33016,0x1d1b8000,"weights",8192,0,0,0
"n02096051/n02096051_2946.JPEG","SEFI-row","weights",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,191,"Airedale, Airedale terrier",0.889237,211,"vizsla, Hungarian pointer",0.044272,189,"Lakeland terrier",0.020913,1,0.024843,8192,33072,0x1d2bc000,"weights",8192,0,0,0
"n02096051/n02096051_495.JPEG","SEFI-row","weights",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.968609,191,"Airedale, Airedale terrier",0.960454,189,"Lakeland terrier",0.037241,184,"Irish terrier",0.001125,1,0.008156,8192,32926,0x1cca0000,"weights",8192,0,0,0
"n02096051/n02096051_5436.JPEG","SEFI-row","weights",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.988703,191,"Airedale, Airedale terrier",0.983184,189,"Lakeland terrier",0.014024,188,"wire-haired fox terrier",0.001478,1,0.005519,8192,32793,0x1d45a000,"weights",8192,0,0,0
"n02096051/n02096051_668.JPEG","SEFI-row","weights",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.991122,191,"Airedale, Airedale terrier",0.990690,175,"otterhound, otter hound",0.006675,189,"Lakeland terrier",0.001489,1,0.000432,8192,32889,0x1ce5a000,"weights",8192,0,0,0
"n02113186/n02113186_12291.JPEG","SEFI-row","weights",0,264,"Cardigan, Cardigan Welsh corgi",264,"Cardigan, Cardigan Welsh corgi",0.848451,264,"Cardigan, Cardigan Welsh corgi",0.911484,263,"Pembroke, Pembroke Welsh corgi",0.045380,253,"basenji",0.007886,1,-0.063033,8192,32749,0x1c1bc000,"weights",8192,0,0,0
"n02113186/n02113186_13231.JPEG","SEFI-row","weights",0,264,"Cardigan, Cardigan Welsh corgi",201,"silky terrier, Sydney silky",0.489978,201,"silky terrier, Sydney silky",0.568413,275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",0.162853,212,"English setter",0.076926,0,-0.078434,8192,33054,0x1d0d0000,"weights",8192,0,0,0
"n02113186/n02113186_50.JPEG","SEFI-row","weights",0,264,"Cardigan, Cardigan Welsh corgi",263,"Pembroke, Pembroke Welsh corgi",0.516311,263,"Pembroke, Pembroke Welsh corgi",0.540955,264,"Cardigan, Cardigan Welsh corgi",0.328106,151,"Chihuahua",0.044404,0,-0.024644,8192,32947,0x1cdb0000,"weights",8192,0,0,0
"n02113186/n02113186_5538.JPEG","SEFI-row","weights",0,264,"Cardigan, Cardigan Welsh corgi",162,"beagle",0.571110,162,"beagle",0.328964,263,"Pembroke, Pembroke Welsh corgi",0.199527,264,"Cardigan, Cardigan Welsh corgi",0.121019,0,0.242146,8192,33027,0x1cb58000,"weights",8192,0,0,0
"n02113186/n02113186_9772.JPEG","SEFI-row","weights",0,264,"Cardigan, Cardigan Welsh corgi",195,"Boston bull, Boston terrier",0.305252,264,"Cardigan, Cardigan Welsh corgi",0.280191,242,"boxer",0.218213,195,"Boston bull, Boston terrier",0.218213,1,0.025061,8192,32975,0x1cd84000,"weights",8192,0,0,0
"n02114855/n02114855_1044.JPEG","SEFI-row","weights",0,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.933076,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.965633,280,"grey fox, gray fox, Urocyon cinereoargenteus",0.010727,271,"red wolf, maned wolf, Canis rufus, Canis niger",0.005067,1,-0.032558,8192,32830,0x1c3fc000,"weights",8192,0,0,0
