image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,regions_covered,bytes_in_weights,bytes_in_input,bytes_in_output,crash
"n01748264/n01748264_12351.JPEG","transient-SEFI-row","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,63,"Indian cobra, Naja naja",0.933622,54,"hognose snake, puff adder, sand viper",0.059684,60,"night snake, Hypsiglena torquata",0.001802,1,-0.087671,8192,32877,0x1d128000,"weights",8192,0,0,0
"n01748264/n01748264_12842.JPEG","transient-SEFI-row","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,63,"Indian cobra, Naja naja",0.956820,57,"garter snake, grass snake",0.010629,60,"night snake, Hypsiglena torquata",0.010629,1,-0.020105,8192,32808,0x1c7be000,"weights",8192,0,0,0
"n01748264/n01748264_15432.JPEG","transient-SEFI-row","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,63,"Indian cobra, Naja naja",0.998849,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.000552,68,"sidewinder, horned rattlesnake, Crotalus cerastes",0.000123,1,0.001125,8192,33121,0x1c8be000,"weights",8192,0,0,0
"n01748264/n01748264_19883.JPEG","transient-SEFI-row","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,63,"Indian cobra, Naja naja",0.989396,60,"night snake, Hypsiglena torquata",0.008560,58,"water snake",0.001487,1,-0.011967,8192,33001,0x1d424000,"weights",8192,0,0,0
"n01748264/n01748264_2196.JPEG","transient-SEFI-row","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,63,"Indian cobra, Naja naja",0.993083,65,"sea snake",0.002462,38,"banded gecko",0.001917,1,0.004318,8192,33071,0x1c5de000,"weights",8192,0,0,0
"n02093991/n02093991_2155.JPEG","transient-SEFI-row","weights",1,184,"Irish terrier",184,"Irish terrier",0.614769,184,"Irish terrier",0.624611,211,"vizsla, Hungarian pointer",0.229782,182,"Border terrier",0.084532,1,-0.009842,8192,32969,0x1c7f8000,"weights",8192,0,0,0
"n02093991/n02093991_75.JPEG","transient-SEFI-row","weights",1,184,"Irish terrier",182,"Border terrier",0.983502,182,"Border terrier",0.976048,184,"Irish terrier",0.013923,185,"Norfolk terrier",0.005122,0,0.007454,8192,32890,0x1c914000,"weights",8192,0,0,0
"n02093991/n02093991_7823.JPEG","transient-SEFI-row","weights",1,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,202,"soft-coated wheaten terrier",0.511120,184,"Irish terrier",0.241436,226,"briard",0.088819,0,0.041099,8192,32908,0x1d1ea000,"weights",8192,0,0,0
"n02093991/n02093991_7935.JPEG","transient-SEFI-row","weights",1,184,"Irish terrier",184,"Irish terrier",0.964093,184,"Irish terrier",0.206499,192,"cairn, cairn terrier",0.160822,196,"miniature schnauzer",0.125248,1,0.757594,8192,33059,0x1bef0000,"weights",8192,0,0,0
"n02093991/n02093991_8145.JPEG","transient-SEFI-row","weights",1,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,202,"soft-coated wheaten terrier",0.322128,184,"Irish terrier",0.195380,163,"bloodhound, sleuthhound",0.195380,0,-0.004625,8192,33009,0x1d37c000,"weights",8192,0,0,0
"n02096051/n02096051_2751.JPEG","transient-SEFI-row","weights",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,191,"Airedale, Airedale terrier",0.902445,193,"Australian terrier",0.027251,189,"Lakeland terrier",0.027251,1,-0.060460,8192,32838,0x1c38e000,"weights",8192,0,0,0
"n02096051/n02096051_2946.JPEG","transient-SEFI-row","weights",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,191,"Airedale, Airedale terrier",0.881874,189,"Lakeland terrier",0.043906,211,"vizsla, Hungarian pointer",0.034194,1,0.032206,8192,33029,0x1d040000,"weights",8192,0,0,0
"n02096051/n02096051_495.JPEG","transient-SEFI-row","weights",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.968609,191,"Airedale, Airedale terrier",0.994227,189,"Lakeland terrier",0.005217,184,"Irish terrier",0.000260,1,-0.025618,8192,33154,0x1c61a000,"weights",8192,0,0,0
"n02096051/n02096051_5436.JPEG","transient-SEFI-row","weights",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.988703,191,"Airedale, Airedale terrier",0.936468,189,"Lakeland terrier",0.028279,188,"wire-haired fox terrier",0.028279,1,0.052235,8192,32937,0x1c3a6000,"weights",8192,0,0,0
"n02096051/n02096051_668.JPEG","transient-SEFI-row","weights",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.991122,191,"Airedale, Airedale terrier",0.993822,175,"otterhound, otter hound",0.004062,189,"Lakeland terrier",0.001494,1,-0.002701,8192,32823,0x1caae000,"weights",8192,0,0,0
"n02113186/n02113186_12291.JPEG","transient-SEFI-row","weights",1,264,"Cardigan, Cardigan Welsh corgi",264,"Cardigan, Cardigan Welsh corgi",0.848451,264,"Cardigan, Cardigan Welsh corgi",0.828430,263,"Pembroke, Pembroke Welsh corgi",0.052960,253,"basenji",0.032122,1,0.020021,8192,32658,0x1c90e000,"weights",8192,0,0,0
"n02113186/n02113186_13231.JPEG","transient-SEFI-row","weights",1,264,"Cardigan, Cardigan Welsh corgi",201,"silky terrier, Sydney silky",0.489978,611,"jigsaw puzzle",0.939272,490,"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour",0.028364,506,"coil, spiral, volute, whorl, helix",0.008126,0,-0.449294,8192,32995,0x1be3c000,"weights",8192,0,0,0
