image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,regions_covered,bytes_in_weights,bytes_in_input,bytes_in_output,crash
"n01748264/n01748264_12351.JPEG","SEFI-column","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,54,"hognose snake, puff adder, sand viper",0.917920,63,"Indian cobra, Naja naja",0.027719,60,"night snake, Hypsiglena torquata",0.013093,0,-0.071969,25280,101612,0x1be00606,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n01748264/n01748264_12842.JPEG","SEFI-column","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,63,"Indian cobra, Naja naja",0.971809,53,"ringneck snake, ring-necked snake, ring snake",0.005100,60,"night snake, Hypsiglena torquata",0.005100,1,-0.035094,25280,101699,0x1be00be9,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n01748264/n01748264_15432.JPEG","SEFI-column","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,63,"Indian cobra, Naja naja",0.728285,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.208657,68,"sidewinder, horned rattlesnake, Crotalus cerastes",0.046558,1,0.271689,25272,101140,0x1be00d9d,"weights,input_tensor(instructions excluded)",25128,144,0,0
"n01748264/n01748264_19883.JPEG","SEFI-column","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,815,"spider web, spider's web",0.564830,73,"barn spider, Araneus cavaticus",0.126031,524,"cuirass",0.059533,0,0.412599,25264,101680,0x1be0183a,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n01748264/n01748264_2196.JPEG","SEFI-column","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,721,"pillow",0.080655,677,"nail",0.080655,769,"rule, ruler",0.080655,0,0.916747,25264,101434,0x1be0137b,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02093991/n02093991_2155.JPEG","SEFI-column","input_tensor",0,184,"Irish terrier",184,"Irish terrier",0.614769,185,"Norfolk terrier",0.338194,184,"Irish terrier",0.205125,189,"Lakeland terrier",0.096894,0,0.276575,25264,101685,0x1be01a58,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02093991/n02093991_75.JPEG","SEFI-column","input_tensor",0,184,"Irish terrier",182,"Border terrier",0.983502,749,"quill, quill pen",0.846026,868,"tray",0.069446,472,"canoe",0.042121,0,0.137476,25264,101740,0x1be010a5,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02093991/n02093991_7823.JPEG","SEFI-column","input_tensor",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,676,"muzzle",0.796627,904,"window screen",0.177752,88,"macaw",0.018735,0,-0.244408,25264,101785,0x1be01493,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02093991/n02093991_7935.JPEG","SEFI-column","input_tensor",0,184,"Irish terrier",184,"Irish terrier",0.964093,114,"slug",0.673895,834,"suit, suit of clothes",0.117105,641,"maraca",0.043081,0,0.290198,25280,101195,0x1be006ed,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n02093991/n02093991_8145.JPEG","SEFI-column","input_tensor",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,163,"bloodhound, sleuthhound",0.344411,219,"cocker spaniel, English cocker spaniel, cocker",0.162688,161,"basset, basset hound",0.059850,0,-0.026908,25264,101186,0x1be01a40,"weights,input_tensor(instructions excluded)",25120,144,0,0
