image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,regions_covered,bytes_in_weights,bytes_in_input,bytes_in_output,crash
"n01748264/n01748264_12351.JPEG","SEFI-column","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,994,"stinkhorn, carrion fungus",0.167590,77,"wolf spider, hunting spider",0.061653,904,"window screen",0.061653,0,0.678361,25288,101317,0x1c10027f,"weights,input_tensor,output(instructions excluded)",25128,152,8,0
"n01748264/n01748264_12842.JPEG","SEFI-column","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,64,"green mamba",0.605253,63,"Indian cobra, Naja naja",0.367104,55,"green snake, grass snake",0.011086,0,0.331463,25264,101311,0x1c101bf5,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n01748264/n01748264_15432.JPEG","SEFI-column","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.531012,63,"Indian cobra, Naja naja",0.413552,68,"sidewinder, horned rattlesnake, Crotalus cerastes",0.043588,0,0.468962,25288,101824,0x1c1002ff,"weights,input_tensor,output(instructions excluded)",25128,152,8,0
"n01748264/n01748264_19883.JPEG","SEFI-column","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,588,"hamper",0.943451,63,"Indian cobra, Naja naja",0.013458,600,"hook, claw",0.013458,0,0.033978,25272,101359,0x1c10116f,"weights,input_tensor(instructions excluded)",25120,152,0,0
"n01748264/n01748264_2196.JPEG","SEFI-column","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,114,"slug",0.450992,904,"window screen",0.129211,419,"Band Aid",0.100630,0,0.546410,25264,101347,0x1c1019c5,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02093991/n02093991_2155.JPEG","SEFI-column","weights",0,184,"Irish terrier",184,"Irish terrier",0.614769,151,"Chihuahua",0.580741,171,"Italian greyhound",0.100918,180,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",0.061210,0,0.034028,25264,101722,0x1c10192b,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02093991/n02093991_75.JPEG","SEFI-column","weights",0,184,"Irish terrier",182,"Border terrier",0.983502,184,"Irish terrier",0.726403,185,"Norfolk terrier",0.076562,182,"Border terrier",0.076562,1,0.257099,25264,101379,0x1c101ce4,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02093991/n02093991_7823.JPEG","SEFI-column","weights",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,262,"Brabancon griffon",0.227161,676,"muzzle",0.176913,202,"soft-coated wheaten terrier",0.137780,0,0.325058,25280,101904,0x1c1006e2,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n02093991/n02093991_7935.JPEG","SEFI-column","weights",0,184,"Irish terrier",184,"Irish terrier",0.964093,156,"Blenheim spaniel",0.715314,284,"Siamese cat, Siamese",0.096807,854,"theater curtain, theatre curtain",0.027736,0,0.248779,25264,101493,0x1c10176c,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02093991/n02093991_8145.JPEG","SEFI-column","weights",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,243,"bull mastiff",0.319720,163,"bloodhound, sleuthhound",0.091601,242,"boxer",0.071339,0,-0.002218,25264,101819,0x1c1019b2,"weights,input_tensor(instructions excluded)",25120,144,0,0
