image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,regions_covered,bytes_in_weights,bytes_in_input,bytes_in_output,crash
"n01748264/n01748264_12351.JPEG","transient-SEFI-blk","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,793,"shower cap",0.066917,86,"partridge",0.052115,484,"catamaran",0.052115,0,0.779035,1008,4022,0x7121000,"output",0,0,1008,0
"n01748264/n01748264_12842.JPEG","transient-SEFI-blk","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,540,"drilling platform, offshore rig",0.056646,600,"hook, claw",0.056646,107,"jellyfish",0.044116,0,0.880069,1008,3988,0x7121000,"output",0,0,1008,0
"n01748264/n01748264_15432.JPEG","transient-SEFI-blk","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,749,"quill, quill pen",0.064997,465,"bulletproof vest",0.064997,693,"paddle, boat paddle",0.064997,0,0.934977,1008,4003,0x7121000,"output",0,0,1008,0
"n01748264/n01748264_19883.JPEG","transient-SEFI-blk","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,804,"soap dispenser",0.072135,568,"fur coat",0.072135,236,"Doberman, Doberman pinscher",0.072135,0,0.905293,1008,4073,0x7121000,"output",0,0,1008,0
"n01748264/n01748264_2196.JPEG","transient-SEFI-blk","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,776,"sax, saxophone",0.063420,554,"fireboat",0.063420,318,"lacewing, lacewing fly",0.063420,0,0.933981,1008,3979,0x7121000,"output",0,0,1008,0
"n02093991/n02093991_2155.JPEG","transient-SEFI-blk","buffers",1,184,"Irish terrier",184,"Irish terrier",0.614769,93,"hornbill",0.055723,61,"boa constrictor, Constrictor constrictor",0.055723,21,"kite",0.055723,0,0.559046,1008,4021,0x7121000,"output",0,0,1008,0
"n02093991/n02093991_75.JPEG","transient-SEFI-blk","buffers",1,184,"Irish terrier",182,"Border terrier",0.983502,796,"ski mask",0.065796,546,"electric guitar",0.065796,369,"siamang, Hylobates syndactylus, Symphalangus syndactylus",0.065796,0,0.917705,1008,4053,0x7121000,"output",0,0,1008,0
"n02093991/n02093991_7823.JPEG","transient-SEFI-blk","buffers",1,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,632,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",0.060906,320,"damselfly",0.060906,211,"vizsla, Hungarian pointer",0.060906,0,0.491313,1008,3970,0x7121000,"output",0,0,1008,0
"n02093991/n02093991_7935.JPEG","transient-SEFI-blk","buffers",1,184,"Irish terrier",184,"Irish terrier",0.964093,451,"bolo tie, bolo, bola tie, bola",0.054715,276,"hyena, hyaena",0.054715,269,"timber wolf, grey wolf, gray wolf, Canis lupus",0.054715,0,0.909378,1008,4061,0x7121000,"output",0,0,1008,0
"n02093991/n02093991_8145.JPEG","transient-SEFI-blk","buffers",1,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,895,"warplane, military plane",0.080328,851,"television, television system",0.062560,396,"lionfish",0.062560,0,0.237174,1008,4086,0x7121000,"output",0,0,1008,0
"n02096051/n02096051_2751.JPEG","transient-SEFI-blk","buffers",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,460,"breakwater, groin, groyne, mole, bulwark, seawall, jetty",0.055613,603,"horse cart, horse-cart",0.055613,218,"Welsh springer spaniel",0.043312,0,0.786371,1008,4037,0x7121000,"output",0,0,1008,0
"n02096051/n02096051_2946.JPEG","transient-SEFI-blk","buffers",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,438,"beaker",0.071244,939,"zucchini, courgette",0.071244,160,"Afghan hound, Afghan",0.055485,0,0.842835,1008,4128,0x7121000,"output",0,0,1008,0
"n02096051/n02096051_495.JPEG","transient-SEFI-blk","buffers",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.968609,521,"Crock Pot",0.067263,385,"Indian elephant, Elephas maximus",0.052385,254,"pug, pug-dog",0.052385,0,0.901346,1008,4052,0x7121000,"output",0,0,1008,0
"n02096051/n02096051_5436.JPEG","transient-SEFI-blk","buffers",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.988703,514,"cowboy boot",0.060115,145,"king penguin, Aptenodytes patagonica",0.060115,385,"Indian elephant, Elephas maximus",0.060115,0,0.928588,1008,3984,0x7121000,"output",0,0,1008,0
"n02096051/n02096051_668.JPEG","transient-SEFI-blk","buffers",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.991122,671,"mountain bike, all-terrain bike, off-roader",0.052809,668,"mosque",0.052809,397,"puffer, pufferfish, blowfish, globefish",0.052809,0,0.938313,1008,4079,0x7121000,"output",0,0,1008,0
