image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,regions_covered,bytes_in_weights,bytes_in_input,bytes_in_output,crash
"n01748264/n01748264_12351.JPEG","transient-SEFI-blk","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,63,"Indian cobra, Naja naja",0.901532,54,"hognose snake, puff adder, sand viper",0.095021,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.001355,1,-0.055580,4096,16446,0x1cc44aa3,"weights",4096,0,0,0
"n01748264/n01748264_12842.JPEG","transient-SEFI-blk","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,63,"Indian cobra, Naja naja",0.886567,57,"garter snake, grass snake",0.026772,64,"green mamba",0.026772,1,0.050148,4096,16308,0x1ce0d90c,"weights",4096,0,0,0
"n01748264/n01748264_15432.JPEG","transient-SEFI-blk","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,63,"Indian cobra, Naja naja",0.999841,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.000123,68,"sidewinder, horned rattlesnake, Crotalus cerastes",0.000008,1,0.000133,4096,16404,0x1bff2271,"weights",4096,0,0,0
"n01748264/n01748264_19883.JPEG","transient-SEFI-blk","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,63,"Indian cobra, Naja naja",0.765806,60,"night snake, Hypsiglena torquata",0.219407,58,"water snake",0.010924,1,0.211623,4096,16585,0x1d26dcaf,"weights",4096,0,0,0
"n01748264/n01748264_2196.JPEG","transient-SEFI-blk","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,63,"Indian cobra, Naja naja",0.998692,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.000335,65,"sea snake",0.000261,1,-0.001291,4096,16410,0x1c083ce0,"weights",4096,0,0,0
"n02093991/n02093991_2155.JPEG","transient-SEFI-blk","weights",1,184,"Irish terrier",184,"Irish terrier",0.614769,184,"Irish terrier",0.614763,211,"vizsla, Hungarian pointer",0.226159,182,"Border terrier",0.083199,1,0.000005,4096,16458,0x1d54493a,"weights",4096,0,0,0
"n02093991/n02093991_75.JPEG","transient-SEFI-blk","weights",1,184,"Irish terrier",182,"Border terrier",0.983502,182,"Border terrier",0.988122,184,"Irish terrier",0.004038,185,"Norfolk terrier",0.004038,0,-0.004620,4096,16399,0x1c283b38,"weights",4096,0,0,0
"n02093991/n02093991_7823.JPEG","transient-SEFI-blk","weights",1,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,202,"soft-coated wheaten terrier",0.466359,184,"Irish terrier",0.282861,226,"briard",0.081041,0,0.085860,4096,16449,0x1d1eb4dd,"weights",4096,0,0,0
"n02093991/n02093991_7935.JPEG","transient-SEFI-blk","weights",1,184,"Irish terrier",184,"Irish terrier",0.964093,184,"Irish terrier",0.948102,182,"Border terrier",0.028630,192,"cairn, cairn terrier",0.008203,1,0.015992,4096,16548,0x1d30cadd,"weights",4096,0,0,0
"n02093991/n02093991_8145.JPEG","transient-SEFI-blk","weights",1,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,202,"soft-coated wheaten terrier",0.496744,184,"Irish terrier",0.234645,163,"bloodhound, sleuthhound",0.086321,0,-0.179242,4096,16398,0x1c03e4f5,"weights",4096,0,0,0
"n02096051/n02096051_2751.JPEG","transient-SEFI-blk","weights",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,191,"Airedale, Airedale terrier",0.865221,201,"silky terrier, Sydney silky",0.033548,189,"Lakeland terrier",0.033548,1,-0.023236,4096,16403,0x1d42b599,"weights",4096,0,0,0
"n02096051/n02096051_2946.JPEG","transient-SEFI-blk","weights",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,191,"Airedale, Airedale terrier",0.902241,189,"Lakeland terrier",0.044920,211,"vizsla, Hungarian pointer",0.016525,1,0.011839,4096,16382,0x1bff55e4,"weights",4096,0,0,0
