image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,crash
"n01748264/n01748264_12351.JPEG","MSEFI-DDR-reset","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,618,"ladle",0.348394,469,"caldron, cauldron",0.348394,515,"cowboy hat, ten-gallon hat",0.211312,0,0.497558,2572697,10331568,0x1bf00000,1,1,63,0.845951,"DDR_reinit(recreate_runner)",0
"n01748264/n01748264_12842.JPEG","MSEFI-DDR-reset","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,818,"spotlight, spot",0.817841,499,"cleaver, meat cleaver, chopper",0.052283,731,"plunger, plumber's helper",0.024697,0,0.118874,2572697,10330184,0x1bf00000,1,1,63,0.936715,"DDR_reinit(recreate_runner)",0
"n01748264/n01748264_15432.JPEG","MSEFI-DDR-reset","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,417,"balloon",0.759677,659,"mixing bowl",0.132012,862,"torch",0.029456,0,0.240297,2572697,10335782,0x1bf00000,1,1,63,0.999974,"DDR_reinit(recreate_runner)",0
"n01748264/n01748264_19883.JPEG","MSEFI-DDR-reset","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,186,"Norwich terrier",0.383704,195,"Boston bull, Boston terrier",0.141157,189,"Lakeland terrier",0.141157,0,0.593724,2572697,10329718,0x1bf00000,1,1,63,0.977429,"DDR_reinit(recreate_runner)",0
"n01748264/n01748264_2196.JPEG","MSEFI-DDR-reset","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,684,"ocarina, sweet potato",0.547315,122,"American lobster, Northern lobster, Maine lobster, Homarus americanus",0.426249,678,"neck brace",0.010024,0,0.450087,2572697,10332479,0x1bf00000,1,1,63,0.997401,"DDR_reinit(recreate_runner)",0
"n02093991/n02093991_2155.JPEG","MSEFI-DDR-reset","buffers",0,184,"Irish terrier",184,"Irish terrier",0.614769,515,"cowboy hat, ten-gallon hat",0.552129,852,"tennis ball",0.429998,910,"wooden spoon",0.007876,0,0.062640,2572697,10331377,0x1bf00000,1,1,184,0.614769,"DDR_reinit(recreate_runner)",0
"n02093991/n02093991_75.JPEG","MSEFI-DDR-reset","buffers",0,184,"Irish terrier",182,"Border terrier",0.983502,818,"spotlight, spot",0.490558,562,"fountain",0.490558,978,"seashore, coast, seacoast, sea-coast",0.008985,0,0.492944,2572697,10331072,0x1bf00000,1,0,182,0.983502,"DDR_reinit(recreate_runner)",0
"n02093991/n02093991_7823.JPEG","MSEFI-DDR-reset","buffers",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,216,"clumber, clumber spaniel",0.537746,208,"Labrador retriever",0.418797,502,"clog, geta, patten, sabot",0.016239,0,0.014473,2572697,10330298,0x1bf00000,1,0,202,0.552219,"DDR_reinit(recreate_runner)",0
"n02093991/n02093991_7935.JPEG","MSEFI-DDR-reset","buffers",0,184,"Irish terrier",184,"Irish terrier",0.964093,327,"starfish, sea star",0.391775,440,"beer bottle",0.391775,213,"Irish setter, red setter",0.068080,0,0.572318,2572697,10330783,0x1bf00000,1,1,184,0.964093,"DDR_reinit(recreate_runner)",0
"n02093991/n02093991_8145.JPEG","MSEFI-DDR-reset","buffers",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,845,"syringe",0.458336,488,"chain",0.356953,784,"screwdriver",0.102269,0,-0.140834,2572697,10331361,0x1bf00000,1,0,202,0.317502,"DDR_reinit(recreate_runner)",0
