image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,crash
"n01748264/n01748264_12351.JPEG","MSEFI-DDR-reset","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,783,"screw",0.753661,987,"corn",0.168164,488,"chain",0.029223,0,0.092291,2572697,10331897,0x1bf00000,1,1,63,0.845951,"DDR_reinit(recreate_runner)",0
"n01748264/n01748264_12842.JPEG","MSEFI-DDR-reset","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,722,"ping-pong ball",0.955876,805,"soccer ball",0.037063,473,"can opener, tin opener",0.005016,0,-0.019161,2572697,10329764,0x1bf00000,1,1,63,0.936715,"DDR_reinit(recreate_runner)",0
"n01748264/n01748264_15432.JPEG","MSEFI-DDR-reset","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,518,"crash helmet",0.687380,719,"piggy bank, penny bank",0.093027,898,"water bottle",0.072449,0,0.312594,2572697,10330574,0x1bf00000,1,1,63,0.999974,"DDR_reinit(recreate_runner)",0
"n01748264/n01748264_19883.JPEG","MSEFI-DDR-reset","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,758,"reel",0.709279,852,"tennis ball",0.074757,314,"cockroach, roach",0.058221,0,0.268150,2572697,10328780,0x1bf00000,1,1,63,0.977429,"DDR_reinit(recreate_runner)",0
"n01748264/n01748264_2196.JPEG","MSEFI-DDR-reset","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,1,"goldfish, Carassius auratus",0.007236,4,"hammerhead, hammerhead shark",0.007236,12,"house finch, linnet, Carpodacus mexicanus",0.007236,0,0.990165,2572697,10334464,0x1bf00000,1,1,63,0.997401,"DDR_reinit(recreate_runner)",0
"n02093991/n02093991_2155.JPEG","MSEFI-DDR-reset","weights",0,184,"Irish terrier",184,"Irish terrier",0.614769,852,"tennis ball",0.408656,429,"baseball",0.318262,673,"mouse, computer mouse",0.091184,0,0.206113,2572697,10329503,0x1bf00000,1,1,184,0.614769,"DDR_reinit(recreate_runner)",0
"n02093991/n02093991_75.JPEG","MSEFI-DDR-reset","weights",0,184,"Irish terrier",182,"Border terrier",0.983502,852,"tennis ball",0.562896,358,"polecat, fitch, foulmart, foumart, Mustela putorius",0.265893,749,"quill, quill pen",0.076180,0,0.420606,2572697,10335365,0x1bf00000,1,0,182,0.983502,"DDR_reinit(recreate_runner)",0
"n02093991/n02093991_7823.JPEG","MSEFI-DDR-reset","weights",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,494,"chime, bell, gong",0.631725,596,"hatchet",0.109777,837,"sunglasses, dark glasses, shades",0.066583,0,-0.079506,2572697,10329778,0x1bf00000,1,0,202,0.552219,"DDR_reinit(recreate_runner)",0
"n02093991/n02093991_7935.JPEG","MSEFI-DDR-reset","weights",0,184,"Irish terrier",184,"Irish terrier",0.964093,929,"ice lolly, lolly, lollipop, popsicle",0.318233,837,"sunglasses, dark glasses, shades",0.318233,836,"sunglass",0.318233,0,0.645860,2572697,10333083,0x1bf00000,1,1,184,0.964093,"DDR_reinit(recreate_runner)",0
"n02093991/n02093991_8145.JPEG","MSEFI-DDR-reset","weights",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,219,"cocker spaniel, English cocker spaniel, cocker",0.041371,160,"Afghan hound, Afghan",0.041371,220,"Sussex spaniel",0.041371,0,0.276131,2572697,10332707,0x1bf00000,1,0,202,0.317502,"DDR_reinit(recreate_runner)",0
