image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,crash
"n01748264/n01748264_12351.JPEG","MSEFI-ctrl-reset","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,747,"punching bag, punch bag, punching ball, punchball",0.897453,785,"seat belt, seatbelt",0.094591,417,"balloon",0.002856,0,-0.051501,2572697,10327636,0x1be00000,1,1,63,0.845951,"ctrl_reset(recreate_runner_only)",0
"n01748264/n01748264_12842.JPEG","MSEFI-ctrl-reset","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,358,"polecat, fitch, foulmart, foumart, Mustela putorius",0.148760,998,"ear, spike, capitulum",0.148760,722,"ping-pong ball",0.115855,0,0.787955,2572697,10325320,0x1be00000,1,1,63,0.936715,"ctrl_reset(recreate_runner_only)",0
"n01748264/n01748264_15432.JPEG","MSEFI-ctrl-reset","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,543,"dumbbell",0.314081,341,"hog, pig, grunter, squealer, Sus scrofa",0.314081,172,"whippet",0.190500,0,0.685893,2572697,10330148,0x1be00000,1,1,63,0.999974,"ctrl_reset(recreate_runner_only)",0
"n01748264/n01748264_19883.JPEG","MSEFI-ctrl-reset","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,421,"bannister, banister, balustrade, balusters, handrail",0.956936,523,"crutch",0.022505,748,"purse",0.005022,0,0.020492,2572697,10329852,0x1be00000,1,1,63,0.977429,"ctrl_reset(recreate_runner_only)",0
"n01748264/n01748264_2196.JPEG","MSEFI-ctrl-reset","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,618,"ladle",0.695311,809,"soup bowl",0.199210,5,"electric ray, crampfish, numbfish, torpedo",0.073285,0,0.302090,2572697,10331395,0x1be00000,1,1,63,0.997401,"ctrl_reset(recreate_runner_only)",0
"n02093991/n02093991_2155.JPEG","MSEFI-ctrl-reset","buffers",0,184,"Irish terrier",184,"Irish terrier",0.614769,398,"abacus",0.927985,421,"bannister, banister, balustrade, balusters, handrail",0.046202,415,"bakery, bakeshop, bakehouse",0.016997,0,-0.313216,2572697,10331226,0x1be00000,1,1,184,0.614769,"ctrl_reset(recreate_runner_only)",0
"n02093991/n02093991_75.JPEG","MSEFI-ctrl-reset","buffers",0,184,"Irish terrier",182,"Border terrier",0.983502,412,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",0.157221,574,"golf ball",0.157221,737,"pop bottle, soda bottle",0.157221,0,0.826280,2572697,10333198,0x1be00000,1,0,182,0.983502,"ctrl_reset(recreate_runner_only)",0
"n02093991/n02093991_7823.JPEG","MSEFI-ctrl-reset","buffers",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,515,"cowboy hat, ten-gallon hat",0.514976,852,"tennis ball",0.189449,514,"cowboy boot",0.114907,0,0.037243,2572697,10332143,0x1be00000,1,0,202,0.552219,"ctrl_reset(recreate_runner_only)",0
"n02093991/n02093991_7935.JPEG","MSEFI-ctrl-reset","buffers",0,184,"Irish terrier",184,"Irish terrier",0.964093,760,"refrigerator, icebox",0.566447,899,"water jug",0.162290,614,"kimono",0.059703,0,0.397646,2572697,10333245,0x1be00000,1,1,184,0.964093,"ctrl_reset(recreate_runner_only)",0
"n02093991/n02093991_8145.JPEG","MSEFI-ctrl-reset","buffers",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,618,"ladle",0.905385,463,"bucket, pail",0.035106,840,"swab, swob, mop",0.021293,0,-0.587883,2572697,10334542,0x1be00000,1,0,202,0.317502,"ctrl_reset(recreate_runner_only)",0
"n02096051/n02096051_2751.JPEG","MSEFI-ctrl-reset","buffers",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,813,"spatula",0.611373,499,"cleaver, meat cleaver, chopper",0.288792,910,"wooden spoon",0.030438,0,0.230611,2572697,10330449,0x1be00000,1,1,191,0.841985,"ctrl_reset(recreate_runner_only)",0
"n02096051/n02096051_2946.JPEG","MSEFI-ctrl-reset","buffers",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,728,"plastic bag",0.537809,542,"drumstick",0.197849,987,"corn",0.120001,0,0.376271,2572697,10331914,0x1be00000,1,1,191,0.914080,"ctrl_reset(recreate_runner_only)",0
