image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,crash
"n01748264/n01748264_12351.JPEG","MSEFI-ctrl-reset","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,515,"cowboy hat, ten-gallon hat",0.149372,552,"feather boa, boa",0.149372,618,"ladle",0.149372,0,0.696580,2572697,10331086,0x1be00000,1,1,63,0.845951,"ctrl_reset(recreate_runner_only)",0
"n01748264/n01748264_12842.JPEG","MSEFI-ctrl-reset","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,616,"knot",0.613141,506,"coil, spiral, volute, whorl, helix",0.371889,429,"baseball",0.011230,0,0.323574,2572697,10336299,0x1be00000,1,1,63,0.936715,"ctrl_reset(recreate_runner_only)",0
"n01748264/n01748264_15432.JPEG","MSEFI-ctrl-reset","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,683,"oboe, hautboy, hautbois",0.779428,432,"bassoon",0.082151,975,"lakeside, lakeshore",0.018330,0,0.220546,2572697,10332313,0x1be00000,1,1,63,0.999974,"ctrl_reset(recreate_runner_only)",0
"n01748264/n01748264_19883.JPEG","MSEFI-ctrl-reset","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,823,"stethoscope",0.481582,769,"rule, ruler",0.227483,677,"nail",0.177164,0,0.495846,2572697,10331804,0x1be00000,1,1,63,0.977429,"ctrl_reset(recreate_runner_only)",0
"n01748264/n01748264_2196.JPEG","MSEFI-ctrl-reset","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,686,"oil filter",0.985633,811,"space heater",0.014059,818,"spotlight, spot",0.000074,0,0.011768,2572697,10332790,0x1be00000,1,1,63,0.997401,"ctrl_reset(recreate_runner_only)",0
"n02093991/n02093991_2155.JPEG","MSEFI-ctrl-reset","input_tensor",0,184,"Irish terrier",184,"Irish terrier",0.614769,265,"toy poodle",0.771060,885,"velvet",0.081269,539,"doormat, welcome mat",0.063292,0,-0.156291,2572697,10332516,0x1be00000,1,1,184,0.614769,"ctrl_reset(recreate_runner_only)",0
"n02093991/n02093991_75.JPEG","MSEFI-ctrl-reset","input_tensor",0,184,"Irish terrier",182,"Border terrier",0.983502,6,"stingray",0.006164,5,"electric ray, crampfish, numbfish, torpedo",0.006164,15,"robin, American robin, Turdus migratorius",0.006164,0,0.977337,2572697,10331557,0x1be00000,1,0,182,0.983502,"ctrl_reset(recreate_runner_only)",0
"n02093991/n02093991_7823.JPEG","MSEFI-ctrl-reset","input_tensor",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,813,"spatula",0.669274,700,"paper towel",0.316143,852,"tennis ball",0.007435,0,-0.117055,2572697,10333379,0x1be00000,1,0,202,0.552219,"ctrl_reset(recreate_runner_only)",0
"n02093991/n02093991_7935.JPEG","MSEFI-ctrl-reset","input_tensor",0,184,"Irish terrier",184,"Irish terrier",0.964093,18,"magpie",0.011288,15,"robin, American robin, Turdus migratorius",0.011288,28,"spotted salamander, Ambystoma maculatum",0.011288,0,0.952805,2572697,10333396,0x1be00000,1,1,184,0.964093,"ctrl_reset(recreate_runner_only)",0
"n02093991/n02093991_8145.JPEG","MSEFI-ctrl-reset","input_tensor",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,151,"Chihuahua",0.033837,265,"toy poodle",0.033837,428,"barrow, garden cart, lawn cart, wheelbarrow",0.033837,0,0.283665,2572697,10329345,0x1be00000,1,0,202,0.317502,"ctrl_reset(recreate_runner_only)",0
"n02096051/n02096051_2751.JPEG","MSEFI-ctrl-reset","input_tensor",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,530,"digital clock",0.434380,192,"cairn, cairn terrier",0.205187,195,"Boston bull, Boston terrier",0.159800,0,0.407604,2572697,10326403,0x1be00000,1,1,191,0.841985,"ctrl_reset(recreate_runner_only)",0
"n02096051/n02096051_2946.JPEG","MSEFI-ctrl-reset","input_tensor",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,852,"tennis ball",0.301748,515,"cowboy hat, ten-gallon hat",0.301748,792,"shovel",0.301748,0,0.612332,2572697,10328457,0x1be00000,1,1,191,0.914080,"ctrl_reset(recreate_runner_only)",0
"n02096051/n02096051_495.JPEG","MSEFI-ctrl-reset","input_tensor",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.968609,8,"hen",0.005979,4,"hammerhead, hammerhead shark",0.005979,9,"ostrich, Struthio camelus",0.005979,0,0.962631,2572697,10330853,0x1be00000,1,1,191,0.968609,"ctrl_reset(recreate_runner_only)",0
"n02096051/n02096051_5436.JPEG","MSEFI-ctrl-reset","input_tensor",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.988703,862,"torch",0.433376,506,"coil, spiral, volute, whorl, helix",0.433376,818,"spotlight, spot",0.058651,0,0.555326,2572697,10331137,0x1be00000,1,1,191,0.988703,"ctrl_reset(recreate_runner_only)",0
