image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,crash
"n01748264/n01748264_12351.JPEG","MSEFI-ctrl-reset","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,637,"mailbox, letter box",0.164508,273,"dingo, warrigal, warragal, Canis dingo",0.128119,528,"dial telephone, dial phone",0.077708,0,0.681443,2572697,10332312,0x1be00000,1,1,63,0.845951,"ctrl_reset(recreate_runner_only)",0
"n01748264/n01748264_12842.JPEG","MSEFI-ctrl-reset","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,427,"barrel, cask",0.890986,512,"corkscrew, bottle screw",0.056959,463,"bucket, pail",0.034547,0,0.045729,2572697,10331601,0x1be00000,1,1,63,0.936715,"ctrl_reset(recreate_runner_only)",0
"n01748264/n01748264_15432.JPEG","MSEFI-ctrl-reset","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,365,"orangutan, orang, orangutang, Pongo pygmaeus",0.631046,373,"macaque",0.180798,371,"patas, hussar monkey, Erythrocebus patas",0.051799,0,0.368928,2572697,10327520,0x1be00000,1,1,63,0.999974,"ctrl_reset(recreate_runner_only)",0
"n01748264/n01748264_19883.JPEG","MSEFI-ctrl-reset","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,8,"hen",0.022975,5,"electric ray, crampfish, numbfish, torpedo",0.022975,9,"ostrich, Struthio camelus",0.022975,0,0.954454,2572697,10334423,0x1be00000,1,1,63,0.977429,"ctrl_reset(recreate_runner_only)",0
"n01748264/n01748264_2196.JPEG","MSEFI-ctrl-reset","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,731,"plunger, plumber's helper",0.534246,417,"balloon",0.196538,541,"drum, membranophone, tympan",0.072302,0,0.463155,2572697,10334740,0x1be00000,1,1,63,0.997401,"ctrl_reset(recreate_runner_only)",0
"n02093991/n02093991_2155.JPEG","MSEFI-ctrl-reset","weights",0,184,"Irish terrier",184,"Irish terrier",0.614769,618,"ladle",0.853329,792,"shovel",0.089940,733,"pole",0.054551,0,-0.238560,2572697,10335003,0x1be00000,1,1,184,0.614769,"ctrl_reset(recreate_runner_only)",0
"n02093991/n02093991_75.JPEG","MSEFI-ctrl-reset","weights",0,184,"Irish terrier",182,"Border terrier",0.983502,417,"balloon",0.881871,862,"torch",0.092949,883,"vase",0.020740,0,0.101630,2572697,10330157,0x1be00000,1,0,182,0.983502,"ctrl_reset(recreate_runner_only)",0
"n02093991/n02093991_7823.JPEG","MSEFI-ctrl-reset","weights",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,463,"bucket, pail",0.079612,427,"barrel, cask",0.079612,469,"caldron, cauldron",0.079612,0,0.472607,2572697,10329204,0x1be00000,1,0,202,0.552219,"ctrl_reset(recreate_runner_only)",0
"n02093991/n02093991_7935.JPEG","MSEFI-ctrl-reset","weights",0,184,"Irish terrier",184,"Irish terrier",0.964093,506,"coil, spiral, volute, whorl, helix",0.985734,447,"binoculars, field glasses, opera glasses",0.006642,784,"screwdriver",0.004028,0,-0.021640,2572697,10334197,0x1be00000,1,1,184,0.964093,"ctrl_reset(recreate_runner_only)",0
"n02093991/n02093991_8145.JPEG","MSEFI-ctrl-reset","weights",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,455,"bottlecap",0.373433,483,"castle",0.290830,720,"pill bottle",0.106990,0,-0.055931,2572697,10334166,0x1be00000,1,0,202,0.317502,"ctrl_reset(recreate_runner_only)",0
