image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,crash
"n01748264/n01748264_12351.JPEG","MSEFI-ctrl+DDR-reset","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,991,"coral fungus",0.998919,973,"coral reef",0.000261,996,"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa",0.000261,0,-0.152967,2572697,10328733,0x1be00000,1,1,63,0.845951,"hw_reset+recreate_runner",0
"n01748264/n01748264_12842.JPEG","MSEFI-ctrl+DDR-reset","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,10,"brambling, Fringilla montifringilla",0.009852,5,"electric ray, crampfish, numbfish, torpedo",0.009852,16,"bulbul",0.009852,0,0.926863,2572697,10332422,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0
"n01748264/n01748264_15432.JPEG","MSEFI-ctrl+DDR-reset","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,63,"Indian cobra, Naja naja",0.936715,57,"garter snake, grass snake",0.017157,64,"green mamba",0.013362,1,0.063259,2572697,10328585,0x1be00000,1,1,63,0.999974,"hw_reset+recreate_runner",0
"n01748264/n01748264_19883.JPEG","MSEFI-ctrl+DDR-reset","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,852,"tennis ball",0.841726,544,"Dutch oven",0.053810,998,"ear, spike, capitulum",0.041907,0,0.135702,2572697,10327908,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0
"n01748264/n01748264_2196.JPEG","MSEFI-ctrl+DDR-reset","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,63,"Indian cobra, Naja naja",0.977429,60,"night snake, Hypsiglena torquata",0.013942,58,"water snake",0.006586,1,0.019973,2572697,10330009,0x1be00000,1,1,63,0.997401,"hw_reset+recreate_runner",0
"n02093991/n02093991_2155.JPEG","MSEFI-ctrl+DDR-reset","buffers",0,184,"Irish terrier",184,"Irish terrier",0.614769,683,"oboe, hautboy, hautbois",0.366163,432,"bassoon",0.366163,684,"ocarina, sweet potato",0.222089,0,0.248606,2572697,10331883,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0
"n02093991/n02093991_75.JPEG","MSEFI-ctrl+DDR-reset","buffers",0,184,"Irish terrier",182,"Border terrier",0.983502,184,"Irish terrier",0.614769,211,"vizsla, Hungarian pointer",0.226161,182,"Border terrier",0.083200,1,0.368733,2572697,10332385,0x1be00000,1,0,182,0.983502,"hw_reset+recreate_runner",0
"n02093991/n02093991_7823.JPEG","MSEFI-ctrl+DDR-reset","buffers",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,921,"book jacket, dust cover, dust jacket, dust wrapper",0.410389,769,"rule, ruler",0.091570,666,"mortar",0.071315,0,0.141830,2572697,10332881,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0
"n02093991/n02093991_7935.JPEG","MSEFI-ctrl+DDR-reset","buffers",0,184,"Irish terrier",184,"Irish terrier",0.964093,202,"soft-coated wheaten terrier",0.552219,184,"Irish terrier",0.158213,226,"briard",0.123217,0,0.411874,2572697,10329685,0x1be00000,1,1,184,0.964093,"hw_reset+recreate_runner",0
"n02093991/n02093991_8145.JPEG","MSEFI-ctrl+DDR-reset","buffers",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,189,"Lakeland terrier",0.854852,199,"Scotch terrier, Scottish terrier, Scottie",0.070171,683,"oboe, hautboy, hautbois",0.015657,0,-0.537350,2572697,10330951,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0
"n02096051/n02096051_2751.JPEG","MSEFI-ctrl+DDR-reset","buffers",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,202,"soft-coated wheaten terrier",0.317502,184,"Irish terrier",0.192575,163,"bloodhound, sleuthhound",0.192575,0,0.524482,2572697,10331019,0x1be00000,1,1,191,0.841985,"hw_reset+recreate_runner",0
