image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,crash
"n01748264/n01748264_12351.JPEG","MSEFI-ctrl+DDR-reset","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,991,"coral fungus",0.998919,973,"coral reef",0.000261,996,"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa",0.000261,0,-0.152967,2572697,10332585,0x1be00000,1,1,63,0.845951,"hw_reset+recreate_runner",0
"n01748264/n01748264_12842.JPEG","MSEFI-ctrl+DDR-reset","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,6,"stingray",0.022565,10,"brambling, Fringilla montifringilla",0.022565,12,"house finch, linnet, Carpodacus mexicanus",0.022565,0,0.914150,2572697,10331932,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0
"n01748264/n01748264_15432.JPEG","MSEFI-ctrl+DDR-reset","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,63,"Indian cobra, Naja naja",0.936715,57,"garter snake, grass snake",0.017157,64,"green mamba",0.013362,1,0.063259,2572697,10331118,0x1be00000,1,1,63,0.999974,"hw_reset+recreate_runner",0
"n01748264/n01748264_19883.JPEG","MSEFI-ctrl+DDR-reset","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,463,"bucket, pail",0.820784,515,"cowboy hat, ten-gallon hat",0.052471,618,"ladle",0.052471,0,0.156644,2572697,10335583,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0
"n01748264/n01748264_2196.JPEG","MSEFI-ctrl+DDR-reset","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,63,"Indian cobra, Naja naja",0.977429,60,"night snake, Hypsiglena torquata",0.013942,58,"water snake",0.006586,1,0.019973,2572697,10327794,0x1be00000,1,1,63,0.997401,"hw_reset+recreate_runner",0
"n02093991/n02093991_2155.JPEG","MSEFI-ctrl+DDR-reset","input_tensor",0,184,"Irish terrier",184,"Irish terrier",0.614769,488,"chain",0.696220,616,"knot",0.256125,783,"screw",0.016374,0,-0.081451,2572697,10331580,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0
"n02093991/n02093991_75.JPEG","MSEFI-ctrl+DDR-reset","input_tensor",0,184,"Irish terrier",182,"Border terrier",0.983502,184,"Irish terrier",0.614769,211,"vizsla, Hungarian pointer",0.226161,182,"Border terrier",0.083200,1,0.368733,2572697,10330756,0x1be00000,1,0,182,0.983502,"hw_reset+recreate_runner",0
"n02093991/n02093991_7823.JPEG","MSEFI-ctrl+DDR-reset","input_tensor",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,151,"Chihuahua",0.357208,341,"hog, pig, grunter, squealer, Sus scrofa",0.357208,199,"Scotch terrier, Scottish terrier, Scottie",0.278194,0,0.195011,2572697,10330856,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0
"n02093991/n02093991_7935.JPEG","MSEFI-ctrl+DDR-reset","input_tensor",0,184,"Irish terrier",184,"Irish terrier",0.964093,202,"soft-coated wheaten terrier",0.552219,184,"Irish terrier",0.158213,226,"briard",0.123217,0,0.411874,2572697,10329843,0x1be00000,1,1,184,0.964093,"hw_reset+recreate_runner",0
"n02093991/n02093991_8145.JPEG","MSEFI-ctrl+DDR-reset","input_tensor",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,852,"tennis ball",0.757249,502,"clog, geta, patten, sabot",0.062159,587,"hammer",0.037701,0,-0.439747,2572697,10328548,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0
