image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,crash
"n01748264/n01748264_12351.JPEG","MSEFI-ctrl+DDR-reset","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,488,"chain",0.676223,978,"seashore, coast, seacoast, sea-coast",0.150886,727,"planetarium",0.091517,0,0.169728,2572697,10328870,0x1be00000,1,1,63,0.845951,"hw_reset+recreate_runner",0
"n01748264/n01748264_12842.JPEG","MSEFI-ctrl+DDR-reset","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,405,"airship, dirigible",0.406570,404,"airliner",0.316637,899,"water jug",0.246597,0,0.530145,2572697,10331544,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0
"n01748264/n01748264_15432.JPEG","MSEFI-ctrl+DDR-reset","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,63,"Indian cobra, Naja naja",0.936715,57,"garter snake, grass snake",0.017157,64,"green mamba",0.013362,1,0.063259,2572697,10329392,0x1be00000,1,1,63,0.999974,"hw_reset+recreate_runner",0
"n01748264/n01748264_19883.JPEG","MSEFI-ctrl+DDR-reset","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,265,"toy poodle",0.141874,119,"rock crab, Cancer irroratus",0.141874,464,"buckle",0.141874,0,0.835554,2572697,10327448,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0
"n01748264/n01748264_2196.JPEG","MSEFI-ctrl+DDR-reset","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,63,"Indian cobra, Naja naja",0.977429,60,"night snake, Hypsiglena torquata",0.013942,58,"water snake",0.006586,1,0.019973,2572697,10330251,0x1be00000,1,1,63,0.997401,"hw_reset+recreate_runner",0
"n02093991/n02093991_2155.JPEG","MSEFI-ctrl+DDR-reset","weights",0,184,"Irish terrier",184,"Irish terrier",0.614769,456,"bow",0.862420,733,"pole",0.090898,462,"broom",0.009581,0,-0.247651,2572697,10330523,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0
"n02093991/n02093991_75.JPEG","MSEFI-ctrl+DDR-reset","weights",0,184,"Irish terrier",182,"Border terrier",0.983502,184,"Irish terrier",0.614769,211,"vizsla, Hungarian pointer",0.226161,182,"Border terrier",0.083200,1,0.368733,2572697,10330236,0x1be00000,1,0,182,0.983502,"hw_reset+recreate_runner",0
"n02093991/n02093991_7823.JPEG","MSEFI-ctrl+DDR-reset","weights",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,558,"flute, transverse flute",0.697158,612,"jinrikisha, ricksha, rickshaw",0.199739,231,"collie",0.094350,0,-0.144939,2572697,10329177,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0
"n02093991/n02093991_7935.JPEG","MSEFI-ctrl+DDR-reset","weights",0,184,"Irish terrier",184,"Irish terrier",0.964093,202,"soft-coated wheaten terrier",0.552219,184,"Irish terrier",0.158213,226,"briard",0.123217,0,0.411874,2572697,10330223,0x1be00000,1,1,184,0.964093,"hw_reset+recreate_runner",0
"n02093991/n02093991_8145.JPEG","MSEFI-ctrl+DDR-reset","weights",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,494,"chime, bell, gong",0.522093,427,"barrel, cask",0.316665,714,"pick, plectrum, plectron",0.090726,0,-0.204590,2572697,10330799,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0
"n02096051/n02096051_2751.JPEG","MSEFI-ctrl+DDR-reset","weights",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,202,"soft-coated wheaten terrier",0.317502,184,"Irish terrier",0.192575,163,"bloodhound, sleuthhound",0.192575,0,0.524482,2572697,10328176,0x1be00000,1,1,191,0.841985,"hw_reset+recreate_runner",0
"n02096051/n02096051_2946.JPEG","MSEFI-ctrl+DDR-reset","weights",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,710,"pencil sharpener",0.501107,504,"coffee mug",0.303937,644,"matchstick",0.087079,0,0.412973,2572697,10331177,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0
"n02096051/n02096051_495.JPEG","MSEFI-ctrl+DDR-reset","weights",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.968609,191,"Airedale, Airedale terrier",0.914080,211,"vizsla, Hungarian pointer",0.035443,189,"Lakeland terrier",0.013039,1,0.054529,2572697,10332817,0x1be00000,1,1,191,0.968609,"hw_reset+recreate_runner",0
"n02096051/n02096051_5436.JPEG","MSEFI-ctrl+DDR-reset","weights",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.988703,126,"isopod",0.225364,78,"tick",0.225364,626,"lighter, light, igniter, ignitor",0.225364,0,0.763339,2572697,10329421,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0
"n02096051/n02096051_668.JPEG","MSEFI-ctrl+DDR-reset","weights",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.991122,191,"Airedale, Airedale terrier",0.988703,189,"Lakeland terrier",0.008554,184,"Irish terrier",0.001158,1,0.002419,2572697,10330615,0x1be00000,1,1,191,0.991122,"hw_reset+recreate_runner",0
"n02113186/n02113186_12291.JPEG","MSEFI-ctrl+DDR-reset","weights",0,264,"Cardigan, Cardigan Welsh corgi",264,"Cardigan, Cardigan Welsh corgi",0.848451,473,"can opener, tin opener",0.326142,541,"drum, membranophone, tympan",0.254000,875,"trombone",0.154059,0,0.522309,2572697,10331552,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0
