image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,timeout,crash
"n01748264/n01748264_12351.JPEG","SEFI-row","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,63,"Indian cobra, Naja naja",0.806831,54,"hognose snake, puff adder, sand viper",0.180028,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.005436,1,0.039120,8192,32830,0x1cec2000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_12842.JPEG","SEFI-row","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,579,"grand piano, grand",0.965381,63,"Indian cobra, Naja naja",0.029152,60,"night snake, Hypsiglena torquata",0.001451,0,-0.028666,8192,32883,0x1d5b6000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_15432.JPEG","SEFI-row","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,63,"Indian cobra, Naja naja",0.999954,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.000017,52,"thunder snake, worm snake, Carphophis amoenus",0.000006,1,0.000020,8192,33014,0x1d3d2000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_19883.JPEG","SEFI-row","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,579,"grand piano, grand",0.759108,63,"Indian cobra, Naja naja",0.217488,60,"night snake, Hypsiglena torquata",0.013904,0,0.218321,8192,32895,0x1d5d2000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_2196.JPEG","SEFI-row","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,634,"lumbermill, sawmill",0.999796,63,"Indian cobra, Naja naja",0.000203,65,"sea snake",0.000000,0,-0.002395,8192,32921,0x1c126000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_2155.JPEG","SEFI-row","weights",0,184,"Irish terrier",184,"Irish terrier",0.614769,184,"Irish terrier",0.364904,211,"vizsla, Hungarian pointer",0.134241,579,"grand piano, grand",0.134241,1,0.249865,8192,32888,0x1c2bc000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_75.JPEG","SEFI-row","weights",0,184,"Irish terrier",182,"Border terrier",0.983502,182,"Border terrier",0.924061,185,"Norfolk terrier",0.027904,192,"cairn, cairn terrier",0.027904,0,0.059440,8192,32888,0x1d288000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_7823.JPEG","SEFI-row","weights",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,579,"grand piano, grand",0.998968,202,"soft-coated wheaten terrier",0.000553,184,"Irish terrier",0.000335,0,-0.446749,8192,32872,0x1c074000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_7935.JPEG","SEFI-row","weights",0,184,"Irish terrier",184,"Irish terrier",0.964093,184,"Irish terrier",0.768589,579,"grand piano, grand",0.171495,192,"cairn, cairn terrier",0.010963,1,0.195504,8192,32983,0x1d2a6000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_8145.JPEG","SEFI-row","weights",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,579,"grand piano, grand",0.996763,163,"bloodhound, sleuthhound",0.000909,184,"Irish terrier",0.000909,0,-0.679261,8192,32964,0x1c260000,0,0,-1,0.000000,"",0,0
