image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,crash
"n01748264/n01748264_12351.JPEG","MSEFI-DDR-pwrcycle","buffers",0,63,"Indian cobra, Naja naja",3,"tiger shark, Galeocerdo cuvieri",0.001000,991,"coral fungus",0.998919,973,"coral reef",0.000261,996,"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa",0.000261,0,-0.997919,2572697,10331766,0x1be00000,1,1,63,0.845951,"devmem_reopen+recreate_runner",0
"n01748264/n01748264_12842.JPEG","MSEFI-DDR-pwrcycle","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,452,"bonnet, poke bonnet",0.132235,596,"hatchet",0.132235,840,"swab, swob, mop",0.132235,0,0.713717,2572697,10334416,0x1be00000,1,0,3,0.001000,"devmem_reopen+recreate_runner",0
"n01748264/n01748264_15432.JPEG","MSEFI-DDR-pwrcycle","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,63,"Indian cobra, Naja naja",0.936715,57,"garter snake, grass snake",0.017157,64,"green mamba",0.013362,1,0.000000,2572697,10330555,0x1be00000,1,1,63,0.999974,"devmem_reopen+recreate_runner",0
"n01748264/n01748264_19883.JPEG","MSEFI-DDR-pwrcycle","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,0,"tench, Tinca tinca",0.018673,9,"ostrich, Struthio camelus",0.018673,20,"water ouzel, dipper",0.018673,0,0.981301,2572697,10332281,0x1be00000,1,0,3,0.001000,"devmem_reopen+recreate_runner",0
"n01748264/n01748264_2196.JPEG","MSEFI-DDR-pwrcycle","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,63,"Indian cobra, Naja naja",0.977429,60,"night snake, Hypsiglena torquata",0.013942,58,"water snake",0.006586,1,0.000000,2572697,10331602,0x1be00000,1,1,63,0.997401,"devmem_reopen+recreate_runner",0
"n02093991/n02093991_2155.JPEG","MSEFI-DDR-pwrcycle","buffers",0,184,"Irish terrier",63,"Indian cobra, Naja naja",0.997401,681,"notebook, notebook computer",0.996126,711,"perfume, essence",0.001166,804,"soap dispenser",0.000908,0,0.001275,2572697,10333796,0x1be00000,1,0,3,0.001000,"devmem_reopen+recreate_runner",0
"n02093991/n02093991_75.JPEG","MSEFI-DDR-pwrcycle","buffers",0,184,"Irish terrier",184,"Irish terrier",0.614769,184,"Irish terrier",0.614769,211,"vizsla, Hungarian pointer",0.226161,182,"Border terrier",0.083200,1,0.000000,2572697,10330302,0x1be00000,1,0,182,0.983502,"devmem_reopen+recreate_runner",0
"n02093991/n02093991_7823.JPEG","MSEFI-DDR-pwrcycle","buffers",0,184,"Irish terrier",182,"Border terrier",0.983502,618,"ladle",0.373504,971,"bubble",0.176431,784,"screwdriver",0.176431,0,0.609998,2572697,10329414,0x1be00000,1,0,3,0.001000,"devmem_reopen+recreate_runner",0
"n02093991/n02093991_7935.JPEG","MSEFI-DDR-pwrcycle","buffers",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,202,"soft-coated wheaten terrier",0.552219,184,"Irish terrier",0.158213,226,"briard",0.123217,0,0.000000,2572697,10331943,0x1be00000,1,1,184,0.964093,"devmem_reopen+recreate_runner",0
"n02093991/n02093991_8145.JPEG","MSEFI-DDR-pwrcycle","buffers",0,184,"Irish terrier",184,"Irish terrier",0.964093,852,"tennis ball",0.574270,499,"cleaver, meat cleaver, chopper",0.099793,828,"strainer",0.099793,0,0.389823,2572697,10333558,0x1be00000,1,0,3,0.001000,"devmem_reopen+recreate_runner",0
