image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,crash
"n01748264/n01748264_12351.JPEG","MSEFI-DDR-pwrcycle","input_tensor",0,63,"Indian cobra, Naja naja",3,"tiger shark, Galeocerdo cuvieri",0.001000,991,"coral fungus",0.998919,973,"coral reef",0.000261,996,"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa",0.000261,0,-0.997919,2572697,10332160,0x1be00000,1,1,63,0.845951,"devmem_reopen+recreate_runner",0
"n01748264/n01748264_12842.JPEG","MSEFI-DDR-pwrcycle","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,6,"stingray",0.042347,8,"hen",0.042347,14,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",0.042347,0,0.803604,2572697,10332945,0x1be00000,1,0,3,0.001000,"devmem_reopen+recreate_runner",0
"n01748264/n01748264_15432.JPEG","MSEFI-DDR-pwrcycle","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,63,"Indian cobra, Naja naja",0.936715,57,"garter snake, grass snake",0.017157,64,"green mamba",0.013362,1,0.000000,2572697,10333411,0x1be00000,1,1,63,0.999974,"devmem_reopen+recreate_runner",0
"n01748264/n01748264_19883.JPEG","MSEFI-DDR-pwrcycle","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,542,"drumstick",0.056808,462,"broom",0.056808,587,"hammer",0.056808,0,0.943166,2572697,10330999,0x1be00000,1,0,3,0.001000,"devmem_reopen+recreate_runner",0
"n01748264/n01748264_2196.JPEG","MSEFI-DDR-pwrcycle","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,63,"Indian cobra, Naja naja",0.977429,60,"night snake, Hypsiglena torquata",0.013942,58,"water snake",0.006586,1,0.000000,2572697,10331683,0x1be00000,1,1,63,0.997401,"devmem_reopen+recreate_runner",0
"n02093991/n02093991_2155.JPEG","MSEFI-DDR-pwrcycle","input_tensor",0,184,"Irish terrier",63,"Indian cobra, Naja naja",0.997401,733,"pole",0.290875,792,"shovel",0.226533,971,"bubble",0.176424,0,0.706527,2572697,10331031,0x1be00000,1,0,3,0.001000,"devmem_reopen+recreate_runner",0
"n02093991/n02093991_75.JPEG","MSEFI-DDR-pwrcycle","input_tensor",0,184,"Irish terrier",184,"Irish terrier",0.614769,184,"Irish terrier",0.614769,211,"vizsla, Hungarian pointer",0.226161,182,"Border terrier",0.083200,1,0.000000,2572697,10334921,0x1be00000,1,0,182,0.983502,"devmem_reopen+recreate_runner",0
"n02093991/n02093991_7823.JPEG","MSEFI-DDR-pwrcycle","input_tensor",0,184,"Irish terrier",182,"Border terrier",0.983502,902,"whistle",0.817272,599,"honeycomb",0.040690,692,"packet",0.024679,0,0.166230,2572697,10333205,0x1be00000,1,0,3,0.001000,"devmem_reopen+recreate_runner",0
"n02093991/n02093991_7935.JPEG","MSEFI-DDR-pwrcycle","input_tensor",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,202,"soft-coated wheaten terrier",0.552219,184,"Irish terrier",0.158213,226,"briard",0.123217,0,0.000000,2572697,10331574,0x1be00000,1,1,184,0.964093,"devmem_reopen+recreate_runner",0
"n02093991/n02093991_8145.JPEG","MSEFI-DDR-pwrcycle","input_tensor",0,184,"Irish terrier",184,"Irish terrier",0.964093,674,"mousetrap",0.894121,572,"goblet",0.034669,787,"shield, buckler",0.021028,0,0.069972,2572697,10330582,0x1be00000,1,0,3,0.001000,"devmem_reopen+recreate_runner",0
