image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,crash
"n01748264/n01748264_12351.JPEG","MSEFI-DDR-pwrcycle","weights",0,63,"Indian cobra, Naja naja",3,"tiger shark, Galeocerdo cuvieri",0.001000,991,"coral fungus",0.998919,973,"coral reef",0.000261,996,"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa",0.000261,0,-0.997919,2572697,10332580,0x1be00000,1,1,63,0.845951,"devmem_reopen+recreate_runner",0
"n01748264/n01748264_12842.JPEG","MSEFI-DDR-pwrcycle","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,618,"ladle",0.481322,852,"tennis ball",0.481322,463,"bucket, pail",0.018663,0,0.364629,2572697,10332627,0x1be00000,1,0,3,0.001000,"devmem_reopen+recreate_runner",0
"n01748264/n01748264_15432.JPEG","MSEFI-DDR-pwrcycle","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,63,"Indian cobra, Naja naja",0.936715,57,"garter snake, grass snake",0.017157,64,"green mamba",0.013362,1,0.000000,2572697,10333525,0x1be00000,1,1,63,0.999974,"devmem_reopen+recreate_runner",0
"n01748264/n01748264_19883.JPEG","MSEFI-DDR-pwrcycle","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,728,"plastic bag",0.347606,417,"balloon",0.210833,868,"tray",0.164197,0,0.652368,2572697,10329671,0x1be00000,1,0,3,0.001000,"devmem_reopen+recreate_runner",0
"n01748264/n01748264_2196.JPEG","MSEFI-DDR-pwrcycle","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,63,"Indian cobra, Naja naja",0.977429,60,"night snake, Hypsiglena torquata",0.013942,58,"water snake",0.006586,1,0.000000,2572697,10327691,0x1be00000,1,1,63,0.997401,"devmem_reopen+recreate_runner",0
"n02093991/n02093991_2155.JPEG","MSEFI-DDR-pwrcycle","weights",0,184,"Irish terrier",63,"Indian cobra, Naja naja",0.997401,112,"conch",0.047172,427,"barrel, cask",0.047172,502,"clog, geta, patten, sabot",0.047172,0,0.950230,2572697,10331969,0x1be00000,1,0,3,0.001000,"devmem_reopen+recreate_runner",0
"n02093991/n02093991_75.JPEG","MSEFI-DDR-pwrcycle","weights",0,184,"Irish terrier",184,"Irish terrier",0.614769,184,"Irish terrier",0.614769,211,"vizsla, Hungarian pointer",0.226161,182,"Border terrier",0.083200,1,0.000000,2572697,10330077,0x1be00000,1,0,182,0.983502,"devmem_reopen+recreate_runner",0
"n02093991/n02093991_7823.JPEG","MSEFI-DDR-pwrcycle","weights",0,184,"Irish terrier",182,"Border terrier",0.983502,0,"tench, Tinca tinca",0.005597,10,"brambling, Fringilla montifringilla",0.005597,22,"bald eagle, American eagle, Haliaeetus leucocephalus",0.005597,0,0.977905,2572697,10332084,0x1be00000,1,0,3,0.001000,"devmem_reopen+recreate_runner",0
"n02093991/n02093991_7935.JPEG","MSEFI-DDR-pwrcycle","weights",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,202,"soft-coated wheaten terrier",0.552219,184,"Irish terrier",0.158213,226,"briard",0.123217,0,0.000000,2572697,10331462,0x1be00000,1,1,184,0.964093,"devmem_reopen+recreate_runner",0
"n02093991/n02093991_8145.JPEG","MSEFI-DDR-pwrcycle","weights",0,184,"Irish terrier",184,"Irish terrier",0.964093,34,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",0.517434,112,"conch",0.244419,35,"mud turtle",0.190353,0,0.446659,2572697,10333402,0x1be00000,1,0,3,0.001000,"devmem_reopen+recreate_runner",0
