image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,crash
"n01748264/n01748264_12351.JPEG","MSEFI-full-pwrcycle","buffers",0,63,"Indian cobra, Naja naja",3,"tiger shark, Galeocerdo cuvieri",0.001000,991,"coral fungus",0.998919,973,"coral reef",0.000261,996,"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa",0.000261,0,-0.997919,2572697,10328630,0x1be00000,1,1,63,0.845951,"full_power_cycle(hw+devmem+runner)",0
"n01748264/n01748264_12842.JPEG","MSEFI-full-pwrcycle","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,17,"jay",0.007059,38,"banded gecko",0.007059,49,"African crocodile, Nile crocodile, Crocodylus niloticus",0.007059,0,0.838893,2572697,10329108,0x1be00000,1,0,3,0.001000,"full_power_cycle(hw+devmem+runner)",0
"n01748264/n01748264_15432.JPEG","MSEFI-full-pwrcycle","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,63,"Indian cobra, Naja naja",0.936715,57,"garter snake, grass snake",0.017157,64,"green mamba",0.013362,1,0.000000,2572697,10334535,0x1be00000,1,1,63,0.999974,"full_power_cycle(hw+devmem+runner)",0
"n01748264/n01748264_19883.JPEG","MSEFI-full-pwrcycle","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,584,"hair slide",0.330978,679,"necklace",0.330978,488,"chain",0.330978,0,0.668996,2572697,10330427,0x1be00000,1,0,3,0.001000,"full_power_cycle(hw+devmem+runner)",0
"n01748264/n01748264_2196.JPEG","MSEFI-full-pwrcycle","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,63,"Indian cobra, Naja naja",0.977429,60,"night snake, Hypsiglena torquata",0.013942,58,"water snake",0.006586,1,0.000000,2572697,10335829,0x1be00000,1,1,63,0.997401,"full_power_cycle(hw+devmem+runner)",0
"n02093991/n02093991_2155.JPEG","MSEFI-full-pwrcycle","buffers",0,184,"Irish terrier",63,"Indian cobra, Naja naja",0.997401,883,"vase",0.605901,506,"coil, spiral, volute, whorl, helix",0.367497,502,"clog, geta, patten, sabot",0.018297,0,0.391500,2572697,10333203,0x1be00000,1,0,3,0.001000,"full_power_cycle(hw+devmem+runner)",0
"n02093991/n02093991_75.JPEG","MSEFI-full-pwrcycle","buffers",0,184,"Irish terrier",184,"Irish terrier",0.614769,184,"Irish terrier",0.614769,211,"vizsla, Hungarian pointer",0.226161,182,"Border terrier",0.083200,1,0.000000,2572697,10329023,0x1be00000,1,0,182,0.983502,"full_power_cycle(hw+devmem+runner)",0
"n02093991/n02093991_7823.JPEG","MSEFI-full-pwrcycle","buffers",0,184,"Irish terrier",182,"Border terrier",0.983502,644,"matchstick",0.845956,616,"knot",0.147005,619,"lampshade, lamp shade",0.001633,0,0.137546,2572697,10331007,0x1be00000,1,0,3,0.001000,"full_power_cycle(hw+devmem+runner)",0
"n02093991/n02093991_7935.JPEG","MSEFI-full-pwrcycle","buffers",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,202,"soft-coated wheaten terrier",0.552219,184,"Irish terrier",0.158213,226,"briard",0.123217,0,0.000000,2572697,10327615,0x1be00000,1,1,184,0.964093,"full_power_cycle(hw+devmem+runner)",0
"n02093991/n02093991_8145.JPEG","MSEFI-full-pwrcycle","buffers",0,184,"Irish terrier",184,"Irish terrier",0.964093,898,"water bottle",0.547076,920,"traffic light, traffic signal, stoplight",0.095067,417,"balloon",0.074039,0,0.417018,2572697,10324474,0x1be00000,1,0,3,0.001000,"full_power_cycle(hw+devmem+runner)",0
"n02096051/n02096051_2751.JPEG","MSEFI-full-pwrcycle","buffers",0,191,"Airedale, Airedale terrier",202,"soft-coated wheaten terrier",0.317502,202,"soft-coated wheaten terrier",0.317502,184,"Irish terrier",0.192575,163,"bloodhound, sleuthhound",0.192575,0,0.000000,2572697,10326672,0x1be00000,1,1,191,0.841985,"full_power_cycle(hw+devmem+runner)",0
"n02096051/n02096051_2946.JPEG","MSEFI-full-pwrcycle","buffers",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,616,"knot",0.797905,488,"chain",0.107985,879,"umbrella",0.024095,0,0.044080,2572697,10330886,0x1be00000,1,0,3,0.001000,"full_power_cycle(hw+devmem+runner)",0
"n02096051/n02096051_495.JPEG","MSEFI-full-pwrcycle","buffers",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,191,"Airedale, Airedale terrier",0.914080,211,"vizsla, Hungarian pointer",0.035443,189,"Lakeland terrier",0.013039,1,0.000000,2572697,10330426,0x1be00000,1,1,191,0.968609,"full_power_cycle(hw+devmem+runner)",0
"n02096051/n02096051_5436.JPEG","MSEFI-full-pwrcycle","buffers",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.968609,182,"Border terrier",0.263479,189,"Lakeland terrier",0.205198,198,"standard schnauzer",0.124459,0,0.705130,2572697,10331150,0x1be00000,1,0,3,0.001000,"full_power_cycle(hw+devmem+runner)",0
"n02096051/n02096051_668.JPEG","MSEFI-full-pwrcycle","buffers",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.988703,191,"Airedale, Airedale terrier",0.988703,189,"Lakeland terrier",0.008554,184,"Irish terrier",0.001158,1,0.000000,2572697,10333119,0x1be00000,1,1,191,0.991122,"full_power_cycle(hw+devmem+runner)",0
"n02113186/n02113186_12291.JPEG","MSEFI-full-pwrcycle","buffers",0,264,"Cardigan, Cardigan Welsh corgi",191,"Airedale, Airedale terrier",0.991122,596,"hatchet",0.215111,518,"crash helmet",0.215111,700,"paper towel",0.215111,0,0.776010,2572697,10332379,0x1be00000,1,0,3,0.001000,"full_power_cycle(hw+devmem+runner)",0
"n02113186/n02113186_13231.JPEG","MSEFI-full-pwrcycle","buffers",0,264,"Cardigan, Cardigan Welsh corgi",264,"Cardigan, Cardigan Welsh corgi",0.848451,264,"Cardigan, Cardigan Welsh corgi",0.848451,263,"Pembroke, Pembroke Welsh corgi",0.054240,253,"basenji",0.025621,1,0.000000,2572697,10326695,0x1be00000,1,0,201,0.489978,"full_power_cycle(hw+devmem+runner)",0
"n02113186/n02113186_50.JPEG","MSEFI-full-pwrcycle","buffers",0,264,"Cardigan, Cardigan Welsh corgi",201,"silky terrier, Sydney silky",0.489978,773,"saltshaker, salt shaker",0.919744,898,"water bottle",0.035662,528,"dial telephone, dial phone",0.016846,0,-0.429766,2572697,10328231,0x1be00000,1,0,3,0.001000,"full_power_cycle(hw+devmem+runner)",0
"n02113186/n02113186_5538.JPEG","MSEFI-full-pwrcycle","buffers",0,264,"Cardigan, Cardigan Welsh corgi",263,"Pembroke, Pembroke Welsh corgi",0.516311,263,"Pembroke, Pembroke Welsh corgi",0.516311,264,"Cardigan, Cardigan Welsh corgi",0.402104,158,"toy terrier",0.033007,0,0.000000,2572697,10331183,0x1be00000,1,0,162,0.571110,"full_power_cycle(hw+devmem+runner)",0
"n02113186/n02113186_9772.JPEG","MSEFI-full-pwrcycle","buffers",0,264,"Cardigan, Cardigan Welsh corgi",162,"beagle",0.571110,412,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",0.198691,463,"bucket, pail",0.198691,618,"ladle",0.198691,0,0.372419,2572697,10334200,0x1be00000,1,0,3,0.001000,"full_power_cycle(hw+devmem+runner)",0
"n02114855/n02114855_1044.JPEG","MSEFI-full-pwrcycle","buffers",0,272,"coyote, prairie wolf, brush wolf, Canis latrans",195,"Boston bull, Boston terrier",0.305252,195,"Boston bull, Boston terrier",0.305252,264,"Cardigan, Cardigan Welsh corgi",0.305252,242,"boxer",0.144191,0,0.000000,2572697,10331980,0x1be00000,1,1,272,0.933076,"full_power_cycle(hw+devmem+runner)",0
"n02114855/n02114855_1047.JPEG","MSEFI-full-pwrcycle","buffers",0,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.933076,151,"Chihuahua",0.822951,587,"hammer",0.067552,427,"barrel, cask",0.040972,0,0.110125,2572697,10332457,0x1be00000,1,0,3,0.001000,"full_power_cycle(hw+devmem+runner)",0
"n02114855/n02114855_18848.JPEG","MSEFI-full-pwrcycle","buffers",0,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.856385,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.856385,280,"grey fox, gray fox, Urocyon cinereoargenteus",0.054747,271,"red wolf, maned wolf, Canis rufus, Canis niger",0.054747,1,0.000000,2572697,10333863,0x1be00000,1,1,272,0.831597,"full_power_cycle(hw+devmem+runner)",0
"n02114855/n02114855_7204.JPEG","MSEFI-full-pwrcycle","buffers",0,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.831597,522,"croquet ball",0.988966,417,"balloon",0.010986,641,"maraca",0.000017,0,-0.157369,2572697,10332390,0x1be00000,1,0,3,0.001000,"full_power_cycle(hw+devmem+runner)",0
"n02114855/n02114855_7265.JPEG","MSEFI-full-pwrcycle","buffers",0,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.926733,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.926733,280,"grey fox, gray fox, Urocyon cinereoargenteus",0.016974,277,"red fox, Vulpes vulpes",0.008018,1,0.000000,2572697,10331879,0x1be00000,1,1,272,0.818428,"full_power_cycle(hw+devmem+runner)",0
"n02134418/n02134418_11090.JPEG","MSEFI-full-pwrcycle","buffers",0,297,"sloth bear, Melursus ursinus, Ursus ursinus",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.818428,845,"syringe",0.720279,251,"dalmatian, coach dog, carriage dog",0.097479,544,"Dutch oven",0.059124,0,0.098149,2572697,10331490,0x1be00000,1,0,3,0.001000,"full_power_cycle(hw+devmem+runner)",0
"n02134418/n02134418_2895.JPEG","MSEFI-full-pwrcycle","buffers",0,297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.945521,297,"sloth bear, Melursus ursinus, Ursus ursinus",0.945521,369,"siamang, Hylobates syndactylus, Symphalangus syndactylus",0.022237,377,"marmoset",0.006371,1,0.000000,2572697,10332315,0x1be00000,1,1,297,0.999508,"full_power_cycle(hw+devmem+runner)",0
"n02134418/n02134418_3846.JPEG","MSEFI-full-pwrcycle","buffers",0,297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.999508,12,"house finch, linnet, Carpodacus mexicanus",0.006411,4,"hammerhead, hammerhead shark",0.006411,18,"magpie",0.006411,0,0.993097,2572697,10328617,0x1be00000,1,0,3,0.001000,"full_power_cycle(hw+devmem+runner)",0
"n02134418/n02134418_4725.JPEG","MSEFI-full-pwrcycle","buffers",0,297,"sloth bear, Melursus ursinus, Ursus ursinus",295,"American black bear, black bear, Ursus americanus, Euarctos americanus",0.730507,295,"American black bear, black bear, Ursus americanus, Euarctos americanus",0.730507,297,"sloth bear, Melursus ursinus, Ursus ursinus",0.268739,294,"brown bear, bruin, Ursus arctos",0.000666,0,0.000000,2572697,10328635,0x1be00000,1,1,297,0.907159,"full_power_cycle(hw+devmem+runner)",0
"n02134418/n02134418_5777.JPEG","MSEFI-full-pwrcycle","buffers",0,297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.907159,709,"pencil box, pencil case",0.391897,522,"croquet ball",0.185119,429,"baseball",0.144171,0,0.515262,2572697,10333003,0x1be00000,1,0,3,0.001000,"full_power_cycle(hw+devmem+runner)",0
