image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,crash
"n01748264/n01748264_12351.JPEG","MSEFI-full-pwrcycle","input_tensor",0,63,"Indian cobra, Naja naja",3,"tiger shark, Galeocerdo cuvieri",0.001000,991,"coral fungus",0.998919,973,"coral reef",0.000261,996,"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa",0.000261,0,-0.997919,2572697,10331623,0x1be00000,1,1,63,0.845951,"full_power_cycle(hw+devmem+runner)",0
"n01748264/n01748264_12842.JPEG","MSEFI-full-pwrcycle","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,151,"Chihuahua",0.858653,227,"kelpie",0.116206,186,"Norwich terrier",0.007429,0,-0.012702,2572697,10333104,0x1be00000,1,0,3,0.001000,"full_power_cycle(hw+devmem+runner)",0
"n01748264/n01748264_15432.JPEG","MSEFI-full-pwrcycle","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,63,"Indian cobra, Naja naja",0.936715,57,"garter snake, grass snake",0.017157,64,"green mamba",0.013362,1,0.000000,2572697,10331437,0x1be00000,1,1,63,0.999974,"full_power_cycle(hw+devmem+runner)",0
"n01748264/n01748264_19883.JPEG","MSEFI-full-pwrcycle","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,712,"Petri dish",0.796725,899,"water jug",0.083974,898,"water bottle",0.065399,0,0.203249,2572697,10334150,0x1be00000,1,0,3,0.001000,"full_power_cycle(hw+devmem+runner)",0
"n01748264/n01748264_2196.JPEG","MSEFI-full-pwrcycle","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,63,"Indian cobra, Naja naja",0.977429,60,"night snake, Hypsiglena torquata",0.013942,58,"water snake",0.006586,1,0.000000,2572697,10331295,0x1be00000,1,1,63,0.997401,"full_power_cycle(hw+devmem+runner)",0
"n02093991/n02093991_2155.JPEG","MSEFI-full-pwrcycle","input_tensor",0,184,"Irish terrier",63,"Indian cobra, Naja naja",0.997401,463,"bucket, pail",0.996168,852,"tennis ball",0.001923,731,"plunger, plumber's helper",0.000429,0,0.001233,2572697,10329781,0x1be00000,1,0,3,0.001000,"full_power_cycle(hw+devmem+runner)",0
"n02093991/n02093991_75.JPEG","MSEFI-full-pwrcycle","input_tensor",0,184,"Irish terrier",184,"Irish terrier",0.614769,184,"Irish terrier",0.614769,211,"vizsla, Hungarian pointer",0.226161,182,"Border terrier",0.083200,1,0.000000,2572697,10332289,0x1be00000,1,0,182,0.983502,"full_power_cycle(hw+devmem+runner)",0
"n02093991/n02093991_7823.JPEG","MSEFI-full-pwrcycle","input_tensor",0,184,"Irish terrier",182,"Border terrier",0.983502,447,"binoculars, field glasses, opera glasses",0.932650,507,"combination lock",0.036163,852,"tennis ball",0.010361,0,0.050852,2572697,10330723,0x1be00000,1,0,3,0.001000,"full_power_cycle(hw+devmem+runner)",0
"n02093991/n02093991_7935.JPEG","MSEFI-full-pwrcycle","input_tensor",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,202,"soft-coated wheaten terrier",0.552219,184,"Irish terrier",0.158213,226,"briard",0.123217,0,0.000000,2572697,10328502,0x1be00000,1,1,184,0.964093,"full_power_cycle(hw+devmem+runner)",0
"n02093991/n02093991_8145.JPEG","MSEFI-full-pwrcycle","input_tensor",0,184,"Irish terrier",184,"Irish terrier",0.964093,852,"tennis ball",0.666200,587,"hammer",0.314690,722,"ping-pong ball",0.007401,0,0.297893,2572697,10332442,0x1be00000,1,0,3,0.001000,"full_power_cycle(hw+devmem+runner)",0
