image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,crash
"n01748264/n01748264_12351.JPEG","MSEFI-full-pwrcycle","weights",0,63,"Indian cobra, Naja naja",3,"tiger shark, Galeocerdo cuvieri",0.001000,991,"coral fungus",0.998919,973,"coral reef",0.000261,996,"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa",0.000261,0,-0.997919,2572697,10330608,0x1be00000,1,1,63,0.845951,"full_power_cycle(hw+devmem+runner)",0
"n01748264/n01748264_12842.JPEG","MSEFI-full-pwrcycle","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,852,"tennis ball",0.754900,722,"ping-pong ball",0.061966,429,"baseball",0.029271,0,0.091052,2572697,10330454,0x1be00000,1,0,3,0.001000,"full_power_cycle(hw+devmem+runner)",0
"n01748264/n01748264_15432.JPEG","MSEFI-full-pwrcycle","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,63,"Indian cobra, Naja naja",0.936715,57,"garter snake, grass snake",0.017157,64,"green mamba",0.013362,1,0.000000,2572697,10334410,0x1be00000,1,1,63,0.999974,"full_power_cycle(hw+devmem+runner)",0
"n01748264/n01748264_19883.JPEG","MSEFI-full-pwrcycle","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,1,"goldfish, Carassius auratus",0.009596,9,"ostrich, Struthio camelus",0.009596,10,"brambling, Fringilla montifringilla",0.009596,0,0.990378,2572697,10329134,0x1be00000,1,0,3,0.001000,"full_power_cycle(hw+devmem+runner)",0
"n01748264/n01748264_2196.JPEG","MSEFI-full-pwrcycle","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,63,"Indian cobra, Naja naja",0.977429,60,"night snake, Hypsiglena torquata",0.013942,58,"water snake",0.006586,1,0.000000,2572697,10329822,0x1be00000,1,1,63,0.997401,"full_power_cycle(hw+devmem+runner)",0
"n02093991/n02093991_2155.JPEG","MSEFI-full-pwrcycle","weights",0,184,"Irish terrier",63,"Indian cobra, Naja naja",0.997401,162,"beagle",0.394198,499,"cleaver, meat cleaver, chopper",0.186206,189,"Lakeland terrier",0.053349,0,0.603203,2572697,10333226,0x1be00000,1,0,3,0.001000,"full_power_cycle(hw+devmem+runner)",0
"n02093991/n02093991_75.JPEG","MSEFI-full-pwrcycle","weights",0,184,"Irish terrier",184,"Irish terrier",0.614769,184,"Irish terrier",0.614769,211,"vizsla, Hungarian pointer",0.226161,182,"Border terrier",0.083200,1,0.000000,2572697,10330228,0x1be00000,1,0,182,0.983502,"full_power_cycle(hw+devmem+runner)",0
"n02093991/n02093991_7823.JPEG","MSEFI-full-pwrcycle","weights",0,184,"Irish terrier",182,"Border terrier",0.983502,559,"folding chair",0.994372,910,"wooden spoon",0.001495,813,"spatula",0.001164,0,-0.010871,2572697,10331212,0x1be00000,1,0,3,0.001000,"full_power_cycle(hw+devmem+runner)",0
"n02093991/n02093991_7935.JPEG","MSEFI-full-pwrcycle","weights",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,202,"soft-coated wheaten terrier",0.552219,184,"Irish terrier",0.158213,226,"briard",0.123217,0,0.000000,2572697,10333630,0x1be00000,1,1,184,0.964093,"full_power_cycle(hw+devmem+runner)",0
"n02093991/n02093991_8145.JPEG","MSEFI-full-pwrcycle","weights",0,184,"Irish terrier",184,"Irish terrier",0.964093,731,"plunger, plumber's helper",0.923348,587,"hammer",0.059028,852,"tennis ball",0.007989,0,0.040745,2572697,10331621,0x1be00000,1,0,3,0.001000,"full_power_cycle(hw+devmem+runner)",0
"n02096051/n02096051_2751.JPEG","MSEFI-full-pwrcycle","weights",0,191,"Airedale, Airedale terrier",202,"soft-coated wheaten terrier",0.317502,202,"soft-coated wheaten terrier",0.317502,184,"Irish terrier",0.192575,163,"bloodhound, sleuthhound",0.192575,0,0.000000,2572697,10328299,0x1be00000,1,1,191,0.841985,"full_power_cycle(hw+devmem+runner)",0
"n02096051/n02096051_2946.JPEG","MSEFI-full-pwrcycle","weights",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,341,"hog, pig, grunter, squealer, Sus scrofa",0.701821,186,"Norwich terrier",0.156597,942,"butternut squash",0.094981,0,0.140164,2572697,10331960,0x1be00000,1,0,3,0.001000,"full_power_cycle(hw+devmem+runner)",0
"n02096051/n02096051_495.JPEG","MSEFI-full-pwrcycle","weights",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,191,"Airedale, Airedale terrier",0.914080,211,"vizsla, Hungarian pointer",0.035443,189,"Lakeland terrier",0.013039,1,0.000000,2572697,10333779,0x1be00000,1,1,191,0.968609,"full_power_cycle(hw+devmem+runner)",0
"n02096051/n02096051_5436.JPEG","MSEFI-full-pwrcycle","weights",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.968609,163,"bloodhound, sleuthhound",0.056518,94,"hummingbird",0.056518,164,"bluetick",0.056518,0,0.912091,2572697,10334087,0x1be00000,1,0,3,0.001000,"full_power_cycle(hw+devmem+runner)",0
"n02096051/n02096051_668.JPEG","MSEFI-full-pwrcycle","weights",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.988703,191,"Airedale, Airedale terrier",0.988703,189,"Lakeland terrier",0.008554,184,"Irish terrier",0.001158,1,0.000000,2572697,10330592,0x1be00000,1,1,191,0.991122,"full_power_cycle(hw+devmem+runner)",0
"n02113186/n02113186_12291.JPEG","MSEFI-full-pwrcycle","weights",0,264,"Cardigan, Cardigan Welsh corgi",191,"Airedale, Airedale terrier",0.991122,907,"wine bottle",0.900319,574,"golf ball",0.094893,417,"balloon",0.002866,0,0.090802,2572697,10328696,0x1be00000,1,0,3,0.001000,"full_power_cycle(hw+devmem+runner)",0
"n02113186/n02113186_13231.JPEG","MSEFI-full-pwrcycle","weights",0,264,"Cardigan, Cardigan Welsh corgi",264,"Cardigan, Cardigan Welsh corgi",0.848451,264,"Cardigan, Cardigan Welsh corgi",0.848451,263,"Pembroke, Pembroke Welsh corgi",0.054240,253,"basenji",0.025621,1,0.000000,2572697,10329954,0x1be00000,1,0,201,0.489978,"full_power_cycle(hw+devmem+runner)",0
"n02113186/n02113186_50.JPEG","MSEFI-full-pwrcycle","weights",0,264,"Cardigan, Cardigan Welsh corgi",201,"silky terrier, Sydney silky",0.489978,731,"plunger, plumber's helper",0.161552,515,"cowboy hat, ten-gallon hat",0.161552,852,"tennis ball",0.161552,0,0.328426,2572697,10332370,0x1be00000,1,0,3,0.001000,"full_power_cycle(hw+devmem+runner)",0
