image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,timeout,crash
"n01748264/n01748264_12351.JPEG","SEFI-column","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,63,"Indian cobra, Naja naja",0.563224,54,"hognose snake, puff adder, sand viper",0.341613,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.059363,1,0.282727,25120,100897,0x1be008b8,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_12842.JPEG","SEFI-column","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,584,"hair slide",0.774364,63,"Indian cobra, Naja naja",0.038553,936,"head cabbage",0.018211,0,0.162351,25120,100674,0x1be0139a,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_15432.JPEG","SEFI-column","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,700,"paper towel",0.677155,936,"head cabbage",0.319866,88,"macaw",0.000617,0,0.322819,25120,100615,0x1be016f2,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_19883.JPEG","SEFI-column","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,936,"head cabbage",0.446393,88,"macaw",0.446393,700,"paper towel",0.036642,0,0.531035,25120,101059,0x1be00c6d,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_2196.JPEG","SEFI-column","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,700,"paper towel",0.290357,851,"television, television system",0.226130,320,"damselfly",0.083189,0,0.707045,25120,101117,0x1be01b35,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_2155.JPEG","SEFI-column","weights",0,184,"Irish terrier",184,"Irish terrier",0.614769,457,"bow tie, bow-tie, bowtie",0.388547,936,"head cabbage",0.235666,518,"crash helmet",0.111321,0,0.226222,25120,100708,0x1be01aa4,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_75.JPEG","SEFI-column","weights",0,184,"Irish terrier",182,"Border terrier",0.983502,668,"mosque",0.461605,700,"paper towel",0.080215,818,"spotlight, spot",0.048653,0,0.521896,25120,100835,0x1be000cc,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_7823.JPEG","SEFI-column","weights",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,506,"coil, spiral, volute, whorl, helix",0.995411,611,"jigsaw puzzle",0.001497,902,"whistle",0.001497,0,-0.443192,25120,100552,0x1be006b0,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_7935.JPEG","SEFI-column","weights",0,184,"Irish terrier",184,"Irish terrier",0.964093,611,"jigsaw puzzle",0.766796,650,"microphone, mike",0.133249,832,"stupa, tope",0.049020,0,0.197297,25120,101017,0x1be0191b,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_8145.JPEG","SEFI-column","weights",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,506,"coil, spiral, volute, whorl, helix",0.358763,865,"toyshop",0.358763,611,"jigsaw puzzle",0.217601,0,-0.041260,25120,101161,0x1be0186d,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_2751.JPEG","SEFI-column","weights",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,506,"coil, spiral, volute, whorl, helix",0.583688,611,"jigsaw puzzle",0.275715,902,"whistle",0.047912,0,0.258297,25120,100686,0x1be00f31,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_2946.JPEG","SEFI-column","weights",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,518,"crash helmet",0.752066,659,"mixing bowl",0.215470,417,"balloon",0.029161,0,0.162014,25120,100698,0x1be01139,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_495.JPEG","SEFI-column","weights",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.968609,398,"abacus",0.873151,518,"crash helmet",0.043472,598,"home theater, home theatre",0.043472,0,0.095458,25120,101114,0x1be00010,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_5436.JPEG","SEFI-column","weights",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.988703,417,"balloon",0.440517,398,"abacus",0.440517,506,"coil, spiral, volute, whorl, helix",0.046430,0,0.548186,25120,100588,0x1be0148a,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_668.JPEG","SEFI-column","weights",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.991122,398,"abacus",0.989794,598,"home theater, home theatre",0.004045,747,"punching bag, punch bag, punching ball, punchball",0.001911,0,0.001327,25120,100737,0x1be01e24,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_12291.JPEG","SEFI-column","weights",0,264,"Cardigan, Cardigan Welsh corgi",264,"Cardigan, Cardigan Welsh corgi",0.848451,398,"abacus",0.397801,506,"coil, spiral, volute, whorl, helix",0.397801,842,"swimming trunks, bathing trunks",0.187908,0,0.450650,25120,100521,0x1be001ff,0,0,-1,0.000000,"",0,0
