image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,timeout,crash
"n01748264/n01748264_12351.JPEG","transient-SEFI-col","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,592,"hard disc, hard disk, fixed disk",0.089269,213,"Irish setter, red setter",0.054145,216,"clumber, clumber spaniel",0.054145,0,0.756682,1008,4083,0x596f000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_12842.JPEG","transient-SEFI-col","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,527,"desktop computer",0.053643,232,"Border collie",0.053643,30,"bullfrog, Rana catesbeiana",0.053643,0,0.883072,1008,4050,0x596f000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_15432.JPEG","transient-SEFI-col","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,363,"armadillo",0.061718,13,"junco, snowbird",0.061718,358,"polecat, fitch, foulmart, foumart, Mustela putorius",0.061718,0,0.938257,1008,4116,0x596f000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_19883.JPEG","transient-SEFI-col","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,894,"wardrobe, closet, press",0.053372,97,"drake",0.053372,159,"Rhodesian ridgeback",0.053372,0,0.924056,1008,4000,0x596f000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_2196.JPEG","transient-SEFI-col","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,133,"bittern",0.066938,55,"green snake, grass snake",0.052131,69,"trilobite",0.052131,0,0.930463,1008,4059,0x596f000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_2155.JPEG","transient-SEFI-col","buffers",1,184,"Irish terrier",184,"Irish terrier",0.614769,666,"mortar",0.047791,154,"Pekinese, Pekingese, Peke",0.047791,612,"jinrikisha, ricksha, rickshaw",0.047791,0,0.566978,1008,4054,0x596f000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_75.JPEG","transient-SEFI-col","buffers",1,184,"Irish terrier",182,"Border terrier",0.983502,99,"goose",0.072033,233,"Bouvier des Flandres, Bouviers des Flandres",0.056099,98,"red-breasted merganser, Mergus serrator",0.056099,0,0.911469,1008,4092,0x596f000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_7823.JPEG","transient-SEFI-col","buffers",1,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,822,"steel drum",0.046480,801,"snorkel",0.046480,556,"fire screen, fireguard",0.046480,0,0.505739,1008,4084,0x596f000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_7935.JPEG","transient-SEFI-col","buffers",1,184,"Irish terrier",184,"Irish terrier",0.964093,372,"baboon",0.051859,150,"sea lion",0.051859,59,"vine snake",0.051859,0,0.912234,1008,4016,0x596f000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_8145.JPEG","transient-SEFI-col","buffers",1,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,485,"CD player",0.045514,470,"candle, taper, wax light",0.045514,472,"canoe",0.045514,0,0.271988,1008,3970,0x596f000,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_2751.JPEG","transient-SEFI-col","buffers",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,472,"canoe",0.046474,443,"bib",0.046474,55,"green snake, grass snake",0.046474,0,0.795510,1008,4081,0x596f000,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_2946.JPEG","transient-SEFI-col","buffers",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,511,"convertible",0.052677,65,"sea snake",0.052677,374,"langur",0.052677,0,0.861403,1008,4004,0x596f000,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_495.JPEG","transient-SEFI-col","buffers",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.968609,735,"poncho",0.064007,368,"gibbon, Hylobates lar",0.064007,282,"tiger cat",0.064007,0,0.904603,1008,4058,0x596f000,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_5436.JPEG","transient-SEFI-col","buffers",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.988703,905,"window shade",0.063458,715,"pickelhaube",0.063458,250,"Siberian husky",0.063458,0,0.925245,1008,4010,0x596f000,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_668.JPEG","transient-SEFI-col","buffers",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.991122,11,"goldfinch, Carduelis carduelis",0.062628,53,"ringneck snake, ring-necked snake, ring snake",0.062628,147,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",0.048775,0,0.928494,1008,4121,0x596f000,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_12291.JPEG","transient-SEFI-col","buffers",1,264,"Cardigan, Cardigan Welsh corgi",264,"Cardigan, Cardigan Welsh corgi",0.848451,312,"cricket",0.058443,208,"Labrador retriever",0.058443,181,"Bedlington terrier",0.045516,0,0.790008,1008,4059,0x596f000,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_13231.JPEG","transient-SEFI-col","buffers",1,264,"Cardigan, Cardigan Welsh corgi",201,"silky terrier, Sydney silky",0.489978,894,"wardrobe, closet, press",0.055112,767,"rubber eraser, rubber, pencil eraser",0.055112,525,"dam, dike, dyke",0.055112,0,0.434867,1008,4146,0x596f000,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_50.JPEG","transient-SEFI-col","buffers",1,264,"Cardigan, Cardigan Welsh corgi",263,"Pembroke, Pembroke Welsh corgi",0.516311,344,"hippopotamus, hippo, river horse, Hippopotamus amphibius",0.059483,7,"cock",0.046325,199,"Scotch terrier, Scottish terrier, Scottie",0.046325,0,0.456828,1008,4074,0x596f000,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_5538.JPEG","transient-SEFI-col","buffers",1,264,"Cardigan, Cardigan Welsh corgi",162,"beagle",0.571110,725,"pitcher, ewer",0.051612,702,"parallel bars, bars",0.051612,663,"monastery",0.051612,0,0.519498,1008,4089,0x596f000,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_9772.JPEG","transient-SEFI-col","buffers",1,264,"Cardigan, Cardigan Welsh corgi",195,"Boston bull, Boston terrier",0.305252,812,"space shuttle",0.053777,655,"miniskirt, mini",0.053777,653,"milk can",0.053777,0,0.251475,1008,4085,0x596f000,0,0,-1,0.000000,"",0,0
"n02114855/n02114855_1044.JPEG","transient-SEFI-col","buffers",1,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.933076,670,"motor scooter, scooter",0.056441,19,"chickadee",0.056441,591,"handkerchief, hankie, hanky, hankey",0.056441,0,0.876635,1008,4050,0x596f000,0,0,-1,0.000000,"",0,0
"n02114855/n02114855_1047.JPEG","transient-SEFI-col","buffers",1,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.856385,457,"bow tie, bow-tie, bowtie",0.070103,750,"quilt, comforter, comfort, puff",0.054596,9,"ostrich, Struthio camelus",0.054596,0,0.786282,1008,4014,0x596f000,0,0,-1,0.000000,"",0,0
"n02114855/n02114855_18848.JPEG","transient-SEFI-col","buffers",1,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.831597,631,"lotion",0.063184,248,"Eskimo dog, husky",0.063184,523,"crutch",0.063184,0,0.768413,1008,4039,0x596f000,0,0,-1,0.000000,"",0,0
"n02114855/n02114855_7204.JPEG","transient-SEFI-col","buffers",1,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.926733,618,"ladle",0.064206,725,"pitcher, ewer",0.064206,19,"chickadee",0.050004,0,0.862527,1008,4056,0x596f000,0,0,-1,0.000000,"",0,0
"n02114855/n02114855_7265.JPEG","transient-SEFI-col","buffers",1,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.818428,259,"Pomeranian",0.044394,245,"French bulldog",0.044394,160,"Afghan hound, Afghan",0.044394,0,0.774033,1008,4005,0x596f000,0,0,-1,0.000000,"",0,0
"n02134418/n02134418_11090.JPEG","transient-SEFI-col","buffers",1,297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.945521,312,"cricket",0.058551,139,"ruddy turnstone, Arenaria interpres",0.058551,285,"Egyptian cat",0.058551,0,0.886970,1008,4055,0x596f000,0,0,-1,0.000000,"",0,0
"n02134418/n02134418_2895.JPEG","transient-SEFI-col","buffers",1,297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.999508,390,"eel",0.051245,198,"standard schnauzer",0.051245,284,"Siamese cat, Siamese",0.051245,0,0.948264,1008,4034,0x596f000,0,0,-1,0.000000,"",0,0
"n02134418/n02134418_3846.JPEG","transient-SEFI-col","buffers",1,297,"sloth bear, Melursus ursinus, Ursus ursinus",295,"American black bear, black bear, Ursus americanus, Euarctos americanus",0.730507,759,"reflex camera",0.058973,297,"sloth bear, Melursus ursinus, Ursus ursinus",0.058973,12,"house finch, linnet, Carpodacus mexicanus",0.058973,0,0.671534,1008,4043,0x596f000,0,0,-1,0.000000,"",0,0
"n02134418/n02134418_4725.JPEG","transient-SEFI-col","buffers",1,297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.907159,881,"upright, upright piano",0.063280,434,"bath towel",0.063280,222,"kuvasz",0.063280,0,0.843879,1008,4135,0x596f000,0,0,-1,0.000000,"",0,0
"n02134418/n02134418_5777.JPEG","transient-SEFI-col","buffers",1,297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.608753,725,"pitcher, ewer",0.060920,345,"ox",0.060920,160,"Afghan hound, Afghan",0.060920,0,0.547833,1008,4076,0x596f000,0,0,-1,0.000000,"",0,0
"n02264363/n02264363_13680.JPEG","transient-SEFI-col","buffers",1,318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.562020,123,"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",0.067338,875,"trombone",0.052443,446,"binder, ring-binder",0.052443,0,0.494683,1008,4074,0x596f000,0,0,-1,0.000000,"",0,0
"n02264363/n02264363_3092.JPEG","transient-SEFI-col","buffers",1,318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.984973,196,"miniature schnauzer",0.057409,548,"entertainment center",0.057409,111,"nematode, nematode worm, roundworm",0.044710,0,0.927564,1008,4062,0x596f000,0,0,-1,0.000000,"",0,0
"n02264363/n02264363_4632.JPEG","transient-SEFI-col","buffers",1,318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.974743,567,"frying pan, frypan, skillet",0.047752,114,"slug",0.047752,78,"tick",0.047752,0,0.926991,1008,4137,0x596f000,0,0,-1,0.000000,"",0,0
"n02264363/n02264363_5318.JPEG","transient-SEFI-col","buffers",1,318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.999994,987,"corn",0.050810,994,"stinkhorn, carrion fungus",0.050810,41,"whiptail, whiptail lizard",0.039571,0,0.949184,1008,3994,0x596f000,0,0,-1,0.000000,"",0,0
"n02264363/n02264363_9846.JPEG","transient-SEFI-col","buffers",1,318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.999998,420,"banjo",0.046290,271,"red wolf, maned wolf, Canis rufus, Canis niger",0.046290,401,"accordion, piano accordion, squeeze box",0.046290,0,0.953708,1008,3987,0x596f000,0,0,-1,0.000000,"",0,0
"n02699494/n02699494_12579.JPEG","transient-SEFI-col","buffers",1,406,"altar",406,"altar",0.955258,168,"redbone",0.059112,409,"analog clock",0.059112,748,"purse",0.046036,0,0.896146,1008,4013,0x596f000,0,0,-1,0.000000,"",0,0
