image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,timeout,crash
"n01748264/n01748264_12351.JPEG","transient-SEFI-col","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,348,"ram, tup",0.295413,63,"Indian cobra, Naja naja",0.295413,912,"worm fence, snake fence, snake-rail fence, Virginia fence",0.108676,0,0.550538,25120,101126,0x1be01523,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_12842.JPEG","transient-SEFI-col","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,63,"Indian cobra, Naja naja",0.303720,60,"night snake, Hypsiglena torquata",0.236538,65,"sea snake",0.143467,1,0.632995,25120,100875,0x1be00a61,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_15432.JPEG","transient-SEFI-col","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,63,"Indian cobra, Naja naja",0.999658,68,"sidewinder, horned rattlesnake, Crotalus cerastes",0.000261,60,"night snake, Hypsiglena torquata",0.000035,1,0.000316,25120,100898,0x1be01431,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_19883.JPEG","transient-SEFI-col","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,556,"fire screen, fireguard",0.999849,60,"night snake, Hypsiglena torquata",0.000096,112,"conch",0.000045,0,-0.022420,25120,100553,0x1be01090,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_2196.JPEG","transient-SEFI-col","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,63,"Indian cobra, Naja naja",0.969739,54,"hognose snake, puff adder, sand viper",0.017761,60,"night snake, Hypsiglena torquata",0.003086,1,0.027662,25120,100926,0x1be01454,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_2155.JPEG","transient-SEFI-col","weights",1,184,"Irish terrier",184,"Irish terrier",0.614769,180,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",0.500076,211,"vizsla, Hungarian pointer",0.236219,151,"Chihuahua",0.086900,0,0.114692,25120,100956,0x1be00c41,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_75.JPEG","transient-SEFI-col","weights",1,184,"Irish terrier",182,"Border terrier",0.983502,191,"Airedale, Airedale terrier",0.333327,182,"Border terrier",0.157452,200,"Tibetan terrier, chrysanthemum dog",0.122624,0,0.650175,25120,100935,0x1be01201,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_7823.JPEG","transient-SEFI-col","weights",1,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,292,"tiger, Panthera tigris",0.256146,282,"tiger cat",0.199486,202,"soft-coated wheaten terrier",0.073387,0,0.296074,25120,101295,0x1be00eb2,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_7935.JPEG","transient-SEFI-col","weights",1,184,"Irish terrier",184,"Irish terrier",0.964093,582,"grocery store, grocery, food market, market",0.194101,558,"flute, transverse flute",0.117728,213,"Irish setter, red setter",0.091687,0,0.769992,25120,100723,0x1be00693,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_8145.JPEG","transient-SEFI-col","weights",1,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,506,"coil, spiral, volute, whorl, helix",0.206204,812,"space shuttle",0.160592,112,"conch",0.075858,0,0.111298,25120,100816,0x1be0019c,0,0,-1,0.000000,"",0,0
