image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,timeout,crash
"n01748264/n01748264_12351.JPEG","SEFI-block","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,639,"maillot, tank suit",0.999350,463,"bucket, pail",0.000335,997,"bolete",0.000261,0,-0.153398,4096,16271,0x1ba933ef,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_12842.JPEG","SEFI-block","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,463,"bucket, pail",0.955750,639,"maillot, tank suit",0.037058,998,"ear, spike, capitulum",0.006440,0,-0.019035,4096,16375,0x1baa28a8,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_15432.JPEG","SEFI-block","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,463,"bucket, pail",0.962657,997,"bolete",0.037326,639,"maillot, tank suit",0.000013,0,0.037317,4096,16323,0x1ba87b4c,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_19883.JPEG","SEFI-block","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,639,"maillot, tank suit",0.996740,463,"bucket, pail",0.003172,22,"bald eagle, American eagle, Haliaeetus leucocephalus",0.000058,0,-0.019311,4096,16574,0x1ba9f0a1,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_2196.JPEG","SEFI-block","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,639,"maillot, tank suit",0.516690,22,"bald eagle, American eagle, Haliaeetus leucocephalus",0.244067,998,"ear, spike, capitulum",0.190079,0,0.480712,4096,16356,0x1ba97588,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_2155.JPEG","SEFI-block","input_tensor",0,184,"Irish terrier",184,"Irish terrier",0.614769,463,"bucket, pail",0.937474,640,"manhole cover",0.059931,641,"maraca",0.001098,0,-0.322705,4096,16421,0x1ba87faf,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_75.JPEG","SEFI-block","input_tensor",0,184,"Irish terrier",182,"Border terrier",0.983502,463,"bucket, pail",0.678057,22,"bald eagle, American eagle, Haliaeetus leucocephalus",0.320291,997,"bolete",0.000618,0,0.305445,4096,16410,0x1baa42e9,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_7823.JPEG","SEFI-block","input_tensor",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,735,"poncho",0.812605,997,"bolete",0.181317,463,"bucket, pail",0.005475,0,-0.260386,4096,16524,0x1ba9eec3,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_7935.JPEG","SEFI-block","input_tensor",0,184,"Irish terrier",184,"Irish terrier",0.964093,463,"bucket, pail",0.999569,639,"maillot, tank suit",0.000431,22,"bald eagle, American eagle, Haliaeetus leucocephalus",0.000000,0,-0.035476,4096,16433,0x1ba85fa2,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_8145.JPEG","SEFI-block","input_tensor",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,639,"maillot, tank suit",0.878579,998,"ear, spike, capitulum",0.072118,22,"bald eagle, American eagle, Haliaeetus leucocephalus",0.034066,0,-0.561077,4096,16413,0x1ba9954f,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_2751.JPEG","SEFI-block","input_tensor",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,463,"bucket, pail",0.900662,22,"bald eagle, American eagle, Haliaeetus leucocephalus",0.094929,639,"maillot, tank suit",0.002233,0,-0.058678,4096,16401,0x1ba90e5d,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_2946.JPEG","SEFI-block","input_tensor",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,463,"bucket, pail",0.999839,997,"bolete",0.000123,22,"bald eagle, American eagle, Haliaeetus leucocephalus",0.000028,0,-0.085759,4096,16433,0x1baa170a,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_495.JPEG","SEFI-block","input_tensor",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.968609,463,"bucket, pail",0.999131,998,"ear, spike, capitulum",0.000710,22,"bald eagle, American eagle, Haliaeetus leucocephalus",0.000058,0,-0.030522,4096,16469,0x1ba9beb3,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_5436.JPEG","SEFI-block","input_tensor",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.988703,463,"bucket, pail",0.991959,998,"ear, spike, capitulum",0.006684,639,"maillot, tank suit",0.001161,0,-0.003256,4096,16381,0x1baa1034,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_668.JPEG","SEFI-block","input_tensor",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.991122,463,"bucket, pail",0.999942,22,"bald eagle, American eagle, Haliaeetus leucocephalus",0.000045,998,"ear, spike, capitulum",0.000004,0,-0.008820,4096,16479,0x1ba90ded,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_12291.JPEG","SEFI-block","input_tensor",0,264,"Cardigan, Cardigan Welsh corgi",264,"Cardigan, Cardigan Welsh corgi",0.848451,997,"bolete",0.449885,463,"bucket, pail",0.272869,639,"maillot, tank suit",0.272869,0,0.398566,4096,16364,0x1ba9d005,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_13231.JPEG","SEFI-block","input_tensor",0,264,"Cardigan, Cardigan Welsh corgi",201,"silky terrier, Sydney silky",0.489978,998,"ear, spike, capitulum",0.554016,441,"beer glass",0.158728,463,"bucket, pail",0.096273,0,-0.064037,4096,16331,0x1ba94731,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_50.JPEG","SEFI-block","input_tensor",0,264,"Cardigan, Cardigan Welsh corgi",263,"Pembroke, Pembroke Welsh corgi",0.516311,639,"maillot, tank suit",0.999425,463,"bucket, pail",0.000553,22,"bald eagle, American eagle, Haliaeetus leucocephalus",0.000021,0,-0.483114,4096,16443,0x1ba97c73,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_5538.JPEG","SEFI-block","input_tensor",0,264,"Cardigan, Cardigan Welsh corgi",162,"beagle",0.571110,463,"bucket, pail",0.999999,639,"maillot, tank suit",0.000001,22,"bald eagle, American eagle, Haliaeetus leucocephalus",0.000000,0,-0.428889,4096,16536,0x1ba91ad1,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_9772.JPEG","SEFI-block","input_tensor",0,264,"Cardigan, Cardigan Welsh corgi",195,"Boston bull, Boston terrier",0.305252,463,"bucket, pail",0.487442,998,"ear, spike, capitulum",0.487442,358,"polecat, fitch, foulmart, foumart, Mustela putorius",0.006953,0,-0.182189,4096,16308,0x1ba9fe60,0,0,-1,0.000000,"",0,0
"n02114855/n02114855_1044.JPEG","SEFI-block","input_tensor",0,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.933076,639,"maillot, tank suit",0.773432,997,"bolete",0.221592,22,"bald eagle, American eagle, Haliaeetus leucocephalus",0.004059,0,0.159644,4096,16410,0x1ba8dfe3,0,0,-1,0.000000,"",0,0
"n02114855/n02114855_1047.JPEG","SEFI-block","input_tensor",0,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.856385,463,"bucket, pail",0.999967,997,"bolete",0.000028,998,"ear, spike, capitulum",0.000003,0,-0.143583,4096,16358,0x1ba93520,0,0,-1,0.000000,"",0,0
"n02114855/n02114855_18848.JPEG","SEFI-block","input_tensor",0,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.831597,998,"ear, spike, capitulum",0.943538,997,"bolete",0.036585,639,"maillot, tank suit",0.013459,0,-0.111941,4096,16414,0x1ba9e091,0,0,-1,0.000000,"",0,0
"n02114855/n02114855_7204.JPEG","SEFI-block","input_tensor",0,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.926733,997,"bolete",0.984476,22,"bald eagle, American eagle, Haliaeetus leucocephalus",0.014043,639,"maillot, tank suit",0.001480,0,-0.057743,4096,16461,0x1ba82c7e,0,0,-1,0.000000,"",0,0
"n02114855/n02114855_7265.JPEG","SEFI-block","input_tensor",0,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.818428,463,"bucket, pail",0.999261,997,"bolete",0.000710,22,"bald eagle, American eagle, Haliaeetus leucocephalus",0.000013,0,-0.180834,4096,16644,0x1baa1a33,0,0,-1,0.000000,"",0,0
"n02134418/n02134418_11090.JPEG","SEFI-block","input_tensor",0,297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.945521,463,"bucket, pail",0.968838,639,"maillot, tank suit",0.029256,998,"ear, spike, capitulum",0.001870,0,-0.023317,4096,16389,0x1baa0398,0,0,-1,0.000000,"",0,0
"n02134418/n02134418_2895.JPEG","SEFI-block","input_tensor",0,297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.999508,998,"ear, spike, capitulum",0.546950,997,"bolete",0.201212,463,"bucket, pail",0.156704,0,0.452559,4096,16367,0x1ba8f05c,0,0,-1,0.000000,"",0,0
"n02134418/n02134418_3846.JPEG","SEFI-block","input_tensor",0,297,"sloth bear, Melursus ursinus, Ursus ursinus",295,"American black bear, black bear, Ursus americanus, Euarctos americanus",0.730507,463,"bucket, pail",0.970533,997,"bolete",0.029308,998,"ear, spike, capitulum",0.000073,0,-0.240026,4096,16495,0x1baa3c8d,0,0,-1,0.000000,"",0,0
"n02134418/n02134418_4725.JPEG","SEFI-block","input_tensor",0,297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.907159,463,"bucket, pail",0.999985,639,"maillot, tank suit",0.000010,22,"bald eagle, American eagle, Haliaeetus leucocephalus",0.000004,0,-0.092826,4096,16529,0x1ba8a89a,0,0,-1,0.000000,"",0,0
"n02134418/n02134418_5777.JPEG","SEFI-block","input_tensor",0,297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.608753,998,"ear, spike, capitulum",0.965075,997,"bolete",0.029143,463,"bucket, pail",0.005064,0,-0.356322,4096,16474,0x1ba9eb6d,0,0,-1,0.000000,"",0,0
"n02264363/n02264363_13680.JPEG","SEFI-block","input_tensor",0,318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.562020,22,"bald eagle, American eagle, Haliaeetus leucocephalus",0.838667,997,"bolete",0.053614,463,"bucket, pail",0.053614,0,-0.276646,4096,16469,0x1ba92713,0,0,-1,0.000000,"",0,0
"n02264363/n02264363_3092.JPEG","SEFI-block","input_tensor",0,318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.984973,639,"maillot, tank suit",0.948745,997,"bolete",0.028650,998,"ear, spike, capitulum",0.022312,0,0.036228,4096,16476,0x1ba8b72d,0,0,-1,0.000000,"",0,0
"n02264363/n02264363_4632.JPEG","SEFI-block","input_tensor",0,318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.974743,997,"bolete",0.851951,463,"bucket, pail",0.148047,22,"bald eagle, American eagle, Haliaeetus leucocephalus",0.000001,0,0.122792,4096,16411,0x1ba87886,0,0,-1,0.000000,"",0,0
"n02264363/n02264363_5318.JPEG","SEFI-block","input_tensor",0,318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.999994,22,"bald eagle, American eagle, Haliaeetus leucocephalus",0.565236,463,"bucket, pail",0.342833,997,"bolete",0.076496,0,0.434758,4096,16510,0x1ba9a0b1,0,0,-1,0.000000,"",0,0
"n02264363/n02264363_9846.JPEG","SEFI-block","input_tensor",0,318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.999998,639,"maillot, tank suit",0.816877,22,"bald eagle, American eagle, Haliaeetus leucocephalus",0.110552,463,"bucket, pail",0.052221,0,0.183121,4096,16529,0x1ba9fb03,0,0,-1,0.000000,"",0,0
"n02699494/n02699494_12579.JPEG","SEFI-block","input_tensor",0,406,"altar",406,"altar",0.955258,998,"ear, spike, capitulum",0.620912,22,"bald eagle, American eagle, Haliaeetus leucocephalus",0.376602,997,"bolete",0.000934,0,0.334346,4096,16359,0x1ba8f538,0,0,-1,0.000000,"",0,0
"n02699494/n02699494_18171.JPEG","SEFI-block","input_tensor",0,406,"altar",406,"altar",0.998605,998,"ear, spike, capitulum",0.979131,997,"bolete",0.008471,22,"bald eagle, American eagle, Haliaeetus leucocephalus",0.006597,0,0.019474,4096,16417,0x1ba8f4b1,0,0,-1,0.000000,"",0,0
"n02699494/n02699494_2349.JPEG","SEFI-block","input_tensor",0,406,"altar",406,"altar",0.957186,998,"ear, spike, capitulum",0.976581,22,"bald eagle, American eagle, Haliaeetus leucocephalus",0.017887,639,"maillot, tank suit",0.001885,0,-0.019395,4096,16505,0x1ba8c2d9,0,0,-1,0.000000,"",0,0
"n02699494/n02699494_4661.JPEG","SEFI-block","input_tensor",0,406,"altar",406,"altar",0.998281,997,"bolete",0.776119,998,"ear, spike, capitulum",0.222362,639,"maillot, tank suit",0.001167,0,0.222162,4096,16412,0x1ba8d2fc,0,0,-1,0.000000,"",0,0
"n02699494/n02699494_4682.JPEG","SEFI-block","input_tensor",0,406,"altar",406,"altar",0.910919,463,"bucket, pail",0.888296,998,"ear, spike, capitulum",0.093626,22,"bald eagle, American eagle, Haliaeetus leucocephalus",0.009868,0,0.022623,4096,16431,0x1ba83783,0,0,-1,0.000000,"",0,0
