image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,timeout,crash
"n01748264/n01748264_12351.JPEG","SEFI-block","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,63,"Indian cobra, Naja naja",0.599101,54,"hognose snake, puff adder, sand viper",0.363373,67,"diamondback, diamondback rattlesnake, Crotalus adamanteus",0.006655,1,0.246850,4096,16468,0x1be50362,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_12842.JPEG","SEFI-block","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,63,"Indian cobra, Naja naja",0.472717,64,"green mamba",0.286717,60,"night snake, Hypsiglena torquata",0.105477,1,0.463998,4096,16198,0x1cdfac32,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_15432.JPEG","SEFI-block","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,63,"Indian cobra, Naja naja",0.999745,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.000096,67,"diamondback, diamondback rattlesnake, Crotalus adamanteus",0.000045,1,0.000229,4096,16243,0x1ccce904,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_19883.JPEG","SEFI-block","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,63,"Indian cobra, Naja naja",0.960116,60,"night snake, Hypsiglena torquata",0.028993,64,"green mamba",0.005038,1,0.017312,4096,16434,0x1bf502e6,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_2196.JPEG","SEFI-block","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,63,"Indian cobra, Naja naja",0.556891,54,"hognose snake, puff adder, sand viper",0.263057,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.058696,1,0.440510,4096,16328,0x1c1309c8,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_2155.JPEG","SEFI-block","weights",0,184,"Irish terrier",184,"Irish terrier",0.614769,184,"Irish terrier",0.554643,211,"vizsla, Hungarian pointer",0.204042,189,"Lakeland terrier",0.096383,1,0.060125,4096,16419,0x1c0c394f,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_75.JPEG","SEFI-block","weights",0,184,"Irish terrier",182,"Border terrier",0.983502,192,"cairn, cairn terrier",0.287870,182,"Border terrier",0.224194,184,"Irish terrier",0.224194,0,0.695631,4096,16464,0x1c445e5a,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_7823.JPEG","SEFI-block","weights",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,202,"soft-coated wheaten terrier",0.814668,182,"Border terrier",0.052080,243,"bull mastiff",0.019159,0,-0.262449,4096,16448,0x1c24d2ea,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_7935.JPEG","SEFI-block","weights",0,184,"Irish terrier",184,"Irish terrier",0.964093,850,"teddy, teddy bear",0.857532,184,"Irish terrier",0.070390,721,"pillow",0.025895,0,0.106561,4096,16384,0x1cfc2b4e,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_8145.JPEG","SEFI-block","weights",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,243,"bull mastiff",0.725808,242,"boxer",0.126127,163,"bloodhound, sleuthhound",0.076500,0,-0.408306,4096,16324,0x1c5ff5cc,0,0,-1,0.000000,"",0,0
