image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,timeout,crash
"n01748264/n01748264_12351.JPEG","transient-SEFI-blk","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,497,"church, church building",0.059944,206,"curly-coated retriever",0.046684,335,"fox squirrel, eastern fox squirrel, Sciurus niger",0.046684,0,0.786008,1008,3942,0x6b5c000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_12842.JPEG","transient-SEFI-blk","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,504,"coffee mug",0.046291,201,"silky terrier, Sydney silky",0.046291,242,"boxer",0.046291,0,0.890424,1008,3917,0x6b5c000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_15432.JPEG","transient-SEFI-blk","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,898,"water bottle",0.065489,200,"Tibetan terrier, chrysanthemum dog",0.065489,338,"guinea pig, Cavia cobaya",0.051003,0,0.934485,1008,4031,0x6b5c000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_19883.JPEG","transient-SEFI-blk","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,886,"vending machine",0.062154,642,"marimba, xylophone",0.062154,787,"shield, buckler",0.062154,0,0.915275,1008,4035,0x6b5c000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_2196.JPEG","transient-SEFI-blk","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,412,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",0.065572,729,"plate rack",0.065572,53,"ringneck snake, ring-necked snake, ring snake",0.051068,0,0.931829,1008,4099,0x6b5c000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_2155.JPEG","transient-SEFI-blk","buffers",1,184,"Irish terrier",184,"Irish terrier",0.614769,825,"stone wall",0.057226,752,"racket, racquet",0.057226,30,"bullfrog, Rana catesbeiana",0.057226,0,0.557543,1008,3996,0x6b5c000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_75.JPEG","transient-SEFI-blk","buffers",1,184,"Irish terrier",182,"Border terrier",0.983502,959,"carbonara",0.047405,935,"mashed potato",0.047405,729,"plate rack",0.047405,0,0.936097,1008,4062,0x6b5c000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_7823.JPEG","transient-SEFI-blk","buffers",1,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,358,"polecat, fitch, foulmart, foumart, Mustela putorius",0.048829,333,"hamster",0.048829,280,"grey fox, gray fox, Urocyon cinereoargenteus",0.048829,0,0.503390,1008,4039,0x6b5c000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_7935.JPEG","transient-SEFI-blk","buffers",1,184,"Irish terrier",184,"Irish terrier",0.964093,701,"parachute, chute",0.052570,270,"white wolf, Arctic wolf, Canis lupus tundrarum",0.052570,687,"organ, pipe organ",0.052570,0,0.911523,1008,4072,0x6b5c000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_8145.JPEG","transient-SEFI-blk","buffers",1,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,673,"mouse, computer mouse",0.048228,293,"cheetah, chetah, Acinonyx jubatus",0.048228,196,"miniature schnauzer",0.048228,0,0.269274,1008,4012,0x6b5c000,0,0,-1,0.000000,"",0,0
