image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,timeout,crash
"n01748264/n01748264_12351.JPEG","transient-SEFI-blk","input_tensor",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,63,"Indian cobra, Naja naja",0.845951,54,"hognose snake, puff adder, sand viper",0.147004,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.002692,1,0.000000,4096,16526,0x1ba8b584,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_12842.JPEG","transient-SEFI-blk","input_tensor",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,63,"Indian cobra, Naja naja",0.936715,57,"garter snake, grass snake",0.017157,64,"green mamba",0.013362,1,0.000000,4096,16524,0x1ba98033,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_15432.JPEG","transient-SEFI-blk","input_tensor",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,63,"Indian cobra, Naja naja",0.999974,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.000017,68,"sidewinder, horned rattlesnake, Crotalus cerastes",0.000002,1,0.000000,4096,16572,0x1baa0b40,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_19883.JPEG","transient-SEFI-blk","input_tensor",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,63,"Indian cobra, Naja naja",0.977429,60,"night snake, Hypsiglena torquata",0.013942,58,"water snake",0.006586,1,0.000000,4096,16434,0x1ba96a22,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_2196.JPEG","transient-SEFI-blk","input_tensor",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,63,"Indian cobra, Naja naja",0.997401,65,"sea snake",0.000708,54,"hognose snake, puff adder, sand viper",0.000552,1,0.000000,4096,16471,0x1ba9343c,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_2155.JPEG","transient-SEFI-blk","input_tensor",1,184,"Irish terrier",184,"Irish terrier",0.614769,184,"Irish terrier",0.614769,211,"vizsla, Hungarian pointer",0.226161,182,"Border terrier",0.083200,1,0.000000,4096,16403,0x1ba8958d,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_75.JPEG","transient-SEFI-blk","input_tensor",1,184,"Irish terrier",182,"Border terrier",0.983502,182,"Border terrier",0.983502,184,"Irish terrier",0.008509,185,"Norfolk terrier",0.004019,0,0.000000,4096,16276,0x1ba80bd9,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_7823.JPEG","transient-SEFI-blk","input_tensor",1,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,202,"soft-coated wheaten terrier",0.552219,184,"Irish terrier",0.158213,226,"briard",0.123217,0,0.000000,4096,16633,0x1ba88fc4,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_7935.JPEG","transient-SEFI-blk","input_tensor",1,184,"Irish terrier",184,"Irish terrier",0.964093,184,"Irish terrier",0.964093,182,"Border terrier",0.017658,192,"cairn, cairn terrier",0.006496,1,0.000000,4096,16675,0x1ba9eadf,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_8145.JPEG","transient-SEFI-blk","input_tensor",1,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,202,"soft-coated wheaten terrier",0.317502,184,"Irish terrier",0.192575,163,"bloodhound, sleuthhound",0.192575,0,0.000000,4096,16428,0x1ba94be6,0,0,-1,0.000000,"",0,0
