image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,timeout,crash
"n01748264/n01748264_12351.JPEG","MSEFI-ctrl-reset","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,404,"airliner",0.615545,538,"dome",0.176356,867,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",0.083305,0,0.230407,2572697,10331437,0x1be00000,1,1,63,0.845951,"ctrl_reset(recreate_runner_only)",0,0
"n01748264/n01748264_12842.JPEG","MSEFI-ctrl-reset","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,828,"strainer",0.481589,516,"cradle",0.481589,463,"bucket, pail",0.023977,0,0.455126,2572697,10330160,0x1be00000,1,1,63,0.936715,"ctrl_reset(recreate_runner_only)",0,0
"n01748264/n01748264_15432.JPEG","MSEFI-ctrl-reset","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,54,"hognose snake, puff adder, sand viper",0.007384,26,"common newt, Triturus vulgaris",0.007384,56,"king snake, kingsnake",0.007384,0,0.992590,2572697,10329625,0x1be00000,1,1,63,0.999974,"ctrl_reset(recreate_runner_only)",0,0
"n01748264/n01748264_19883.JPEG","MSEFI-ctrl-reset","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,151,"Chihuahua",0.042668,158,"toy terrier",0.042668,268,"Mexican hairless",0.042668,0,0.934761,2572697,10326670,0x1be00000,1,1,63,0.977429,"ctrl_reset(recreate_runner_only)",0,0
"n01748264/n01748264_2196.JPEG","MSEFI-ctrl-reset","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,1,"goldfish, Carassius auratus",0.081848,0,"tench, Tinca tinca",0.081848,5,"electric ray, crampfish, numbfish, torpedo",0.081848,0,0.915554,2572697,10333843,0x1be00000,1,1,63,0.997401,"ctrl_reset(recreate_runner_only)",0,0
"n02093991/n02093991_2155.JPEG","MSEFI-ctrl-reset","buffers",0,184,"Irish terrier",184,"Irish terrier",0.614769,427,"barrel, cask",0.666928,700,"paper towel",0.315034,852,"tennis ball",0.012215,0,-0.052159,2572697,10332586,0x1be00000,1,1,184,0.614769,"ctrl_reset(recreate_runner_only)",0,0
"n02093991/n02093991_75.JPEG","MSEFI-ctrl-reset","buffers",0,184,"Irish terrier",182,"Border terrier",0.983502,417,"balloon",0.269870,747,"punching bag, punch bag, punching ball, punchball",0.269870,427,"barrel, cask",0.269870,0,0.713632,2572697,10332322,0x1be00000,1,0,182,0.983502,"ctrl_reset(recreate_runner_only)",0,0
"n02093991/n02093991_7823.JPEG","MSEFI-ctrl-reset","buffers",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,618,"ladle",0.741027,818,"spotlight, spot",0.212308,883,"vase",0.022377,0,-0.188808,2572697,10332488,0x1be00000,1,0,202,0.552219,"ctrl_reset(recreate_runner_only)",0,0
"n02093991/n02093991_7935.JPEG","MSEFI-ctrl-reset","buffers",0,184,"Irish terrier",184,"Irish terrier",0.964093,463,"bucket, pail",0.498709,899,"water jug",0.498709,725,"pitcher, ewer",0.001236,0,0.465384,2572697,10330952,0x1be00000,1,1,184,0.964093,"ctrl_reset(recreate_runner_only)",0,0
"n02093991/n02093991_8145.JPEG","MSEFI-ctrl-reset","buffers",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,208,"Labrador retriever",0.421822,241,"EntleBucher",0.328515,236,"Doberman, Doberman pinscher",0.094121,0,-0.104320,2572697,10332566,0x1be00000,1,0,202,0.317502,"ctrl_reset(recreate_runner_only)",0,0
