image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,timeout,crash
"n01748264/n01748264_12351.JPEG","MSEFI-ctrl-reset","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,559,"folding chair",0.787649,769,"rule, ruler",0.136873,710,"pencil sharpener",0.039215,0,0.058303,2572697,10332090,0x1be00000,1,1,63,0.845951,"ctrl_reset(recreate_runner_only)",0,0
"n01748264/n01748264_12842.JPEG","MSEFI-ctrl-reset","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,714,"pick, plectrum, plectron",0.318839,502,"clog, geta, patten, sabot",0.248312,506,"coil, spiral, volute, whorl, helix",0.117294,0,0.617876,2572697,10329170,0x1be00000,1,1,63,0.936715,"ctrl_reset(recreate_runner_only)",0,0
"n01748264/n01748264_15432.JPEG","MSEFI-ctrl-reset","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,818,"spotlight, spot",0.349480,920,"traffic light, traffic signal, stoplight",0.349480,447,"binoculars, field glasses, opera glasses",0.100128,0,0.650494,2572697,10332496,0x1be00000,1,1,63,0.999974,"ctrl_reset(recreate_runner_only)",0,0
"n01748264/n01748264_19883.JPEG","MSEFI-ctrl-reset","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,417,"balloon",0.547782,920,"traffic light, traffic signal, stoplight",0.332247,574,"golf ball",0.074134,0,0.429646,2572697,10331285,0x1be00000,1,1,63,0.977429,"ctrl_reset(recreate_runner_only)",0,0
"n01748264/n01748264_2196.JPEG","MSEFI-ctrl-reset","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,327,"starfish, sea star",0.332461,840,"swab, swob, mop",0.258921,462,"broom",0.157043,0,0.664941,2572697,10331978,0x1be00000,1,1,63,0.997401,"ctrl_reset(recreate_runner_only)",0,0
"n02093991/n02093991_2155.JPEG","MSEFI-ctrl-reset","input_tensor",0,184,"Irish terrier",184,"Irish terrier",0.614769,199,"Scotch terrier, Scottish terrier, Scottie",0.402773,852,"tennis ball",0.190256,499,"cleaver, meat cleaver, chopper",0.089871,0,0.211996,2572697,10330849,0x1be00000,1,1,184,0.614769,"ctrl_reset(recreate_runner_only)",0,0
"n02093991/n02093991_75.JPEG","MSEFI-ctrl-reset","input_tensor",0,184,"Irish terrier",182,"Border terrier",0.983502,6,"stingray",0.007169,9,"ostrich, Struthio camelus",0.007169,10,"brambling, Fringilla montifringilla",0.007169,0,0.976332,2572697,10331215,0x1be00000,1,0,182,0.983502,"ctrl_reset(recreate_runner_only)",0,0
"n02093991/n02093991_7823.JPEG","MSEFI-ctrl-reset","input_tensor",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,427,"barrel, cask",0.726623,828,"strainer",0.076585,619,"lampshade, lamp shade",0.059645,0,-0.174404,2572697,10329615,0x1be00000,1,0,202,0.552219,"ctrl_reset(recreate_runner_only)",0,0
"n02093991/n02093991_7935.JPEG","MSEFI-ctrl-reset","input_tensor",0,184,"Irish terrier",184,"Irish terrier",0.964093,631,"lotion",0.281360,684,"ocarina, sweet potato",0.219124,208,"Labrador retriever",0.170654,0,0.682733,2572697,10331282,0x1be00000,1,1,184,0.964093,"ctrl_reset(recreate_runner_only)",0,0
"n02093991/n02093991_8145.JPEG","MSEFI-ctrl-reset","input_tensor",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,811,"space heater",0.434749,731,"plunger, plumber's helper",0.338583,840,"swab, swob, mop",0.058837,0,-0.117247,2572697,10333615,0x1be00000,1,0,202,0.317502,"ctrl_reset(recreate_runner_only)",0,0
"n02096051/n02096051_2751.JPEG","MSEFI-ctrl-reset","input_tensor",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,818,"spotlight, spot",0.618941,632,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",0.227696,599,"honeycomb",0.083765,0,0.223043,2572697,10330646,0x1be00000,1,1,191,0.841985,"ctrl_reset(recreate_runner_only)",0,0
"n02096051/n02096051_2946.JPEG","MSEFI-ctrl-reset","input_tensor",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,417,"balloon",0.607386,987,"corn",0.174019,538,"dome",0.135526,0,0.306694,2572697,10329996,0x1be00000,1,1,191,0.914080,"ctrl_reset(recreate_runner_only)",0,0
"n02096051/n02096051_495.JPEG","MSEFI-ctrl-reset","input_tensor",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.968609,463,"bucket, pail",0.057234,473,"can opener, tin opener",0.057234,528,"dial telephone, dial phone",0.057234,0,0.911375,2572697,10334726,0x1be00000,1,1,191,0.968609,"ctrl_reset(recreate_runner_only)",0,0
"n02096051/n02096051_5436.JPEG","MSEFI-ctrl-reset","input_tensor",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.988703,429,"baseball",0.164427,502,"clog, geta, patten, sabot",0.164427,910,"wooden spoon",0.164427,0,0.824276,2572697,10332370,0x1be00000,1,1,191,0.988703,"ctrl_reset(recreate_runner_only)",0,0
"n02096051/n02096051_668.JPEG","MSEFI-ctrl-reset","input_tensor",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.991122,506,"coil, spiral, volute, whorl, helix",0.411217,818,"spotlight, spot",0.320256,686,"oil filter",0.117816,0,0.579905,2572697,10330934,0x1be00000,1,1,191,0.991122,"ctrl_reset(recreate_runner_only)",0,0
"n02113186/n02113186_12291.JPEG","MSEFI-ctrl-reset","input_tensor",0,264,"Cardigan, Cardigan Welsh corgi",264,"Cardigan, Cardigan Welsh corgi",0.848451,417,"balloon",0.742067,980,"volcano",0.165578,854,"theater curtain, theatre curtain",0.047439,0,0.106384,2572697,10333556,0x1be00000,1,1,264,0.848451,"ctrl_reset(recreate_runner_only)",0,0
"n02113186/n02113186_13231.JPEG","MSEFI-ctrl-reset","input_tensor",0,264,"Cardigan, Cardigan Welsh corgi",201,"silky terrier, Sydney silky",0.489978,828,"strainer",0.443356,462,"broom",0.163101,356,"weasel",0.098926,0,0.046623,2572697,10332548,0x1be00000,1,0,201,0.489978,"ctrl_reset(recreate_runner_only)",0,0
"n02113186/n02113186_50.JPEG","MSEFI-ctrl-reset","input_tensor",0,264,"Cardigan, Cardigan Welsh corgi",263,"Pembroke, Pembroke Welsh corgi",0.516311,784,"screwdriver",0.975826,737,"pop bottle, soda bottle",0.022949,783,"screw",0.000540,0,-0.459514,2572697,10327994,0x1be00000,1,0,263,0.516311,"ctrl_reset(recreate_runner_only)",0,0
"n02113186/n02113186_5538.JPEG","MSEFI-ctrl-reset","input_tensor",0,264,"Cardigan, Cardigan Welsh corgi",162,"beagle",0.571110,489,"chainlink fence",0.838041,655,"miniskirt, mini",0.088329,412,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",0.025307,0,-0.266931,2572697,10330310,0x1be00000,1,0,162,0.571110,"ctrl_reset(recreate_runner_only)",0,0
"n02113186/n02113186_9772.JPEG","MSEFI-ctrl-reset","input_tensor",0,264,"Cardigan, Cardigan Welsh corgi",195,"Boston bull, Boston terrier",0.305252,3,"tiger shark, Galeocerdo cuvieri",0.007638,1,"goldfish, Carassius auratus",0.007638,17,"jay",0.007638,0,0.297614,2572697,10330209,0x1be00000,1,0,195,0.305252,"ctrl_reset(recreate_runner_only)",0,0
"n02114855/n02114855_1044.JPEG","MSEFI-ctrl-reset","input_tensor",0,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.933076,430,"basketball",0.958674,737,"pop bottle, soda bottle",0.028949,731,"plunger, plumber's helper",0.010650,0,-0.025598,2572697,10333837,0x1be00000,1,1,272,0.933076,"ctrl_reset(recreate_runner_only)",0,0
"n02114855/n02114855_1047.JPEG","MSEFI-ctrl-reset","input_tensor",0,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.856385,463,"bucket, pail",0.902619,427,"barrel, cask",0.074091,792,"shovel",0.016532,0,-0.046234,2572697,10330829,0x1be00000,1,1,272,0.856385,"ctrl_reset(recreate_runner_only)",0,0
"n02114855/n02114855_18848.JPEG","MSEFI-ctrl-reset","input_tensor",0,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.831597,1,"goldfish, Carassius auratus",0.032563,5,"electric ray, crampfish, numbfish, torpedo",0.032563,8,"hen",0.032563,0,0.799034,2572697,10328952,0x1be00000,1,1,272,0.831597,"ctrl_reset(recreate_runner_only)",0,0
