image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,timeout,crash
"n01748264/n01748264_12351.JPEG","MSEFI-ctrl-reset","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,917,"comic book",0.297326,733,"pole",0.231558,921,"book jacket, dust cover, dust jacket, dust wrapper",0.180337,0,0.548625,2572697,10332527,0x1be00000,1,1,63,0.845951,"ctrl_reset(recreate_runner_only)",0,0
"n01748264/n01748264_12842.JPEG","MSEFI-ctrl-reset","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,902,"whistle",0.250161,684,"ocarina, sweet potato",0.250161,899,"water jug",0.250161,0,0.686554,2572697,10331453,0x1be00000,1,1,63,0.936715,"ctrl_reset(recreate_runner_only)",0,0
"n01748264/n01748264_15432.JPEG","MSEFI-ctrl-reset","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,731,"plunger, plumber's helper",0.362425,463,"bucket, pail",0.362425,700,"paper towel",0.133329,0,0.637549,2572697,10331783,0x1be00000,1,1,63,0.999974,"ctrl_reset(recreate_runner_only)",0,0
"n01748264/n01748264_19883.JPEG","MSEFI-ctrl-reset","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,539,"doormat, welcome mat",0.309689,457,"bow tie, bow-tie, bowtie",0.309689,515,"cowboy hat, ten-gallon hat",0.146287,0,0.667740,2572697,10330708,0x1be00000,1,1,63,0.977429,"ctrl_reset(recreate_runner_only)",0,0
"n01748264/n01748264_2196.JPEG","MSEFI-ctrl-reset","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,412,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",0.639727,509,"confectionery, confectionary, candy store",0.142742,836,"sunglass",0.067427,0,0.357674,2572697,10333692,0x1be00000,1,1,63,0.997401,"ctrl_reset(recreate_runner_only)",0,0
"n02093991/n02093991_2155.JPEG","MSEFI-ctrl-reset","weights",0,184,"Irish terrier",184,"Irish terrier",0.614769,852,"tennis ball",0.743179,494,"chime, bell, gong",0.165826,619,"lampshade, lamp shade",0.078331,0,-0.128411,2572697,10331788,0x1be00000,1,1,184,0.614769,"ctrl_reset(recreate_runner_only)",0,0
"n02093991/n02093991_75.JPEG","MSEFI-ctrl-reset","weights",0,184,"Irish terrier",182,"Border terrier",0.983502,447,"binoculars, field glasses, opera glasses",0.069126,121,"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica",0.069126,456,"bow",0.069126,0,0.914376,2572697,10332361,0x1be00000,1,0,182,0.983502,"ctrl_reset(recreate_runner_only)",0,0
"n02093991/n02093991_7823.JPEG","MSEFI-ctrl-reset","weights",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,587,"hammer",0.278175,852,"tennis ball",0.278175,463,"bucket, pail",0.278175,0,0.274044,2572697,10328300,0x1be00000,1,0,202,0.552219,"ctrl_reset(recreate_runner_only)",0,0
"n02093991/n02093991_7935.JPEG","MSEFI-ctrl-reset","weights",0,184,"Irish terrier",184,"Irish terrier",0.964093,506,"coil, spiral, volute, whorl, helix",0.999245,417,"balloon",0.000261,783,"screw",0.000261,0,-0.035152,2572697,10331403,0x1be00000,1,1,184,0.964093,"ctrl_reset(recreate_runner_only)",0,0
"n02093991/n02093991_8145.JPEG","MSEFI-ctrl-reset","weights",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,813,"spatula",0.501539,987,"corn",0.184506,265,"toy poodle",0.111909,0,-0.184037,2572697,10328783,0x1be00000,1,0,202,0.317502,"ctrl_reset(recreate_runner_only)",0,0
"n02096051/n02096051_2751.JPEG","MSEFI-ctrl-reset","weights",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,338,"guinea pig, Cavia cobaya",0.206667,124,"crayfish, crawfish, crawdad, crawdaddy",0.206667,722,"ping-pong ball",0.206667,0,0.635318,2572697,10330061,0x1be00000,1,1,191,0.841985,"ctrl_reset(recreate_runner_only)",0,0
