image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,timeout,crash
"n01748264/n01748264_12351.JPEG","MSEFI-ctrl+DDR-reset","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,991,"coral fungus",0.998919,973,"coral reef",0.000261,996,"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa",0.000261,0,-0.152967,2572697,10328551,0x1be00000,1,1,63,0.845951,"hw_reset+recreate_runner",0,0
"n01748264/n01748264_12842.JPEG","MSEFI-ctrl+DDR-reset","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,684,"ocarina, sweet potato",0.972112,709,"pencil box, pencil case",0.017805,593,"harmonica, mouth organ, harp, mouth harp",0.008410,0,-0.035397,2572697,10329801,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0,0
"n01748264/n01748264_15432.JPEG","MSEFI-ctrl+DDR-reset","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,63,"Indian cobra, Naja naja",0.936715,57,"garter snake, grass snake",0.017157,64,"green mamba",0.013362,1,0.063259,2572697,10328875,0x1be00000,1,1,63,0.999974,"hw_reset+recreate_runner",0,0
"n01748264/n01748264_19883.JPEG","MSEFI-ctrl+DDR-reset","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,539,"doormat, welcome mat",0.497609,883,"vase",0.387539,599,"honeycomb",0.086472,0,0.479819,2572697,10333559,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0,0
"n01748264/n01748264_2196.JPEG","MSEFI-ctrl+DDR-reset","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,63,"Indian cobra, Naja naja",0.977429,60,"night snake, Hypsiglena torquata",0.013942,58,"water snake",0.006586,1,0.019973,2572697,10335922,0x1be00000,1,1,63,0.997401,"hw_reset+recreate_runner",0,0
"n02093991/n02093991_2155.JPEG","MSEFI-ctrl+DDR-reset","buffers",0,184,"Irish terrier",184,"Irish terrier",0.614769,198,"standard schnauzer",0.415664,186,"Norwich terrier",0.119090,236,"Doberman, Doberman pinscher",0.092747,0,0.199104,2572697,10333888,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0,0
"n02093991/n02093991_75.JPEG","MSEFI-ctrl+DDR-reset","buffers",0,184,"Irish terrier",182,"Border terrier",0.983502,184,"Irish terrier",0.614769,211,"vizsla, Hungarian pointer",0.226161,182,"Border terrier",0.083200,1,0.368733,2572697,10332747,0x1be00000,1,0,182,0.983502,"hw_reset+recreate_runner",0,0
"n02093991/n02093991_7823.JPEG","MSEFI-ctrl+DDR-reset","buffers",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,738,"pot, flowerpot",0.419737,659,"mixing bowl",0.419737,463,"bucket, pail",0.154413,0,0.132482,2572697,10327718,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0,0
"n02093991/n02093991_7935.JPEG","MSEFI-ctrl+DDR-reset","buffers",0,184,"Irish terrier",184,"Irish terrier",0.964093,202,"soft-coated wheaten terrier",0.552219,184,"Irish terrier",0.158213,226,"briard",0.123217,0,0.411874,2572697,10332071,0x1be00000,1,1,184,0.964093,"hw_reset+recreate_runner",0,0
"n02093991/n02093991_8145.JPEG","MSEFI-ctrl+DDR-reset","buffers",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,879,"umbrella",0.915945,513,"cornet, horn, trumpet, trump",0.075185,61,"boa constrictor, Constrictor constrictor",0.002915,0,-0.598442,2572697,10330849,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0,0
