image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,timeout,crash
"n01748264/n01748264_12351.JPEG","MSEFI-ctrl+DDR-reset","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,991,"coral fungus",0.998919,973,"coral reef",0.000261,996,"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa",0.000261,0,-0.152967,2572697,10328803,0x1be00000,1,1,63,0.845951,"hw_reset+recreate_runner",0,0
"n01748264/n01748264_12842.JPEG","MSEFI-ctrl+DDR-reset","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,463,"bucket, pail",0.373572,566,"French horn, horn",0.290938,910,"wooden spoon",0.083355,0,0.563143,2572697,10332922,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0,0
"n01748264/n01748264_15432.JPEG","MSEFI-ctrl+DDR-reset","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,63,"Indian cobra, Naja naja",0.936715,57,"garter snake, grass snake",0.017157,64,"green mamba",0.013362,1,0.063259,2572697,10331667,0x1be00000,1,1,63,0.999974,"hw_reset+recreate_runner",0,0
"n01748264/n01748264_19883.JPEG","MSEFI-ctrl+DDR-reset","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,499,"cleaver, meat cleaver, chopper",0.261110,124,"crayfish, crawfish, crawdad, crawdaddy",0.261110,447,"binoculars, field glasses, opera glasses",0.261110,0,0.716318,2572697,10330021,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0,0
"n01748264/n01748264_2196.JPEG","MSEFI-ctrl+DDR-reset","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,63,"Indian cobra, Naja naja",0.977429,60,"night snake, Hypsiglena torquata",0.013942,58,"water snake",0.006586,1,0.019973,2572697,10326209,0x1be00000,1,1,63,0.997401,"hw_reset+recreate_runner",0,0
"n02093991/n02093991_2155.JPEG","MSEFI-ctrl+DDR-reset","input_tensor",0,184,"Irish terrier",184,"Irish terrier",0.614769,12,"house finch, linnet, Carpodacus mexicanus",0.017657,8,"hen",0.017657,27,"eft",0.017657,0,0.597112,2572697,10331157,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0,0
"n02093991/n02093991_75.JPEG","MSEFI-ctrl+DDR-reset","input_tensor",0,184,"Irish terrier",182,"Border terrier",0.983502,184,"Irish terrier",0.614769,211,"vizsla, Hungarian pointer",0.226161,182,"Border terrier",0.083200,1,0.368733,2572697,10332603,0x1be00000,1,0,182,0.983502,"hw_reset+recreate_runner",0,0
"n02093991/n02093991_7823.JPEG","MSEFI-ctrl+DDR-reset","input_tensor",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,447,"binoculars, field glasses, opera glasses",0.545683,852,"tennis ball",0.257762,159,"Rhodesian ridgeback",0.057515,0,0.006536,2572697,10328438,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0,0
"n02093991/n02093991_7935.JPEG","MSEFI-ctrl+DDR-reset","input_tensor",0,184,"Irish terrier",184,"Irish terrier",0.964093,202,"soft-coated wheaten terrier",0.552219,184,"Irish terrier",0.158213,226,"briard",0.123217,0,0.411874,2572697,10330319,0x1be00000,1,1,184,0.964093,"hw_reset+recreate_runner",0,0
"n02093991/n02093991_8145.JPEG","MSEFI-ctrl+DDR-reset","input_tensor",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,731,"plunger, plumber's helper",0.373220,852,"tennis ball",0.290664,971,"bubble",0.137300,0,-0.055718,2572697,10331066,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0,0
"n02096051/n02096051_2751.JPEG","MSEFI-ctrl+DDR-reset","input_tensor",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,202,"soft-coated wheaten terrier",0.317502,184,"Irish terrier",0.192575,163,"bloodhound, sleuthhound",0.192575,0,0.524482,2572697,10332032,0x1be00000,1,1,191,0.841985,"hw_reset+recreate_runner",0,0
"n02096051/n02096051_2946.JPEG","MSEFI-ctrl+DDR-reset","input_tensor",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,417,"balloon",0.554548,721,"pillow",0.261950,574,"golf ball",0.123736,0,0.359532,2572697,10329169,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0,0
"n02096051/n02096051_495.JPEG","MSEFI-ctrl+DDR-reset","input_tensor",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.968609,191,"Airedale, Airedale terrier",0.914080,211,"vizsla, Hungarian pointer",0.035443,189,"Lakeland terrier",0.013039,1,0.054529,2572697,10333440,0x1be00000,1,1,191,0.968609,"hw_reset+recreate_runner",0,0
"n02096051/n02096051_5436.JPEG","MSEFI-ctrl+DDR-reset","input_tensor",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.988703,616,"knot",0.876112,488,"chain",0.118569,600,"hook, claw",0.004597,0,0.112591,2572697,10326524,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0,0
"n02096051/n02096051_668.JPEG","MSEFI-ctrl+DDR-reset","input_tensor",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.991122,191,"Airedale, Airedale terrier",0.988703,189,"Lakeland terrier",0.008554,184,"Irish terrier",0.001158,1,0.002419,2572697,10330702,0x1be00000,1,1,191,0.991122,"hw_reset+recreate_runner",0,0
"n02113186/n02113186_12291.JPEG","MSEFI-ctrl+DDR-reset","input_tensor",0,264,"Cardigan, Cardigan Welsh corgi",264,"Cardigan, Cardigan Welsh corgi",0.848451,3,"tiger shark, Galeocerdo cuvieri",0.016055,0,"tench, Tinca tinca",0.016055,5,"electric ray, crampfish, numbfish, torpedo",0.016055,0,0.832396,2572697,10326550,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0,0
"n02113186/n02113186_13231.JPEG","MSEFI-ctrl+DDR-reset","input_tensor",0,264,"Cardigan, Cardigan Welsh corgi",201,"silky terrier, Sydney silky",0.489978,264,"Cardigan, Cardigan Welsh corgi",0.848451,263,"Pembroke, Pembroke Welsh corgi",0.054240,253,"basenji",0.025621,1,-0.358473,2572697,10331222,0x1be00000,1,0,201,0.489978,"hw_reset+recreate_runner",0,0
"n02113186/n02113186_50.JPEG","MSEFI-ctrl+DDR-reset","input_tensor",0,264,"Cardigan, Cardigan Welsh corgi",263,"Pembroke, Pembroke Welsh corgi",0.516311,189,"Lakeland terrier",0.423926,203,"West Highland white terrier",0.094591,186,"Norwich terrier",0.094591,0,0.092385,2572697,10333160,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0,0
"n02113186/n02113186_5538.JPEG","MSEFI-ctrl+DDR-reset","input_tensor",0,264,"Cardigan, Cardigan Welsh corgi",162,"beagle",0.571110,263,"Pembroke, Pembroke Welsh corgi",0.516311,264,"Cardigan, Cardigan Welsh corgi",0.402104,158,"toy terrier",0.033007,0,0.054799,2572697,10331523,0x1be00000,1,0,162,0.571110,"hw_reset+recreate_runner",0,0
"n02113186/n02113186_9772.JPEG","MSEFI-ctrl+DDR-reset","input_tensor",0,264,"Cardigan, Cardigan Welsh corgi",195,"Boston bull, Boston terrier",0.305252,469,"caldron, cauldron",0.043299,523,"crutch",0.043299,587,"hammer",0.043299,0,0.261953,2572697,10334150,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0,0
