image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,timeout,crash
"n01748264/n01748264_12351.JPEG","MSEFI-ctrl+DDR-reset","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,912,"worm fence, snake fence, snake-rail fence, Virginia fence",0.465339,490,"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour",0.465339,616,"knot",0.038197,0,0.380612,2572697,10332183,0x1be00000,1,1,63,0.845951,"hw_reset+recreate_runner",0,0
"n01748264/n01748264_12842.JPEG","MSEFI-ctrl+DDR-reset","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,676,"muzzle",0.144156,567,"frying pan, frypan, skillet",0.144156,885,"velvet",0.087435,0,0.792559,2572697,10331387,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0,0
"n01748264/n01748264_15432.JPEG","MSEFI-ctrl+DDR-reset","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,63,"Indian cobra, Naja naja",0.936715,57,"garter snake, grass snake",0.017157,64,"green mamba",0.013362,1,0.063259,2572697,10329916,0x1be00000,1,1,63,0.999974,"hw_reset+recreate_runner",0,0
"n01748264/n01748264_19883.JPEG","MSEFI-ctrl+DDR-reset","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,567,"frying pan, frypan, skillet",0.290535,975,"lakeside, lakeshore",0.226269,447,"binoculars, field glasses, opera glasses",0.106882,0,0.686893,2572697,10330347,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0,0
"n01748264/n01748264_2196.JPEG","MSEFI-ctrl+DDR-reset","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,63,"Indian cobra, Naja naja",0.977429,60,"night snake, Hypsiglena torquata",0.013942,58,"water snake",0.006586,1,0.019973,2572697,10331673,0x1be00000,1,1,63,0.997401,"hw_reset+recreate_runner",0,0
"n02093991/n02093991_2155.JPEG","MSEFI-ctrl+DDR-reset","weights",0,184,"Irish terrier",184,"Irish terrier",0.614769,618,"ladle",0.381996,899,"water jug",0.381996,778,"scale, weighing machine",0.109444,0,0.232773,2572697,10329273,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0,0
"n02093991/n02093991_75.JPEG","MSEFI-ctrl+DDR-reset","weights",0,184,"Irish terrier",182,"Border terrier",0.983502,184,"Irish terrier",0.614769,211,"vizsla, Hungarian pointer",0.226161,182,"Border terrier",0.083200,1,0.368733,2572697,10330724,0x1be00000,1,0,182,0.983502,"hw_reset+recreate_runner",0,0
"n02093991/n02093991_7823.JPEG","MSEFI-ctrl+DDR-reset","weights",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,514,"cowboy boot",0.258872,502,"clog, geta, patten, sabot",0.258872,731,"plunger, plumber's helper",0.258872,0,0.293347,2572697,10329778,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0,0
"n02093991/n02093991_7935.JPEG","MSEFI-ctrl+DDR-reset","weights",0,184,"Irish terrier",184,"Irish terrier",0.964093,202,"soft-coated wheaten terrier",0.552219,184,"Irish terrier",0.158213,226,"briard",0.123217,0,0.411874,2572697,10335662,0x1be00000,1,1,184,0.964093,"hw_reset+recreate_runner",0,0
"n02093991/n02093991_8145.JPEG","MSEFI-ctrl+DDR-reset","weights",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,405,"airship, dirigible",0.989949,619,"lampshade, lamp shade",0.008565,417,"balloon",0.001159,0,-0.672447,2572697,10327128,0x1be00000,1,0,3,0.001000,"hw_reset+recreate_runner",0,0
