image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,timeout,crash
"n01748264/n01748264_12351.JPEG","SEFI-row","feature_maps",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,63,"Indian cobra, Naja naja",0.827351,54,"hognose snake, puff adder, sand viper",0.143772,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.007158,1,0.018600,8192,8192,0x0,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_12842.JPEG","SEFI-row","feature_maps",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,63,"Indian cobra, Naja naja",0.962475,65,"sea snake",0.013729,57,"garter snake, grass snake",0.008327,1,-0.025760,8192,8192,0x0,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_15432.JPEG","SEFI-row","feature_maps",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,63,"Indian cobra, Naja naja",0.999971,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.000017,64,"green mamba",0.000003,1,0.000003,8192,8192,0x0,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_19883.JPEG","SEFI-row","feature_maps",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,63,"Indian cobra, Naja naja",0.991016,114,"slug",0.004050,60,"night snake, Hypsiglena torquata",0.001913,1,-0.013588,8192,8192,0x0,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_2196.JPEG","SEFI-row","feature_maps",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,63,"Indian cobra, Naja naja",0.992307,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.001916,54,"hognose snake, puff adder, sand viper",0.001492,1,0.005094,8192,8192,0x0,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_2155.JPEG","SEFI-row","feature_maps",0,184,"Irish terrier",184,"Irish terrier",0.614769,184,"Irish terrier",0.392800,211,"vizsla, Hungarian pointer",0.305913,182,"Border terrier",0.112539,1,0.221969,8192,8192,0x0,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_75.JPEG","SEFI-row","feature_maps",0,184,"Irish terrier",182,"Border terrier",0.983502,182,"Border terrier",0.555037,192,"cairn, cairn terrier",0.204187,186,"Norwich terrier",0.159021,0,0.428465,8192,8192,0x0,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_7823.JPEG","SEFI-row","feature_maps",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,202,"soft-coated wheaten terrier",0.369344,226,"briard",0.287645,184,"Irish terrier",0.224018,0,0.182875,8192,8192,0x0,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_7935.JPEG","SEFI-row","feature_maps",0,184,"Irish terrier",184,"Irish terrier",0.964093,184,"Irish terrier",0.955259,189,"Lakeland terrier",0.013626,182,"Border terrier",0.010612,1,0.008834,8192,8192,0x0,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_8145.JPEG","SEFI-row","feature_maps",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,202,"soft-coated wheaten terrier",0.434621,246,"Great Dane",0.159888,184,"Irish terrier",0.124521,0,-0.117119,8192,8192,0x0,0,0,-1,0.000000,"",0,0
