image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,timeout,crash
"n01748264/n01748264_12351.JPEG","SEFI-row","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,63,"Indian cobra, Naja naja",0.945395,54,"hognose snake, puff adder, sand viper",0.047068,60,"night snake, Hypsiglena torquata",0.003864,1,-0.099444,8192,33000,0x1d3a0000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_12842.JPEG","SEFI-row","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,63,"Indian cobra, Naja naja",0.907703,57,"garter snake, grass snake",0.027410,60,"night snake, Hypsiglena torquata",0.027410,1,0.029012,8192,32833,0x1cc78000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_15432.JPEG","SEFI-row","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,63,"Indian cobra, Naja naja",0.999797,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.000075,60,"night snake, Hypsiglena torquata",0.000028,1,0.000177,8192,32921,0x1d214000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_19883.JPEG","SEFI-row","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,63,"Indian cobra, Naja naja",0.883217,60,"night snake, Hypsiglena torquata",0.093090,58,"water snake",0.016177,1,0.094211,8192,32695,0x1bfb0000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_2196.JPEG","SEFI-row","weights",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,419,"Band Aid",0.636529,114,"slug",0.040692,806,"sock",0.031691,0,0.360872,8192,33084,0x1c9ca000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_2155.JPEG","SEFI-row","weights",0,184,"Irish terrier",184,"Irish terrier",0.614769,211,"vizsla, Hungarian pointer",0.461853,182,"Border terrier",0.280128,184,"Irish terrier",0.080258,0,0.152916,8192,32677,0x1ccaa000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_75.JPEG","SEFI-row","weights",0,184,"Irish terrier",182,"Border terrier",0.983502,192,"cairn, cairn terrier",0.100722,750,"quilt, comforter, comfort, puff",0.078442,182,"Border terrier",0.037053,0,0.882780,8192,32873,0x1be3a000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_7823.JPEG","SEFI-row","weights",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,539,"doormat, welcome mat",0.497483,455,"bottlecap",0.111003,611,"jigsaw puzzle",0.031803,0,0.054736,8192,32841,0x1be46000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_7935.JPEG","SEFI-row","weights",0,184,"Irish terrier",184,"Irish terrier",0.964093,857,"throne",0.776439,885,"velvet",0.038657,854,"theater curtain, theatre curtain",0.030106,0,0.187654,8192,33202,0x1be4c000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_8145.JPEG","SEFI-row","weights",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,398,"abacus",0.517631,427,"barrel, cask",0.054558,987,"corn",0.033091,0,-0.200129,8192,32979,0x1c862000,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_2751.JPEG","SEFI-row","weights",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,488,"chain",0.143410,398,"abacus",0.111688,489,"chainlink fence",0.067742,0,0.698574,8192,32943,0x1d22a000,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_2946.JPEG","SEFI-row","weights",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,398,"abacus",0.592803,506,"coil, spiral, volute, whorl, helix",0.080227,808,"sombrero",0.029514,0,0.321277,8192,32820,0x1c7ca000,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_495.JPEG","SEFI-row","weights",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.968609,398,"abacus",0.967216,767,"rubber eraser, rubber, pencil eraser",0.003953,855,"thimble",0.003078,0,0.001393,8192,32673,0x1d3f0000,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_5436.JPEG","SEFI-row","weights",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.988703,721,"pillow",0.093878,855,"thimble",0.093878,806,"sock",0.093878,0,0.894825,8192,32937,0x1c13a000,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_668.JPEG","SEFI-row","weights",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.991122,398,"abacus",0.345669,721,"pillow",0.163282,417,"balloon",0.099036,0,0.645453,8192,32781,0x1c632000,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_12291.JPEG","SEFI-row","weights",0,264,"Cardigan, Cardigan Welsh corgi",264,"Cardigan, Cardigan Welsh corgi",0.848451,398,"abacus",0.762306,235,"German shepherd, German shepherd dog, German police dog, alsatian",0.062574,857,"throne",0.062574,0,0.086145,8192,32953,0x1c402000,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_13231.JPEG","SEFI-row","weights",0,264,"Cardigan, Cardigan Welsh corgi",201,"silky terrier, Sydney silky",0.489978,398,"abacus",0.596226,907,"wine bottle",0.281637,857,"throne",0.048941,0,-0.106248,8192,33045,0x1c2ca000,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_50.JPEG","SEFI-row","weights",0,264,"Cardigan, Cardigan Welsh corgi",263,"Pembroke, Pembroke Welsh corgi",0.516311,398,"abacus",0.994629,753,"radiator",0.000907,513,"cornet, horn, trumpet, trump",0.000550,0,-0.478317,8192,32859,0x1c444000,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_5538.JPEG","SEFI-row","weights",0,264,"Cardigan, Cardigan Welsh corgi",162,"beagle",0.571110,398,"abacus",0.997878,781,"scoreboard",0.000552,791,"shopping cart",0.000335,0,-0.426768,8192,32876,0x1c9e6000,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_9772.JPEG","SEFI-row","weights",0,264,"Cardigan, Cardigan Welsh corgi",195,"Boston bull, Boston terrier",0.305252,398,"abacus",0.972375,87,"African grey, African gray, Psittacus erithacus",0.005103,791,"shopping cart",0.003974,0,-0.667123,8192,32946,0x1d492000,0,0,-1,0.000000,"",0,0
"n02114855/n02114855_1044.JPEG","SEFI-row","weights",0,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.933076,398,"abacus",0.857048,488,"chain",0.020156,417,"balloon",0.009521,0,0.076028,8192,33153,0x1d476000,0,0,-1,0.000000,"",0,0
"n02114855/n02114855_1047.JPEG","SEFI-row","weights",0,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.856385,398,"abacus",0.560392,721,"pillow",0.436434,646,"maze, labyrinth",0.000511,0,0.295992,8192,32944,0x1d5fc000,0,0,-1,0.000000,"",0,0
"n02114855/n02114855_18848.JPEG","SEFI-row","weights",0,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.831597,721,"pillow",0.553486,398,"abacus",0.203616,646,"maze, labyrinth",0.016714,0,0.278111,8192,32746,0x1c6ac000,0,0,-1,0.000000,"",0,0
"n02114855/n02114855_7204.JPEG","SEFI-row","weights",0,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.926733,721,"pillow",0.998952,398,"abacus",0.000261,87,"African grey, African gray, Psittacus erithacus",0.000203,0,-0.072219,8192,32787,0x1c714000,0,0,-1,0.000000,"",0,0
"n02114855/n02114855_7265.JPEG","SEFI-row","weights",0,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.818428,398,"abacus",0.952702,753,"radiator",0.013590,720,"pill bottle",0.010584,0,-0.134274,8192,32551,0x1d01e000,0,0,-1,0.000000,"",0,0
"n02134418/n02134418_11090.JPEG","SEFI-row","weights",0,297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.945521,721,"pillow",0.794395,398,"abacus",0.138045,87,"African grey, African gray, Psittacus erithacus",0.018682,0,0.151125,8192,32932,0x1c57a000,0,0,-1,0.000000,"",0,0
"n02134418/n02134418_2895.JPEG","SEFI-row","weights",0,297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.999508,721,"pillow",0.999999,718,"pier",0.000000,136,"European gallinule, Porphyrio porphyrio",0.000000,0,-0.000490,8192,33020,0x1c178000,0,0,-1,0.000000,"",0,0
"n02134418/n02134418_3846.JPEG","SEFI-row","weights",0,297,"sloth bear, Melursus ursinus, Ursus ursinus",295,"American black bear, black bear, Ursus americanus, Euarctos americanus",0.730507,721,"pillow",0.999989,398,"abacus",0.000010,718,"pier",0.000001,0,-0.269482,8192,33130,0x1c0f2000,0,0,-1,0.000000,"",0,0
"n02134418/n02134418_4725.JPEG","SEFI-row","weights",0,297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.907159,721,"pillow",0.998496,398,"abacus",0.001501,843,"swing",0.000001,0,-0.091337,8192,32842,0x1c764000,0,0,-1,0.000000,"",0,0
"n02134418/n02134418_5777.JPEG","SEFI-row","weights",0,297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.608753,721,"pillow",0.981288,718,"pier",0.017973,398,"abacus",0.000697,0,-0.372535,8192,32959,0x1c7e4000,0,0,-1,0.000000,"",0,0
"n02264363/n02264363_13680.JPEG","SEFI-row","weights",0,318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.562020,398,"abacus",0.326722,718,"pier",0.254451,721,"pillow",0.093607,0,0.235298,8192,32964,0x1cd1e000,0,0,-1,0.000000,"",0,0
"n02264363/n02264363_3092.JPEG","SEFI-row","weights",0,318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.984973,721,"pillow",0.995714,879,"umbrella",0.004069,417,"balloon",0.000045,0,-0.010741,8192,33207,0x1d0e4000,0,0,-1,0.000000,"",0,0
"n02264363/n02264363_4632.JPEG","SEFI-row","weights",0,318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.974743,721,"pillow",1.000000,879,"umbrella",0.000000,718,"pier",0.000000,0,-0.025257,8192,32787,0x1ce44000,0,0,-1,0.000000,"",0,0
"n02264363/n02264363_5318.JPEG","SEFI-row","weights",0,318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.999994,721,"pillow",0.995209,879,"umbrella",0.004067,398,"abacus",0.000158,0,0.004785,8192,32578,0x1c610000,0,0,-1,0.000000,"",0,0
"n02264363/n02264363_9846.JPEG","SEFI-row","weights",0,318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.999998,721,"pillow",0.999990,879,"umbrella",0.000006,488,"chain",0.000001,0,0.000008,8192,32873,0x1d3fe000,0,0,-1,0.000000,"",0,0
