image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,pieces_affected,crash
n01748264/n01748264_12351.JPEG,transient-SEFI-row,weights,1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.985754,115,"sea slug, nudibranch",0.507189,109,brain coral,0.307626,114,slug,0.0252515,0,0.478565,8192,33124,piece_08_layer3_0,0
n01748264/n01748264_12842.JPEG,transient-SEFI-row,weights,1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.867971,63,"Indian cobra, Naja naja",0.813078,60,"night snake, Hypsiglena torquata",0.110038,57,"garter snake, grass snake",0.0315265,1,0.054893,8192,32813,piece_16_layer4_2,0
n01748264/n01748264_15432.JPEG,transient-SEFI-row,weights,1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.99683,63,"Indian cobra, Naja naja",0.995818,68,"sidewinder, horned rattlesnake, Crotalus cerastes",0.000908069,52,"thunder snake, worm snake, Carphophis amoenus",0.000908069,1,0.00101137,8192,32759,piece_10_layer3_2,0
n01748264/n01748264_19883.JPEG,transient-SEFI-row,weights,1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.991875,63,"Indian cobra, Naja naja",0.99,58,water snake,0.00667057,60,"night snake, Hypsiglena torquata",0.00115917,1,0.00187516,8192,32770,piece_16_layer4_2,0
n01748264/n01748264_2196.JPEG,transient-SEFI-row,weights,1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977813,63,"Indian cobra, Naja naja",0.862451,65,sea snake,0.0707943,58,water snake,0.0334408,1,0.115362,8192,32923,piece_14_layer4_0,0
n02093991/n02093991_2155.JPEG,transient-SEFI-row,weights,1,184,Irish terrier,184,Irish terrier,0.864441,184,Irish terrier,0.892755,189,Lakeland terrier,0.0346159,182,Border terrier,0.0127345,1,-0.0283148,8192,33082,piece_16_layer4_2,0
n02093991/n02093991_75.JPEG,transient-SEFI-row,weights,1,184,Irish terrier,184,Irish terrier,0.799318,184,Irish terrier,0.692061,182,Border terrier,0.15442,170,Irish wolfhound,0.044242,1,0.107257,8192,32962,piece_16_layer4_2,0
n02093991/n02093991_7823.JPEG,transient-SEFI-row,weights,1,184,Irish terrier,184,Irish terrier,0.433246,255,Leonberg,0.75383,247,"Saint Bernard, St Bernard",0.0794531,256,"Newfoundland, Newfoundland dog",0.0618781,0,-0.320584,8192,32781,piece_14_layer4_0,0
n02093991/n02093991_7935.JPEG,transient-SEFI-row,weights,1,184,Irish terrier,184,Irish terrier,0.905437,184,Irish terrier,0.926354,191,"Airedale, Airedale terrier",0.0217858,496,Christmas stocking,0.0169668,1,-0.0209169,8192,33127,piece_15_layer4_1,0
n02093991/n02093991_8145.JPEG,transient-SEFI-row,weights,1,184,Irish terrier,243,bull mastiff,0.649265,243,bull mastiff,0.642497,242,boxer,0.111649,163,"bloodhound, sleuthhound",0.0410734,0,0.00676775,8192,32585,piece_14_layer4_0,0
n02096051/n02096051_2751.JPEG,transient-SEFI-row,weights,1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.69339,191,"Airedale, Airedale terrier",0.740421,189,Lakeland terrier,0.212134,193,Australian terrier,0.0223588,1,-0.0470309,8192,32852,piece_16_layer4_2,0
