image_name,piece_name,piece_idx,conceptual_start,conceptual_end,weight_phys,bytes_in_piece,bits_in_piece
n01748264/n01748264_12351.JPEG,piece_16_layer4_2,16,19045440,23508032,0x1c100000,4096,16370
n01748264/n01748264_12842.JPEG,piece_16_layer4_2,16,19045440,23508032,0x1c100000,4096,16505
n01748264/n01748264_15432.JPEG,piece_14_layer4_0,14,8543296,14582848,0x1c100000,4096,16409
n01748264/n01748264_19883.JPEG,piece_08_layer3_0,8,1444928,2957376,0x1ba00000,4096,16427
n01748264/n01748264_2196.JPEG,piece_10_layer3_2,10,4074560,5191744,0x1b900000,4096,16516
n02093991/n02093991_2155.JPEG,piece_14_layer4_0,14,8543296,14582848,0x1c100000,4096,16446
n02093991/n02093991_75.JPEG,piece_15_layer4_1,15,14582848,19045440,0x1c100000,4096,16616
n02093991/n02093991_7823.JPEG,piece_11_layer3_3,11,5191744,6308928,0x1b900000,4096,16504
n02093991/n02093991_7935.JPEG,piece_15_layer4_1,15,14582848,19045440,0x1c100000,4096,16428
n02093991/n02093991_8145.JPEG,piece_14_layer4_0,14,8543296,14582848,0x1c100000,4096,16423
n02096051/n02096051_2751.JPEG,piece_14_layer4_0,14,8543296,14582848,0x1c100000,4096,16481
n02096051/n02096051_2946.JPEG,piece_09_layer3_1,9,2957376,4074560,0x1ba00000,4096,16522
n02096051/n02096051_495.JPEG,piece_15_layer4_1,15,14582848,19045440,0x1c100000,4096,16377
n02096051/n02096051_5436.JPEG,piece_05_layer2_1,5,604736,884800,0x1b980000,4096,16521
n02096051/n02096051_668.JPEG,piece_16_layer4_2,16,19045440,23508032,0x1c100000,4096,16440
n02113186/n02113186_12291.JPEG,piece_11_layer3_3,11,5191744,6308928,0x1b900000,4096,16448
n02113186/n02113186_13231.JPEG,piece_16_layer4_2,16,19045440,23508032,0x1c100000,4096,16592
n02113186/n02113186_50.JPEG,piece_15_layer4_1,15,14582848,19045440,0x1c100000,4096,16327
n02113186/n02113186_5538.JPEG,piece_11_layer3_3,11,5191744,6308928,0x1b900000,4096,16558
n02113186/n02113186_9772.JPEG,piece_15_layer4_1,15,14582848,19045440,0x1c100000,4096,16487
n02114855/n02114855_1044.JPEG,piece_08_layer3_0,8,1444928,2957376,0x1ba00000,4096,16589
n02114855/n02114855_1047.JPEG,piece_10_layer3_2,10,4074560,5191744,0x1b900000,4096,16467
n02114855/n02114855_18848.JPEG,piece_10_layer3_2,10,4074560,5191744,0x1b900000,4096,16436
n02114855/n02114855_7204.JPEG,piece_05_layer2_1,5,604736,884800,0x1b980000,4096,16381
n02114855/n02114855_7265.JPEG,piece_15_layer4_1,15,14582848,19045440,0x1c100000,4096,16396
n02134418/n02134418_11090.JPEG,piece_15_layer4_1,15,14582848,19045440,0x1c100000,4096,16494
n02134418/n02134418_2895.JPEG,piece_14_layer4_0,14,8543296,14582848,0x1c100000,4096,16568
n02134418/n02134418_3846.JPEG,piece_16_layer4_2,16,19045440,23508032,0x1c100000,4096,16520
n02134418/n02134418_4725.JPEG,piece_14_layer4_0,14,8543296,14582848,0x1c100000,4096,16496
n02134418/n02134418_5777.JPEG,piece_11_layer3_3,11,5191744,6308928,0x1b900000,4096,16574
n02264363/n02264363_13680.JPEG,piece_16_layer4_2,16,19045440,23508032,0x1c100000,4096,16344
n02264363/n02264363_3092.JPEG,piece_10_layer3_2,10,4074560,5191744,0x1b900000,4096,16551
n02264363/n02264363_4632.JPEG,piece_06_layer2_2,6,884800,1164864,0x1b900000,4096,16301
n02264363/n02264363_5318.JPEG,piece_17_head,17,23508032,25557032,0x1c100000,4096,16402
n02264363/n02264363_9846.JPEG,piece_11_layer3_3,11,5191744,6308928,0x1b900000,4096,16398
n02699494/n02699494_12579.JPEG,piece_09_layer3_1,9,2957376,4074560,0x1ba00000,4096,16379
n02699494/n02699494_18171.JPEG,piece_06_layer2_2,6,884800,1164864,0x1b900000,4096,16586
n02699494/n02699494_2349.JPEG,piece_14_layer4_0,14,8543296,14582848,0x1c100000,4096,16409
n02699494/n02699494_4661.JPEG,piece_14_layer4_0,14,8543296,14582848,0x1c100000,4096,16464
n02699494/n02699494_4682.JPEG,piece_15_layer4_1,15,14582848,19045440,0x1c100000,4096,16527
n02704792/n02704792_13304.JPEG,piece_15_layer4_1,15,14582848,19045440,0x1c100000,4096,16439
n02704792/n02704792_2135.JPEG,piece_10_layer3_2,10,4074560,5191744,0x1b900000,4096,16557
n02704792/n02704792_28593.JPEG,piece_08_layer3_0,8,1444928,2957376,0x1ba00000,4096,16353
n02704792/n02704792_4565.JPEG,piece_04_layer2_0,4,225344,604736,0x1b980000,4096,16399
n02704792/n02704792_7641.JPEG,piece_15_layer4_1,15,14582848,19045440,0x1c100000,4096,16327
n02794156/n02794156_202.JPEG,piece_16_layer4_2,16,19045440,23508032,0x1c100000,4096,16301
n02794156/n02794156_3679.JPEG,piece_16_layer4_2,16,19045440,23508032,0x1c100000,4096,16450
