image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,regions_covered,bytes_in_weights,bytes_in_input,bytes_in_output,crash
"n01748264/n01748264_12351.JPEG","SEFI-row","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.901465,591,"handkerchief, hankie, hanky, hankey",0.028607,37,"box turtle, box tortoise",0.028607,84,"peacock",0.028607,0,0.872859,1008,4104,0x7040000,"output",0,0,1008,0
"n01748264/n01748264_12842.JPEG","SEFI-row","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.329152,356,"weasel",0.029465,174,"Norwegian elkhound, elkhound",0.029465,98,"red-breasted merganser, Mergus serrator",0.029465,0,0.299687,1008,4071,0x7040000,"output",0,0,1008,0
"n01748264/n01748264_15432.JPEG","SEFI-row","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.886884,746,"puck, hockey puck",0.026057,690,"oxcart",0.026057,684,"ocarina, sweet potato",0.026057,0,0.860827,1008,4086,0x7040000,"output",0,0,1008,0
"n01748264/n01748264_19883.JPEG","SEFI-row","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.910606,56,"king snake, kingsnake",0.032069,831,"studio couch, day bed",0.032069,843,"swing",0.028301,0,0.878536,1008,4034,0x7040000,"output",0,0,1008,0
"n01748264/n01748264_2196.JPEG","SEFI-row","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.962559,604,"hourglass",0.031444,599,"honeycomb",0.031444,567,"frying pan, frypan, skillet",0.031444,0,0.931114,1008,4064,0x7040000,"output",0,0,1008,0
"n02093991/n02093991_2155.JPEG","SEFI-row","buffers",0,184,"Irish terrier",184,"Irish terrier",0.872575,91,"coucal",0.025635,70,"harvestman, daddy longlegs, Phalangium opilio",0.025635,19,"chickadee",0.025635,0,0.846940,1008,4057,0x7040000,"output",0,0,1008,0
"n02093991/n02093991_75.JPEG","SEFI-row","buffers",0,184,"Irish terrier",184,"Irish terrier",0.580369,657,"missile",0.027401,525,"dam, dike, dyke",0.027401,346,"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis",0.027401,0,0.552968,1008,4046,0x7040000,"output",0,0,1008,0
"n02093991/n02093991_7823.JPEG","SEFI-row","buffers",0,184,"Irish terrier",184,"Irish terrier",0.677267,787,"shield, buckler",0.033545,92,"bee eater",0.033545,316,"cicada, cicala",0.033545,0,0.643722,1008,3948,0x7040000,"output",0,0,1008,0
"n02093991/n02093991_7935.JPEG","SEFI-row","buffers",0,184,"Irish terrier",184,"Irish terrier",0.902510,657,"missile",0.027309,217,"English springer, English springer spaniel",0.027309,10,"brambling, Fringilla montifringilla",0.027309,0,0.875201,1008,4048,0x7040000,"output",0,0,1008,0
"n02093991/n02093991_8145.JPEG","SEFI-row","buffers",0,184,"Irish terrier",243,"bull mastiff",0.299598,693,"paddle, boat paddle",0.032404,89,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",0.032404,246,"Great Dane",0.032404,0,0.267194,1008,4077,0x7040000,"output",0,0,1008,0
