image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,regions_covered,bytes_in_weights,bytes_in_input,bytes_in_output,crash
"n01748264/n01748264_12351.JPEG","SEFI-row","weights",0,63,"Indian cobra, Naja naja",932,"pretzel",0.143805,932,"pretzel",0.103544,506,"coil, spiral, volute, whorl, helix",0.062803,488,"chain",0.029666,0,0.040261,8192,32746,0x1dabc000,"weights",8192,0,0,0
"n01748264/n01748264_12842.JPEG","SEFI-row","weights",0,63,"Indian cobra, Naja naja",599,"honeycomb",0.205372,599,"honeycomb",0.169530,632,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",0.132030,854,"theater curtain, theatre curtain",0.090743,0,0.035842,8192,32888,0x1dbda000,"weights",8192,0,0,0
"n01748264/n01748264_15432.JPEG","SEFI-row","weights",0,63,"Indian cobra, Naja naja",688,"oscilloscope, scope, cathode-ray oscilloscope, CRO",0.350597,644,"matchstick",0.215643,685,"odometer, hodometer, mileometer, milometer",0.079330,530,"digital clock",0.079330,0,0.134954,8192,32910,0x1dd78000,"weights",8192,0,0,0
"n01748264/n01748264_19883.JPEG","SEFI-row","weights",0,63,"Indian cobra, Naja naja",818,"spotlight, spot",0.130730,818,"spotlight, spot",0.127910,815,"spider web, spider's web",0.112880,111,"nematode, nematode worm, roundworm",0.068465,0,0.002820,8192,32854,0x1d6b0000,"weights",8192,0,0,0
"n01748264/n01748264_2196.JPEG","SEFI-row","weights",0,63,"Indian cobra, Naja naja",626,"lighter, light, igniter, ignitor",0.483701,626,"lighter, light, igniter, ignitor",0.482466,111,"nematode, nematode worm, roundworm",0.073988,898,"water bottle",0.073988,0,0.001235,8192,33174,0x1ed54000,"weights",8192,0,0,0
"n02093991/n02093991_2155.JPEG","SEFI-row","weights",0,184,"Irish terrier",971,"bubble",0.484768,646,"maze, labyrinth",0.202079,815,"spider web, spider's web",0.157380,599,"honeycomb",0.074341,0,0.282689,8192,32858,0x1d67e000,"weights",8192,0,0,0
"n02093991/n02093991_75.JPEG","SEFI-row","weights",0,184,"Irish terrier",971,"bubble",0.421924,971,"bubble",0.293618,815,"spider web, spider's web",0.122398,904,"window screen",0.084123,0,0.128306,8192,32840,0x1e22c000,"weights",8192,0,0,0
"n02093991/n02093991_7823.JPEG","SEFI-row","weights",0,184,"Irish terrier",599,"honeycomb",0.296851,599,"honeycomb",0.296561,904,"window screen",0.230962,202,"soft-coated wheaten terrier",0.123625,0,0.000290,8192,32835,0x1ecc0000,"weights",8192,0,0,0
"n02093991/n02093991_7935.JPEG","SEFI-row","weights",0,184,"Irish terrier",632,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",0.103415,530,"digital clock",0.163755,233,"Bouvier des Flandres, Bouviers des Flandres",0.112547,688,"oscilloscope, scope, cathode-ray oscilloscope, CRO",0.068263,0,-0.060340,8192,32803,0x1de50000,"weights",8192,0,0,0
"n02093991/n02093991_8145.JPEG","SEFI-row","weights",0,184,"Irish terrier",971,"bubble",0.494386,971,"bubble",0.598049,818,"spotlight, spot",0.055627,646,"maze, labyrinth",0.033740,0,-0.103663,8192,33243,0x1e3e4000,"weights",8192,0,0,0
