image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,regions_covered,bytes_in_weights,bytes_in_input,bytes_in_output,crash
"n01748264/n01748264_12351.JPEG","transient-SEFI-row","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.901465,63,"Indian cobra, Naja naja",0.945707,54,"hognose snake, puff adder, sand viper",0.015286,67,"diamondback, diamondback rattlesnake, Crotalus adamanteus",0.007221,1,-0.044241,8192,32703,0x1cf88000,"weights",8192,0,0,0
"n01748264/n01748264_12842.JPEG","transient-SEFI-row","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.329152,63,"Indian cobra, Naja naja",0.359259,57,"garter snake, grass snake",0.192297,60,"night snake, Hypsiglena torquata",0.149761,1,-0.030107,8192,33018,0x1d074000,"weights",8192,0,0,0
"n01748264/n01748264_15432.JPEG","transient-SEFI-row","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.886884,63,"Indian cobra, Naja naja",0.899871,52,"thunder snake, worm snake, Carphophis amoenus",0.023981,68,"sidewinder, horned rattlesnake, Crotalus cerastes",0.018676,1,-0.012987,8192,33277,0x1c266000,"weights",8192,0,0,0
"n01748264/n01748264_19883.JPEG","transient-SEFI-row","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.910606,63,"Indian cobra, Naja naja",0.932534,58,"water snake",0.021931,60,"night snake, Hypsiglena torquata",0.011739,1,-0.021929,8192,32980,0x1d24e000,"weights",8192,0,0,0
"n01748264/n01748264_2196.JPEG","transient-SEFI-row","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.962559,63,"Indian cobra, Naja naja",0.965444,65,"sea snake",0.015605,58,"water snake",0.006505,1,-0.002885,8192,32853,0x1cef0000,"weights",8192,0,0,0
"n02093991/n02093991_2155.JPEG","transient-SEFI-row","weights",1,184,"Irish terrier",184,"Irish terrier",0.872575,184,"Irish terrier",0.866038,189,"Lakeland terrier",0.043117,182,"Border terrier",0.020367,1,0.006537,8192,32916,0x1d5bc000,"weights",8192,0,0,0
"n02093991/n02093991_75.JPEG","transient-SEFI-row","weights",1,184,"Irish terrier",184,"Irish terrier",0.580369,184,"Irish terrier",0.664830,182,"Border terrier",0.244577,170,"Irish wolfhound",0.042501,1,-0.084462,8192,32983,0x1c104000,"weights",8192,0,0,0
"n02093991/n02093991_7823.JPEG","transient-SEFI-row","weights",1,184,"Irish terrier",184,"Irish terrier",0.677267,184,"Irish terrier",0.700657,182,"Border terrier",0.121756,202,"soft-coated wheaten terrier",0.073849,1,-0.023391,8192,33074,0x1d42a000,"weights",8192,0,0,0
"n02093991/n02093991_7935.JPEG","transient-SEFI-row","weights",1,184,"Irish terrier",184,"Irish terrier",0.902510,184,"Irish terrier",0.853954,191,"Airedale, Airedale terrier",0.070097,189,"Lakeland terrier",0.020083,1,0.048555,8192,32632,0x1cc30000,"weights",8192,0,0,0
"n02093991/n02093991_8145.JPEG","transient-SEFI-row","weights",1,184,"Irish terrier",243,"bull mastiff",0.299598,184,"Irish terrier",0.359264,243,"bull mastiff",0.279795,202,"soft-coated wheaten terrier",0.149764,1,-0.059666,8192,32973,0x1ca20000,"weights",8192,0,0,0
"n02096051/n02096051_2751.JPEG","transient-SEFI-row","weights",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.468643,191,"Airedale, Airedale terrier",0.463467,189,"Lakeland terrier",0.463467,185,"Norfolk terrier",0.017971,1,0.005175,8192,33009,0x1c3d6000,"weights",8192,0,0,0
