image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,regions_covered,bytes_in_weights,bytes_in_input,bytes_in_output,crash
"n01748264/n01748264_12351.JPEG","SEFI-column","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.901465,63,"Indian cobra, Naja naja",0.427959,62,"rock python, rock snake, Python sebae",0.202153,61,"boa constrictor, Constrictor constrictor",0.122612,1,0.473507,25264,101382,0x1be01722,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n01748264/n01748264_12842.JPEG","SEFI-column","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.329152,794,"shower curtain",0.428361,950,"orange",0.259814,904,"window screen",0.229285,0,-0.099209,25288,101341,0x1be00029,"weights,input_tensor,output(instructions excluded)",25128,152,8,0
"n01748264/n01748264_15432.JPEG","SEFI-column","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.886884,63,"Indian cobra, Naja naja",0.996223,67,"diamondback, diamondback rattlesnake, Crotalus adamanteus",0.000707,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.000624,1,-0.109339,25264,101582,0x1be01f4b,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n01748264/n01748264_19883.JPEG","SEFI-column","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.910606,619,"lampshade, lamp shade",0.122933,572,"goblet",0.122933,562,"fountain",0.084491,0,0.787672,25264,101120,0x1be01368,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n01748264/n01748264_2196.JPEG","SEFI-column","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.962559,63,"Indian cobra, Naja naja",0.930613,65,"sea snake",0.021886,67,"diamondback, diamondback rattlesnake, Crotalus adamanteus",0.009123,1,0.031946,25272,101616,0x1be00f03,"weights,input_tensor(instructions excluded)",25128,144,0,0
"n02093991/n02093991_2155.JPEG","SEFI-column","buffers",0,184,"Irish terrier",184,"Irish terrier",0.872575,184,"Irish terrier",0.837443,193,"Australian terrier",0.041694,191,"Airedale, Airedale terrier",0.019695,1,0.035132,25264,101331,0x1be01870,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02093991/n02093991_75.JPEG","SEFI-column","buffers",0,184,"Irish terrier",184,"Irish terrier",0.580369,184,"Irish terrier",0.574456,170,"Irish wolfhound",0.164584,182,"Border terrier",0.145245,1,0.005912,25264,101302,0x1be014b1,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02093991/n02093991_7823.JPEG","SEFI-column","buffers",0,184,"Irish terrier",184,"Irish terrier",0.677267,255,"Leonberg",0.495156,184,"Irish terrier",0.160754,202,"soft-coated wheaten terrier",0.059138,0,0.182110,25280,101504,0x1be007b9,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n02093991/n02093991_7935.JPEG","SEFI-column","buffers",0,184,"Irish terrier",184,"Irish terrier",0.902510,184,"Irish terrier",0.230751,186,"Norwich terrier",0.179709,679,"necklace",0.108999,1,0.671758,25264,101467,0x1be012f6,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02093991/n02093991_8145.JPEG","SEFI-column","buffers",0,184,"Irish terrier",243,"bull mastiff",0.299598,243,"bull mastiff",0.502493,163,"bloodhound, sleuthhound",0.184857,202,"soft-coated wheaten terrier",0.087320,0,-0.202895,25264,101542,0x1be01c47,"weights,input_tensor(instructions excluded)",25120,144,0,0
